LastName,FirstName,Salutation,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,OtherLatitude,OtherLongitude,OtherGeocodeAccuracy,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,MailingLatitude,MailingLongitude,MailingGeocodeAccuracy,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,Email,Title,Department,AssistantName,LeadSource,Birthdate,Description,HasOptedOutOfEmail,HasOptedOutOfFax,DoNotCall,EmailBouncedReason,EmailBouncedDate,Jigsaw,IndividualId,PagesApi__Site__c,OrderApi__Annual_Engagement_Score__c,OrderApi__Assistant_Do_Not_Call__c,OrderApi__Assistant_Email_Opt_Out__c,OrderApi__Assistant_Email__c,OrderApi__Badges__c,OrderApi__Home_Do_Not_Call__c,OrderApi__Lifetime_Engagement_Score__c,OrderApi__Mobile_Do_Not_Call__c,OrderApi__Other_Do_Not_Call__c,OrderApi__Other_Email_Opt_Out__c,OrderApi__Other_Email__c,OrderApi__Outstanding_Credits__c,OrderApi__Personal_Email_Opt_Out__c,OrderApi__Personal_Email__c,OrderApi__Potential_Duplicate_Contacts__c,OrderApi__Preferred_Email_Type__c,OrderApi__Preferred_Phone_Type__c,OrderApi__Price_Rules_Usages__c,OrderApi__Sync_Address_Billing__c,OrderApi__Sync_Address_Shipping__c,OrderApi__Sync_Email__c,OrderApi__Sync_Phone__c,OrderApi__Work_Do_Not_Call__c,OrderApi__Work_Email_Opt_Out__c,OrderApi__Work_Email__c,OrderApi__Work_Phone__c,DonorApi__Active_Recurring_Gift__c,DonorApi__Auto_Calculate_Contact_Greetings__c,DonorApi__Auto_Calculate_Current_Ask_Amount__c,DonorApi__Current_Ask_Amount__c,DonorApi__Deceased__c,DonorApi__Default_Greeting_Type__c,DonorApi__Direct_Mail_Opt_Out__c,DonorApi__Do_Not_Solicit__c,DonorApi__First_Gift_Date__c,DonorApi__Formal_Greeting__c,DonorApi__Gift_Opportunities__c,DonorApi__Gifts_Outstanding__c,DonorApi__Gifts_Received__c,DonorApi__Include_in_Household_Greetings__c,DonorApi__Languages__c,DonorApi__Largest_Gift__c,DonorApi__Last_Gift_Amount__c,DonorApi__Last_Gift_Date__c,DonorApi__Personal_Greeting__c,DonorApi__Personal_Recognition_Name__c,DonorApi__Primary__c,DonorApi__Suffix__c,OrderApi__Privacy_Settings__c,PagesApi__Cookie_Usage_Accepted__c,OrderApi__Edit_Community_Company_Info__c,OrderApi__Preferred_Language__c,Errors,Id
Lewis,Caroline,,1571 W Lambert Rd,La Habra,California,90631,United States,,,,45 Mccouns Ln,Oyster Bay,New York,11771,United States,40.868473,-73.523033,Address,(779)-721-4492,,(779)-721-4492,,,,carolinelewis@mailinator.com,,,,,,,false,false,false,,,,,,0,false,false,,FON-Organizational Member Badge,false,0,false,false,false,,,false,carolinelewis@mailinator.com,,Personal,Mobile,"{""a1C1I000000DSQNUA4"":1,""a1C1I000000DSQWUA4"":2,""a1C1I000000DSOOUA4"":1}",false,false,false,false,false,false,carolinelewis@mailinator.com,,false,false,false,,false,Personal Greeting,false,false,,,0,0,0,false,,,0,,,,false,,private,false,false,,,003R000001XMzxkIAD
Pratt,Anne,,775 Station street,Herndon,Virginia,20170,United States,,,,3368 Black Creek Rd,Muskegon,Michigan,49444,United States,43.191416,-86.180186,Address,(337)-708-2428,,(337)-708-2428,,,,annepratt@mailinator.com,General Manager,,,,,,false,false,false,,,,,,25,false,false,,"FON-Annual Conference Attendee Badge,FON-Individual Member Badge,FON-Organizational Member Badge",false,125,false,false,false,,,false,annepratt@mailinator.com,,Personal,Mobile,"{""a1C1I000000DSQFUA4"":1,""a1C1I000000DSOuUAO"":1,""a1C1I000000DSP1UAO"":1,""a1C1I000000DSOzUAO"":1,""a1C1I000000DSOxUAO"":1,""a1C1I000000DSOTUA4"":1,""a1C1I000000DSOwUAO"":1,""a1C1I000000DSOyUAO"":1,""a1C1I000000DSP0UAO"":1,""a1C1I000000DSP8UAO"":1,""a1C1I000000DSQZUA4"":1}",false,false,false,false,false,false,annepratt@mailinator.com,,false,false,false,,false,Personal Greeting,false,false,,,0,0,0,false,,,0,,,,false,,public,false,false,,,003R000001XMzxlIAD
Jordan,Harvey,,3/11 Ramachandra Road,Chennai,Tamil Nadu,600004,India,,,,7868 E Via Marina,Scottsdale,Arizona,85258,United States,33.55317,-111.911306,Address,(595)-733-6216,,(595)-733-6216,,,,harveyjordan@mailinator.com,,,,,,,false,false,false,,,,,,0,false,false,,FON-Organizational Member Badge,false,100,false,false,false,,0,false,harveyjordan@mailinator.com,,Personal,Mobile,"{""a1C1I000000DSOZUA4"":1,""a1C1I000000DSPyUAO"":1,""a1C1I000000DSPvUAO"":1,""a1C1I000000DSQ1UAO"":1,""a1C6A000001Bn7OUAS"":4}",false,false,true,true,false,false,harveyjordan@mailinator.com,,false,false,false,,false,Personal Greeting,false,false,,,0,0,0,false,,,0,,,,false,,private,false,false,,,003R000001XMzxmIAD
Owens,James,,221-241  BECKENHAM ROAD,BECKENHAM,,BR3 4UF,United Kingdom,,,,71  BEAUMONT ROAD,ORPINGTON,,BR5 1JH,United Kingdom,51.384305420976524,0.07914013195030194,ExtendedZip,+44 3302 300864,,+44 3302 300864,,,,jamesowens@mailinator.com,Assistant manager,,,,,,false,false,false,,,,,,,false,false,,,false,,false,false,false,,,false,jamesowens@mailinator.com,,Personal,Mobile,"{""a1C1I000000DSOdUAO"":1}",false,false,false,false,false,false,jamesowens@mailinator.com,,false,false,false,,false,Personal Greeting,false,false,,,0,0,0,false,,,0,,,,false,,private,false,false,,,003R000001XMzxnIAD
Copeland,Delia,,4 ORCHARD COTTAGE ORCHARD GREEN,ORPINGTON,,BR6 8AA,United Kingdom,,,,2 CLUB LANGLEY HAWKSBROOK LANE,BECKENHAM,,BR3 3SR,United Kingdom,51.388511259733725,-0.022490358057173,ExtendedZip,+44 8890 980971,,+44 8890 980971,,,,deliacopeland@mailinator.com,,,,,,,false,false,false,,,,,,25,false,false,,FON-Annual Conference Attendee Badge,false,25,false,false,false,,,false,deliacopeland@mailinator.com,,Personal,Mobile,"{""a1C1I000000DSQXUA4"":3,""a1C1I000000DSP9UAO"":1,""a1C1I000000DSP6UAO"":1,""a1C1I000000DSP2UAO"":1,""a1C1I000000DSOxUAO"":1,""a1C1I000000DSOUUA4"":1,""a1C1I000000DSP0UAO"":1,""a1C1I000000DSP5UAO"":1,""a1C1I000000DSP8UAO"":1,""a1C1I000000DSOuUAO"":1}",false,false,false,false,false,false,deliacopeland@mailinator.com,,false,false,false,,false,Personal Greeting,false,false,,,0,0,0,false,,,0,,,,false,,private,false,false,,,003R000001XMzxoIAD
Flores,Delia,,6  KINGS ROAD,ORPINGTON,,BR6 9LH,United Kingdom,,,,4 2 WYEFIELD THE KNOLL,BECKENHAM,,BR3 5JW,United Kingdom,51.40922644200244,-0.022746948186087048,ExtendedZip,+44 2637 596845,,+44 2637 596845,,,,deliaflores@mailinator.com,Vice chairman,,,,,,false,false,false,,,,,,25,false,false,,"FON-Annual Conference Attendee Badge,FON-Individual Member Badge",false,125,false,false,false,,,false,deliaflores@mailinator.com,,Personal,Mobile,"{""a1C1I000000DSQWUA4"":1,""a1C1I000000DSPeUAO"":1,""a1C1I000000DSPZUA4"":1,""a1C1I000000DSPUUA4"":1,""a1C1I000000DSPQUA4"":1,""a1C1I000000DSQMUA4"":1,""a1C1I000000DSOXUA4"":1,""a1C1I000000DSPTUA4"":1,""a1C1I000000DSPWUA4"":1,""a1C1I000000DSPaUAO"":1,""a1C1I000000DSPfUAO"":1}",false,false,false,false,false,false,deliaflores@mailinator.com,,false,false,false,,false,Personal Greeting,false,false,,,0,0,0,false,,,0,,,,false,,private,false,false,,,003R000001XMzxpIAD
Curtis,Elijah,,BROMLEY VALLEY GYMNASTIC CENTRE  CHIPPERFIELD ROAD,ORPINGTON,,BR5 2QR,United Kingdom,,,,125  STANHOPE GROVE,BECKENHAM,,BR3 3HL,United Kingdom,51.39571610162323,-0.035405119208749156,ExtendedZip,+44 1432 417340,,+44 1432 417340,,,,elijahcurtis@mailinator.com,President,,,,,,false,false,false,,,,,,25,false,false,,"FON-Annual Conference Attendee Badge,FON-Individual Member Badge",false,125,false,false,false,,,false,elijahcurtis@mailinator.com,,Personal,Mobile,"{""a1C1I000000DSQZUA4"":1,""a1C1I000000DSP8UAO"":1,""a1C1I000000DSP6UAO"":1,""a1C1I000000DSP3UAO"":1,""a1C1I000000DSOUUA4"":1,""a1C1I000000DSP2UAO"":1,""a1C1I000000DSP5UAO"":1,""a1C1I000000DSP7UAO"":1,""a1C1I000000DSOvUAO"":1}",false,false,false,false,false,false,elijahcurtis@mailinator.com,,false,false,false,,false,Personal Greeting,false,false,,,0,0,0,false,,,0,,,,false,,private,false,false,,,003R000001XMzxqIAD
Evans,May,,5  CHESSINGTON WAY,WEST WICKHAM,,BR4 9NY,United Kingdom,,,,6 LUBBOCK COURT  LUBBOCK ROAD,CHISLEHURST,,BR7 5JW,United Kingdom,51.411539642720086,0.053469393456916745,ExtendedZip,+44 9333 439621,,+44 9333 439621,,,,mayevans@mailinator.com,Team Leader,,,,,,false,false,false,,,,,,0,false,false,,FON-Volunteer Badge,false,20,false,false,false,,,false,mayevans@mailinator.com,,Personal,Mobile,"{""a1C1I000000DSQJUA4"":1,""a1C1I000000DSQ1UAO"":1,""a1C1I000000DSPvUAO"":1,""a1C1I000000DSPyUAO"":1,""a1C1I000000DSOZUA4"":1}",false,false,true,true,false,false,mayevans@mailinator.com,,false,false,false,,false,Personal Greeting,false,false,,,0,0,0,false,,,0,,,,false,,private,false,false,,,003R000001XMzxrIAD
Norris,Ricardo,,3245 Rosanna St,Las Vegas,Nevada,89117,United States,,,,353 Baronne St,New Orleans,Louisiana,70112,United States,29.951288,-90.073067,Address,(856)-482-9196,,(856)-482-9196,,,,ricardonorris@mailinator.com,Assistant manager,,,,,,false,false,false,,,,,,25,false,false,,"FON-Annual Conference Attendee Badge,FON-Individual Member Badge,FON-Organizational Member Badge",false,125,false,false,false,,,false,ricardonorris@mailinator.com,,Personal,Mobile,"{""a1C1I000000DSQZUA4"":1,""a1C1I000000DSP9UAO"":1,""a1C1I000000DSP7UAO"":1,""a1C1I000000DSP4UAO"":1,""a1C1I000000DSP0UAO"":1,""a1C1I000000DSOTUA4"":1,""a1C1I000000DSOyUAO"":1,""a1C1I000000DSP2UAO"":1,""a1C1I000000DSP6UAO"":1,""a1C1I000000DSP8UAO"":1,""a1C1I000000DSOuUAO"":1}",false,false,false,false,false,false,ricardonorris@mailinator.com,,false,false,false,,false,Personal Greeting,false,false,,,0,0,0,false,,,0,,,,false,,private,false,false,,,003R000001XMzxsIAD
Carr,Matilda,,1401 W Green St,Urbana,Illinois,61801,United States,,,,43900 Girdland Court,Ashburn,Virginia,20147,United States,39.042462,-77.481218,Address,(682)-147-1081,,(682)-147-1081,,,,matildacarr@mailinator.com,President,,,,,,false,false,false,,,,,,,false,false,,FON-Organizational Member Badge,false,,false,false,false,,,false,matildacarr@mailinator.com,,Personal,Mobile,"{""a1C1I000000DSOcUAO"":1,""a1C1I000000DSQFUA4"":1}",false,false,false,false,false,false,matildacarr@mailinator.com,,false,false,false,,false,Personal Greeting,false,false,,,0,0,0,false,,,0,,,,false,,private,false,false,,,003R000001XMzxtIAD
