Id,MasterRecordId,AccountId,LastName,FirstName,Salutation,Name,External_Id__c,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,OtherLatitude,OtherLongitude,OtherGeocodeAccuracy,OtherAddress,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,MailingLatitude,MailingLongitude,MailingGeocodeAccuracy,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,ReportsToId,Email,Title,Department,AssistantName,LeadSource,Birthdate,Description,HasOptedOutOfEmail,HasOptedOutOfFax,DoNotCall,LastCURequestDate,LastCUUpdateDate,EmailBouncedReason,EmailBouncedDate,IsEmailBounced,PhotoUrl,Jigsaw,JigsawContactId,IndividualId,PagesApi__Site__c,OrderApi__Annual_Engagement_Score__c,OrderApi__Assistant_Do_Not_Call__c,OrderApi__Assistant_Email_Opt_Out__c,OrderApi__Assistant_Email__c,OrderApi__Badges__c,OrderApi__Home_Do_Not_Call__c,OrderApi__Is_Primary_Contact__c,OrderApi__Lifetime_Engagement_Score__c,OrderApi__Mobile_Do_Not_Call__c,OrderApi__Other_Do_Not_Call__c,OrderApi__Other_Email_Opt_Out__c,OrderApi__Other_Email__c,OrderApi__Outstanding_Credits__c,OrderApi__Personal_Email_Opt_Out__c,OrderApi__Personal_Email__c,OrderApi__Potential_Duplicate_Contacts__c,OrderApi__Preferred_Email_Type__c,OrderApi__Preferred_Email__c,OrderApi__Preferred_Phone_Type__c,OrderApi__Preferred_Phone__c,OrderApi__Price_Rules_Usages__c,OrderApi__Sync_Address_Billing__c,OrderApi__Sync_Address_Shipping__c,OrderApi__Sync_Email__c,OrderApi__Sync_Phone__c,OrderApi__Work_Do_Not_Call__c,OrderApi__Work_Email_Opt_Out__c,OrderApi__Work_Email__c,OrderApi__Work_Phone__c,DonorApi__Active_Recurring_Gift__c,DonorApi__Auto_Calculate_Contact_Greetings__c,DonorApi__Auto_Calculate_Current_Ask_Amount__c,DonorApi__Current_Ask_Amount__c,DonorApi__Deceased__c,DonorApi__Default_Greeting_Type__c,DonorApi__Default_Greeting__c,DonorApi__Direct_Mail_Opt_Out__c,DonorApi__Do_Not_Solicit__c,DonorApi__First_Gift_Date__c,DonorApi__Formal_Greeting__c,DonorApi__Gift_Opportunities__c,DonorApi__Gifts_Outstanding__c,DonorApi__Gifts_Received__c,DonorApi__Gifts_Value__c,DonorApi__Include_in_Household_Greetings__c,DonorApi__Languages__c,DonorApi__Largest_Gift__c,DonorApi__Last_Gift_Amount__c,DonorApi__Last_Gift_Date__c,DonorApi__Personal_Greeting__c,DonorApi__Personal_Recognition_Name__c,DonorApi__Primary_Relationship_Manager__c,DonorApi__Primary__c,DonorApi__Spouse__c,DonorApi__Suffix__c,OrderApi__Privacy_Settings__c,PagesApi__Cookie_Usage_Accepted__c,OrderApi__Edit_Community_Company_Info__c,OrderApi__Preferred_Language__c,MiddleName,Suffix,OtherStateCode,OtherCountryCode,MailingStateCode,MailingCountryCode,GDO_Data_Region__c,SF_CONTACT__c,Member_Since__c,Annual_Donations__c,Lifetime_Donations__c,Annual_Total_Spent__c,Lifetime_Total_Spent__c,Active_Membership_Types__c,DirectoryApi__Directory_Opt_Out__c,Role__c,Save_the_Whales_Donation_Levels__c,AsklandMemorialScholarshipDonationLevels__c,Donation_Programs__c,I_agree_to_terms_and_Conditions_above__c,Resident__c,Attendee_Name__c,Do_you_require_any_accessibility_Accomod__c,FON_Are_you_a_Member__c,State_Chapter__c,Local_Chapter__c,FontevaReports__Languages__c,FontevaReports__Level__c,DRCTS__Directory_Preferences__c,Site_Network_ID__c,MasterRecord.External_Id__c,Account.External_Id__c,ReportsTo.External_Id__c,Individual.Name,PagesApi__Site__r.Id,DonorApi__Primary_Relationship_Manager__r.External_Id__c,DonorApi__Spouse__r.External_Id__c
0034W00002Dpoe5QAB,,0014W000025FRkNQAW,Richeimer,Kristin,,Kristin Richeimer,3,,,,,,,,,,,,,,,,,,,,,,,,,kristin.richeimer@gmail.com,,,,,,,false,false,false,,,,,false,/services/images/photo/0034W00002Dpoe5QAB,,,,,,false,false,,,false,false,,false,false,false,,,false,kristin.richeimer@gmail.com,,Personal,kristin.richeimer@gmail.com,Mobile,,"{""a1C6A000001Bn2gUAC"":1,""a1C4W00000845KqUAI"":4}",false,false,false,false,false,false,,,false,false,false,,false,Personal Greeting,,false,false,,,0,0,0,0,false,,,0,,,,,false,,,private,false,false,,,,,,,,,,,,,,,,false,,,,,false,false,,,,,,,,,,,21,,,,,
0034W00002Dpoe6QAB,,0014W000025FRkNQAW,kelley,bob,,bob kelley,4,,,,,,,,,,,,,,,,,,,,,,,,,sbougara@fusionspan.com,,,,,,,false,false,false,,,,,false,/services/images/photo/0034W00002Dpoe6QAB,,,,,,false,false,,,false,false,,false,false,false,,,false,sbougara@fusionspan.com,,Personal,sbougara@fusionspan.com,Mobile,,"{""a1C6A000001Bn2gUAC"":1,""a1C4W00000845KqUAI"":4}",false,false,false,false,false,false,,,false,false,false,,false,Personal Greeting,,false,false,,,0,0,0,0,false,,,0,,,,,false,,,private,false,false,,,,,,,,,,,,,,,,false,,,,,false,false,,,,,,,,,,,21,,,,,
0034W00002Dpoe7QAB,,0014W000025FRlRQAW,O'Bar,Teagan,,Teagan O'Bar,5,,,,,,,,,,,,,,,,,,,,,,,,,teagano@moaa.org,,,,,,,false,false,false,,,,,false,/services/images/photo/0034W00002Dpoe7QAB,,,,,,false,false,,,false,true,,false,false,false,,,false,teagano@moaa.org,,Personal,teagano@moaa.org,Mobile,,,false,false,false,false,false,false,,,false,false,false,,false,Personal Greeting,,false,false,,,0,0,0,0,false,,,0,,,,,false,,,private,false,false,,,,,,,,,,,,,,,,false,,,,,false,false,,,,,,,,,,,90,,,,,
0034W00002DpocbQAB,,0014W000025FRkQQAW,Don't use,Ellen,,Ellen Don't use,6,,,,,,,,,,,,,,,,,,,,,,,,,rejoin@mailinator.com,,,,,,,false,false,false,,,,,false,/services/images/photo/0034W00002DpocbQAB,,,,,0,false,false,,FON-Individual Member Badge,false,true,200,false,false,false,,,false,rejoin@mailinator.com,,Personal,rejoin@mailinator.com,Mobile,,"{""a1C6A000001Bn7cUAC"":2,""a1C4W00000845KNUAY"":4}",false,false,false,false,false,false,,,false,false,false,,false,Personal Greeting,,false,false,,,0,0,0,0,false,,,0,,,,,false,,,private,false,false,,,,,,,,,,,,,,,,false,,,,,false,false,,,,,,,,,,,92,,,,,
0034W00002Dpoe8QAB,,0014W000025FRlSQAW,Don't use this either,FON,,FON Don't use this either,7,,,,,,,,,,,,,,,,,,,,,,,,,fonrejoin@mailinator.com,,,,,,,false,false,false,,,,,false,/services/images/photo/0034W00002Dpoe8QAB,,,,,0,false,false,,,false,true,,false,false,false,,,false,fonrejoin@mailinator.com,,Personal,fonrejoin@mailinator.com,Mobile,,"{""a1C6A000001Bn7cUAC"":1,""a1C4W00000845KNUAY"":4}",false,false,false,false,false,false,,,false,false,false,,false,Personal Greeting,,false,false,,,0,0,0,0,false,,,0,,,,,false,,,private,false,false,,,,,,,,,,,,,,,,false,,,,,false,false,,,,,,,,,,,94,,,,,
0034W00002DpoccQAB,,0014W000025FRkRQAW,Example_ReJoin,Fon,,Fon Example_ReJoin,8,,,,,,,,,,,,,,,,,,,,,,,,,examplerejoin@mailinator.com,,,,,,,false,false,false,,,,,false,/services/images/photo/0034W00002DpoccQAB,,,,,100,false,false,,FON-Individual Member Badge,false,true,100,false,false,false,,,false,examplerejoin@mailinator.com,,Personal,examplerejoin@mailinator.com,Mobile,,"{""a1C6A000001Bn7cUAC"":4,""a1C6A000001w9oeUAA"":2,""a1C4W00000845KNUAY"":16,""a1C4W00000845KOUAY"":8}",false,false,false,false,false,false,,,false,false,false,,false,Personal Greeting,,false,false,,,0,0,0,0,false,,,0,,,,,false,,,private,false,false,,,,,,,,,,,,,,,,false,,,,,false,false,,,,,,,,,,,96,,,,,
0034W00002Dpoe9QAB,,0014W000025FRlTQAW,DOE,JANE,,JANE DOE,9,,,,,,,,,,,,,,,,,,,,,,,,,robinmay09@gmail.com,,,,,,,false,false,false,,,,,false,/services/images/photo/0034W00002Dpoe9QAB,,,,,,false,false,,,false,true,,false,false,false,,,false,robinmay09@gmail.com,,Personal,robinmay09@gmail.com,Mobile,,,false,false,false,false,false,false,,,false,false,false,,false,Personal Greeting,,false,false,,,0,0,0,0,false,,,0,,,,,false,,,private,false,false,,,,,,,,,,,,,,,,false,,,,,false,false,,,,,,,,,,,97,,,,,
0034W00002DpoceQAB,,0014W000025FRkKQAW,Qureshi,Caroline,,Caroline Qureshi,10,,,,,,,,,,932 N Kenmore St,Arlington,Virginia,22201,United States,38.884071,-77.100456,Address,2029117181,,,,,,,,,,,,,,false,false,false,,,,,false,/services/images/photo/0034W00002DpoceQAB,,,,,2025,false,false,,"FON-Annual Conference Attendee Badge,FON-Individual Member Badge,FON-Organizational Member Badge",false,false,2025,false,false,false,,,false,,,Personal,,Mobile,,"{""a1C4W00000845KNUAY"":12,""a1C4W00000845KmUAI"":32,""a1C4W00000845KhUAI"":4,""a1C4W00000845KfUAI"":4,""a1C4W00000845KdUAI"":4,""a1C3s0000043DpZEAU"":1,""a1C6A000001Bn7WUAS"":3,""a1C6A000001Bn7bUAC"":4,""a1C3s0000040EVzEAM"":4,""a1C6A000001xF6gUAE"":10,""a1C6A000002MQSAUA4"":1,""a1C6A000002MQRvUAO"":1,""a1C6A000002MPpEUAW"":1,""a1C6A000001CkrjUAC"":1,""a1C6A000002MQSFUA4"":1,""a1C6A000002MQRqUAO"":1,""a1C6A000001Bn7ZUAS"":1,""a1C6A000001D4zMUAS"":10,""a1C6A000001Bn7cUAC"":3,""a1C4W00000845KTUAY"":4,""a1C4W00000845KeUAI"":4,""a1C4W00000845KgUAI"":4,""a1C4W00000845KlUAI"":32,""a1C4W00000845KnUAI"":16,""a1C4W00000845KoUAI"":16,""a1C4W00000845KpUAI"":12,""a1C4W00000845L6UAI"":4}",false,false,false,false,false,false,,,false,false,false,,false,Personal Greeting,,false,false,,,0,0,0,0,false,,,0,,,,,false,,,private,false,false,,,,,,VA,US,,,,,,,,,false,,,,,false,false,,,,,,,,,,,5,,,,,
0034W00002DpofHQAR,,0014W000025FRlvQAG,Flannigan,Clara,,Clara Flannigan,96,1401 W Green St,Urbana,Illinois,61801,United States,,,,[object Object],1401 W Green St,Urbana,Illinois,61801,United States,40.110167,-88.227839,Block,(776)-351-3689,,(776)-351-3689,,,,,claraflannigan@mailinator.com,,,,,,,false,false,false,,,,,false,/services/images/photo/0034W00002DpofHQAR,,,,,25,false,false,,FON-Annual Conference Attendee Badge,false,true,25,false,false,false,,,false,claraflannigan@mailinator.com,,Personal,claraflannigan@mailinator.com,Mobile,(776)-351-3689,"{""a1C1I000000DSPfUAO"":1,""a1C1I000000DSPbUAO"":1,""a1C1I000000DSPZUA4"":1,""a1C1I000000DSPRUA4"":1,""a1C1I000000DSQUUA4"":2,""a1C1I000000DSOXUA4"":1,""a1C1I000000DSPYUA4"":1,""a1C1I000000DSPaUAO"":1,""a1C1I000000DSPcUAO"":1,""a1C1I000000DSQEUA4"":1}",false,false,true,true,false,false,claraflannigan@mailinator.com,,false,false,false,,false,Personal Greeting,,false,false,,,0,0,0,0,false,,,0,,,,,false,,,private,false,false,,,,IL,US,IL,US,,0034W00002Al3ZdQAJ,2015-04-06,,,30,2890,,false,,,,,false,false,,,,,,,,,,,19,,,,,
0034W00002DpofIQAR,,0014W000025FRl8QAG,Brown,Rachel,,Rachel Brown,97,353 Baronne St,New Orleans,Louisiana,70112,United States,,,,[object Object],353 Baronne St,New Orleans,Louisiana,70112,United States,29.951288,-90.073067,Address,(391)-545-5223,,(391)-545-5223,,,,,rachelbrown@mailinator.com,,,,,,,false,false,false,,,,,false,/services/images/photo/0034W00002DpofIQAR,,,,,25,false,false,,FON-Annual Conference Attendee Badge,false,false,25,false,false,false,,,false,rachelbrown@mailinator.com,,Personal,rachelbrown@mailinator.com,Mobile,(391)-545-5223,"{""a1C1I000000DSQNUA4"":1,""a1C1I000000DSPJUA4"":1,""a1C1I000000DSPGUA4"":1,""a1C1I000000DSPEUA4"":1,""a1C1I000000DSPCUA4"":1,""a1C1I000000DSOVUA4"":1,""a1C1I000000DSPDUA4"":1,""a1C1I000000DSPFUA4"":1,""a1C1I000000DSPIUA4"":1,""a1C1I000000DSPPUA4"":1,""a1C1I000000DSQXUA4"":2}",false,false,false,false,false,false,rachelbrown@mailinator.com,,false,false,false,,false,Personal Greeting,,false,false,,,0,0,0,0,false,,,0,,,,,false,,,private,false,false,,,,LA,US,LA,US,,0034W00002Al3ZeQAJ,2015-09-11,,,,455,,false,,,,,false,false,,,,,,,,,,,20,,,,,
