Id,EventApi__Assignment__c,Name,External_Id__c,EventApi__Event__c,EventApi__Account__c,EventApi__Contact__c,EventApi__Email__c,EventApi__Full_Name__c,EventApi__Is_Checked_In__c,EventApi__Is_Registered__c,EventApi__Preferred_Email__c,EventApi__Registration_Date__c,EventApi__Registration_Group__c,EventApi__Registration_Site_Url__c,EventApi__Sales_Order_Line__c,EventApi__Sales_Order__c,EventApi__Send_Notification__c,EventApi__Status__c,EventApi__Ticket_Type__c,EventApi__Registration_Total__c,EventApi__Contact_Created_by_System__c,EventApi__Invitation_Status__c,EventApi__Is_Invitation_Accepted__c,EventApi__Is_Invitation_Declined__c,EventApi__Is_Invitation_Not_Sent__c,EventApi__Is_Invitation_Sent__c,EventApi__Last_Invitation_Email_Sent__c,EventApi__Max_Guests_Allowed__c,EventApi__Refund_Requested__c,EventApi__Seat__c,EventApi__Send_Invitation_Email__c,EventApi__First_Name__c,EventApi__Last_Name__c,EventApi__Assigned_Guest_Ticket_Type__c,EventApi__Invitation_Source__c,Test_Engagement_Score__c,Event_Name__c,Event_NameDis__c,Ticket__c,EventApi__Assignment__r.External_Id__c,EventApi__Event__r.Id,EventApi__Account__r.External_Id__c,EventApi__Contact__r.External_Id__c,EventApi__Registration_Group__r.External_Id__c,EventApi__Sales_Order_Line__r.External_Id__c,EventApi__Sales_Order__r.External_Id__c,EventApi__Ticket_Type__r.External_Id__c,EventApi__Seat__r.External_Id__c,EventApi__Assigned_Guest_Ticket_Type__r.External_Id__c
a1W4W00000Aq8g9UAB,a0j4W00000E3Jr8QAF,000001293,1,a1Y4W000002r0brUAA,0014W000025FRkNQAW,0034W00002DpochQAB,stest1@mailinator.com,sneha test1 (Guest),false,false,stest1@mailinator.com,2020-03-17,a1Z4W00002A8wXBUAZ,,a1I4W00000HFZmEUAX,a1J4W00000CgFrxUAF,true,Registered,a1j4W00000SEaG1QAL,700,true,Not Sent,false,false,true,false,,,false,,false,sneha,test1 (Guest),,,,Awards Dinner (Lightning Event),,,497,a1Y4W000002r0brUAA,21,48,17,133,317,37,,
a1W4W00000Aq8gAUAR,a0j4W00000E3Jr9QAF,000001294,2,a1Y4W000002r0brUAA,0014W000025FRkNQAW,0034W00002DpochQAB,stest1@mailinator.com,sneha test1 (Guest),false,false,stest1@mailinator.com,2020-03-17,a1Z4W00002A8wXBUAZ,,a1I4W00000HFZmEUAX,a1J4W00000CgFrxUAF,true,Registered,a1j4W00000SEaG1QAL,700,true,Not Sent,false,false,true,false,,,false,,false,sneha,test1 (Guest),,,,Awards Dinner (Lightning Event),,,498,a1Y4W000002r0brUAA,21,48,17,133,317,37,,
a1W4W00000Aq8gBUAR,a0j4W00000E3JrAQAV,000001295,3,a1Y4W000002r0brUAA,0014W000025FRkNQAW,0034W00002DpochQAB,stest1@mailinator.com,sneha test1 (Guest),false,false,stest1@mailinator.com,2020-03-17,a1Z4W00002A8wXBUAZ,,a1I4W00000HFZmEUAX,a1J4W00000CgFrxUAF,true,Registered,a1j4W00000SEaG1QAL,700,true,Not Sent,false,false,true,false,,,false,,false,sneha,test1 (Guest),,,,Awards Dinner (Lightning Event),,,499,a1Y4W000002r0brUAA,21,48,17,133,317,37,,
a1W4W00000Aq8gCUAR,a0j4W00000E3JrBQAV,000001296,4,a1Y4W000002r0brUAA,0014W000025FRkNQAW,0034W00002DpochQAB,stest1@mailinator.com,sneha test1 (Guest),false,false,stest1@mailinator.com,2020-03-17,a1Z4W00002A8wXBUAZ,,a1I4W00000HFZmEUAX,a1J4W00000CgFrxUAF,true,Registered,a1j4W00000SEaG1QAL,700,true,Not Sent,false,false,true,false,,,false,,false,sneha,test1 (Guest),,,,Awards Dinner (Lightning Event),,,500,a1Y4W000002r0brUAA,21,48,17,133,317,37,,
a1W4W00000Aq8gDUAR,a0j4W00000E3JrCQAV,000001297,5,a1Y4W000002r0brUAA,0014W000025FRkNQAW,0034W00002DpochQAB,stest1@mailinator.com,sneha test1 (Guest),false,false,stest1@mailinator.com,2020-03-17,a1Z4W00002A8wXBUAZ,,a1I4W00000HFZmEUAX,a1J4W00000CgFrxUAF,true,Registered,a1j4W00000SEaG1QAL,700,true,Not Sent,false,false,true,false,,,false,,false,sneha,test1 (Guest),,,,Awards Dinner (Lightning Event),,,501,a1Y4W000002r0brUAA,21,48,17,133,317,37,,
a1W4W00000Aq8gEUAR,,000001298,6,a1Y4W000002r0bsUAA,0014W000025FRkuQAG,0034W00002DpodTQAR,sandler@mailinator.com,Adam Sandler,false,false,sandler@mailinator.com,,,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/apex/eventapi__router?attendee=a1W3s000001vZUQEA2&event=a1Y6A000000awjmUAA&site=a0d6A000001RhaTQAS&theme=a0e6A000002OnyDQAS,,,false,Invited,a1j4W00000SEaG2QAL,0,false,Not Sent,false,false,true,false,,0,false,,true,Adam,Sandler,,Manual Add Attendees,,Annual Conference (Lightning Event),,,,a1Y4W000002r0bsUAA,46,276,,,,29,,
a1W4W00000Aq8gFUAR,,000001299,7,a1Y4W000002r0bpUAA,,0034W00002DpoeoQAB,,Bob Joe,false,true,joe@mailinator.com,2020-05-08,a1Z4W00002A8wWwUAJ,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s,,,false,Registered,a1j4W00000SEaFyQAL,0,true,Not Sent,false,false,true,false,,,false,,false,Bob,Joe,,,,Fonteva Free Events Webinar,,,,a1Y4W000002r0bpUAA,,125,2,,,43,,
a1W4W00000Aq8gGUAR,,000001300,8,a1Y4W000002r0bpUAA,,0034W00002DpocWQAR,ptest@mailinator.com,prathyusha Test,false,false,ptest@mailinator.com,,,,,,false,Invited,a1j4W00000SEaFyQAL,0,false,Not Sent,false,false,true,false,,0,false,,false,prathyusha,Test,,Report: Attendee Invitation List,,Fonteva Free Events Webinar,,,,a1Y4W000002r0bpUAA,,1,,,,43,,
a1W4W00000Aq8gHUAR,,000001301,9,a1Y4W000002r0bpUAA,,0034W00002DpodeQAB,terry.barron@mailinator.com,Terry Barron,false,false,terry.barron@mailinator.com,,,,,,false,Invited,a1j4W00000SEaFyQAL,0,false,Not Sent,false,false,true,false,,0,false,,false,Terry,Barron,,Report: Attendee Invitation List,,Fonteva Free Events Webinar,,,,a1Y4W000002r0bpUAA,,275,,,,43,,
a1W4W00000Aq8gIUAR,,000001302,10,a1Y4W000002r0bpUAA,,0034W00002DpohKQAR,gbieber@mailinator.com,Gavin Bieber,false,false,gbieber@mailinator.com,,,,,,false,Invited,a1j4W00000SEaFyQAL,0,false,Not Sent,false,false,true,false,,0,false,,false,Gavin,Bieber,,Report: Attendee Invitation List,,Fonteva Free Events Webinar,,,,a1Y4W000002r0bpUAA,,221,,,,43,,
