Id,Name,External_Id__c,EventApi__Account__c,EventApi__Create_Contacts__c,EventApi__Create_Standing_Sales_Order__c,EventApi__Description__c,EventApi__Display_Registered_Members__c,EventApi__Enable_Access_Permissions__c,EventApi__Event__c,EventApi__Group_Logo_URL__c,EventApi__Invitation_Email_Body__c,EventApi__Invoice_Date__c,EventApi__Limit_Registrations__c,EventApi__Payment_Method__c,EventApi__Payment_Status__c,EventApi__Payment_Terms__c,EventApi__Payment_Type__c,EventApi__Posting_Entity__c,EventApi__Primary_Contact__c,EventApi__Register_Site_Url__c,EventApi__Registered_Attendees__c,EventApi__Registration_Code__c,EventApi__Registration_Instructions__c,EventApi__Registration_Limit__c,EventApi__Registration_Page_Header__c,LTE__Invited_Attendee__c,EventApi__Account__r.External_Id__c,EventApi__Event__r.Id,EventApi__Payment_Method__r.External_Id__c,EventApi__Payment_Terms__r.External_Id__c,EventApi__Primary_Contact__r.External_Id__c,LTE__Invited_Attendee__r.External_Id__c
a1Z4W00002A8wWvUAJ,Eva Foxworth's Group,1,0014W000025FRlJQAW,false,false,,false,false,a1Y4W000002r0bpUAA,,,,false,,,,Invoice,,0034W00002DpodrQAB,,1,0041,,,,,16,a1Y4W000002r0bpUAA,,,152,
a1Z4W00002A8wWwUAJ,Bob Kelley's Group,2,0014W000025FRkKQAW,false,false,,false,false,a1Y4W000002r0bpUAA,,,,false,,,,Invoice,,0034W00002DpodbQAB,,2,0042,,,,,5,a1Y4W000002r0bpUAA,,,272,
a1Z4W00002A8wWxUAJ,Leila Simon's Group,3,0014W000025FRkKQAW,false,false,,false,false,a1Y4W000002r0c5UAA,,,,false,,,,Invoice,,0034W00002DpocTQAR,,0,0043,,,,,5,a1Y4W000002r0c5UAA,,,150,
a1Z4W00002A8wWyUAJ,Leila Simon's Group,4,0014W000025FRkKQAW,false,false,,false,false,a1Y4W000002r0bpUAA,,,,false,,,,Invoice,,0034W00002DpocTQAR,,1,0044,,,,,5,a1Y4W000002r0bpUAA,,,150,
a1Z4W00002A8wWzUAJ,prathyusha Test's Group,5,0014W000025FRkNQAW,false,false,,false,false,a1Y4W000002r0bmUAA,,,,false,,,,Invoice,,0034W00002DpocWQAR,,2,0045,,,,,21,a1Y4W000002r0bmUAA,,,1,
a1Z4W00002A8wX0UAJ,prathyusha Test's Group,6,0014W000025FRkNQAW,false,false,,false,false,a1Y4W000002r0bnUAA,,,,false,,,,Invoice,,0034W00002DpocWQAR,,4,0046,,,,,21,a1Y4W000002r0bnUAA,,,1,
a1Z4W00002A8wX1UAJ,Test Test2's Group,7,0014W000025FRkNQAW,false,false,,false,false,a1Y4W000002r0bmUAA,,,,false,,,,Invoice,,,,2,0049,,,,,21,a1Y4W000002r0bmUAA,,,,
a1Z4W00002A8wX2UAJ,Bob Kelley's Group,8,0014W000025FRkKQAW,false,false,,false,false,a1Y4W000002r0c5UAA,,,,false,,,,Invoice,,0034W00002DpodbQAB,,0,0053,,,,,5,a1Y4W000002r0c5UAA,,,272,
a1Z4W00002A8wX3UAJ,Victoria Deegan's Group,9,0014W000025FRkNQAW,false,false,,false,false,a1Y4W000002r0boUAA,,,,false,,,,Invoice,,0034W00002DpodaQAB,,0,0054,,,,a1W4W00000Aq8kvUAB,21,a1Y4W000002r0boUAA,,,273,71
a1Z4W00002A8wX4UAJ,Diego Alzugaray's Group,10,0014W000025FRkNQAW,false,false,,false,false,a1Y4W000002r0bpUAA,,,,false,,,,Invoice,,0034W00002DpoeCQAR,,1,0057,,,,,21,a1Y4W000002r0bpUAA,,,14,
a1Z4W00002A8wX5UAJ,Bob Kelley's Group,11,0014W000025FRkKQAW,false,false,,false,false,a1Y4W000002r0bqUAA,,,,false,,,,Invoice,,0034W00002DpodbQAB,,2,0058,,,,,5,a1Y4W000002r0bqUAA,,,272,
a1Z4W00002A8wX6UAJ,Will Brown's Group,12,0014W000025FRkNQAW,false,false,,false,false,a1Y4W000002r0bqUAA,,,,false,,,,Invoice,,0034W00002DpoeMQAR,,1,0059,,,,,21,a1Y4W000002r0bqUAA,,,24,
a1Z4W00002A8wX7UAJ,Caroline Qureshi's Group,13,0014W000025FRkKQAW,false,false,,false,false,a1Y4W000002r0bmUAA,,,,false,,,,Invoice,,0034W00002DpoceQAB,,1,0061,,,,,5,a1Y4W000002r0bmUAA,,,10,
a1Z4W00002A8wX8UAJ,test test's Group,14,0014W000025FRkNQAW,false,false,,false,false,a1Y4W000002r0bqUAA,,,,false,,,,Invoice,,0034W00002DpoePQAR,,0,0062,,,,,21,a1Y4W000002r0bqUAA,,,27,
a1Z4W00002A8wX9UAJ,Jim Nugget's Group,15,0014W000025FRkLQAW,false,false,,false,false,a1Y4W000002r0bqUAA,,,,false,,,,Invoice,,0034W00002DpocUQAR,,1,0070,,,,,6,a1Y4W000002r0bqUAA,,,219,
a1Z4W00002A8wXAUAZ,Jenifer Alonzo's Group,16,0014W000025FRkSQAW,false,false,,false,false,a1Y4W000002r0bqUAA,,,,false,,,,Invoice,,0034W00002DpocfQAB,,1,0075,,,,,107,a1Y4W000002r0bqUAA,,,41,
a1Z4W00002A8wXBUAZ,sneha test1's Group,17,0014W000025FRkNQAW,false,false,,false,false,a1Y4W000002r0brUAA,,,,false,,,,Invoice,,0034W00002DpochQAB,,16,0076,,,,,21,a1Y4W000002r0brUAA,,,48,
a1Z4W00002A8wXCUAZ,test12 test123's Group,18,0014W000025FRkNQAW,false,false,,false,false,a1Y4W000002r0bsUAA,,,,false,,,,Invoice,,0034W00002DpoebQAB,,0,0078,,,,,21,a1Y4W000002r0bsUAA,,,111,
a1Z4W00002A8wXDUAZ,Eva Foxworth's Group,19,0014W000025FRlJQAW,false,false,,false,false,a1Y4W000002r0bqUAA,,,,false,,,,Invoice,,0034W00002DpodrQAB,,0,0082,,,,,16,a1Y4W000002r0bqUAA,,,152,
a1Z4W00002A8wXEUAZ,Maria Zuniga's Group,20,0014W000025FRkNQAW,false,false,,false,false,a1Y4W000002r0bqUAA,,,,false,,,,Invoice,,0034W00002DpoeqQAB,,0,0083,,,,,21,a1Y4W000002r0bqUAA,,,62,
a1Z4W00002A8wXFUAZ,Jenifer Alonzo's Group,21,,false,false,,false,false,a1Y4W000002r0bqUAA,,,,false,,,,Invoice,,0034W00002DpocfQAB,,0,0084,,,,,,a1Y4W000002r0bqUAA,,,41,
a1Z4W00002A8wXGUAZ,Jenifer Alonzo's Group,22,,false,false,,false,false,,,,,false,,,,Invoice,,0034W00002DpocfQAB,,1,0085,,,,,,,,,41,
a1Z4W00002A8wXHUAZ,Jim Nugget's Group,23,,false,false,,false,false,a1Y4W000002r0bqUAA,,,,false,,,,Invoice,,0034W00002DpocUQAR,,1,0086,,,,,,a1Y4W000002r0bqUAA,,,219,
a1Z4W00002A8wXIUAZ,Bob Kelley's Group,24,,false,false,,false,false,,,,,false,,,,Invoice,,0034W00002DpodbQAB,,0,0087,,,,,,,,,272,
a1Z4W00002A8wXJUAZ,dasd fsda's Group,25,0014W000025FRkNQAW,false,false,,false,false,a1Y4W000002r0bmUAA,,,,false,,,,Invoice,,0034W00002DpoevQAB,,0,0088,,,,,21,a1Y4W000002r0bmUAA,,,69,
a1Z4W00002A8wXKUAZ,dasd fsda's Group,26,0014W000025FRkNQAW,false,false,,false,false,a1Y4W000002r0bqUAA,,,,false,,,,Invoice,,0034W00002DpoexQAB,,0,0089,,,,,21,a1Y4W000002r0bqUAA,,,71,
a1Z4W00002A8wXLUAZ,Rose Brixton's Group,27,0014W000025FRlKQAW,false,false,,false,false,a1Y4W000002r0bqUAA,,,,false,,,,Invoice,,0034W00002DpodsQAB,,1,0090,,,,,17,a1Y4W000002r0bqUAA,,,156,
a1Z4W00002A8wXMUAZ,Etta Brown's Group,28,0014W000025FRl8QAG,false,false,,false,false,a1Y4W000002r0btUAA,,,,false,,,,Invoice,,0034W00002DpodfQAB,,0,0091,,,,a1W4W00000Aq8i3UAB,20,a1Y4W000002r0btUAA,,,98,75
a1Z4W00002A8wXNUAZ,Mila Kunis's Group,29,,false,false,,false,false,a1Y4W000002r0bsUAA,,,,false,,,,Invoice,,,,0,0030,,,,,,a1Y4W000002r0bsUAA,,,,
a1Z4W00002A8wXOUAZ,Dennis Brixton's Group,30,,false,false,,false,false,a1Y4W000002r0bsUAA,,,,false,,,,Invoice,,0034W00002DpofAQAR,,3,0016,,,,,,a1Y4W000002r0bsUAA,,,155,
a1Z4W00002A8wXPUAZ,Dagmar Sousa's Group,31,,false,false,,false,false,a1Y4W000002r0bsUAA,,,,false,,,,Invoice,,,,0,0017,,,,,,a1Y4W000002r0bsUAA,,,,
a1Z4W00002A8wXQUAZ,Clifford Wellington's Group,32,,false,false,,false,false,a1Y4W000002r0bsUAA,,,,false,,,,Invoice,,0034W00002DpogYQAR,,0,0018,,,,,,a1Y4W000002r0bsUAA,,,257,
a1Z4W00002A8wXRUAZ,LIsa Myers's Group,33,,false,false,,false,false,a1Y4W000002r0bsUAA,,,,false,,,,Invoice,,0034W00002DpogZQAR,,0,0019,,,,,,a1Y4W000002r0bsUAA,,,258,
a1Z4W00002A8wXSUAZ,LIsa Myers's Group,34,,false,false,,false,false,a1Y4W000002r0bsUAA,,,,false,,,,Invoice,,0034W00002DpogZQAR,,0,0020,,,,,,a1Y4W000002r0bsUAA,,,258,
a1Z4W00002A8wXTUAZ,Bob Kelley's Group,35,,false,false,,false,false,a1Y4W000002r0brUAA,,,,false,,,,Invoice,,0034W00002DpodbQAB,,0,0021,,,,,,a1Y4W000002r0brUAA,,,272,
a1Z4W00002A8wXUUAZ,Kevin Landsman's Group,36,,false,false,,false,false,a1Y4W000002r0bsUAA,,,,false,,,,Invoice,,0034W00002DpogbQAB,,0,0022,,,,,,a1Y4W000002r0bsUAA,,,260,
a1Z4W00002A8wXVUAZ,Bob Kelley's Group,37,,false,false,,false,false,a1Y4W000002r0brUAA,,,,false,,,,Invoice,,0034W00002DpodbQAB,,2,0023,,,,,,a1Y4W000002r0brUAA,,,272,
a1Z4W00002A8wXWUAZ,Julie Smith's Group,38,,false,false,,false,false,a1Y4W000002r0bsUAA,,,,false,,,,Invoice,,0034W00002DpogdQAB,,0,0024,,,,,,a1Y4W000002r0bsUAA,,,262,
