Id,Name,External_Id__c,OrderApi__Scheduled_Payment__c,OrderApi__API_Amount__c,OrderApi__AVS_Code__c,OrderApi__AVS_Message__c,OrderApi__Account__c,OrderApi__Bank_Account_Holder_Type__c,OrderApi__Bank_Account_Number__c,OrderApi__Bank_Account_Type__c,OrderApi__Bank_Name__c,OrderApi__Bank_Routing_Number__c,OrderApi__Batch__c,OrderApi__Billing_City__c,OrderApi__Billing_Country__c,OrderApi__Billing_Postal_Code__c,OrderApi__Billing_State__c,OrderApi__Billing_Street__c,OrderApi__Business_Group__c,OrderApi__CVV_Code__c,OrderApi__CVV_Message__c,OrderApi__Cancelled__c,OrderApi__Card_Number__c,OrderApi__Card_Type__c,OrderApi__Contact__c,OrderApi__Create_Payment_Schedule__c,OrderApi__Currency_Code__c,OrderApi__Date__c,OrderApi__Deposit_Account__c,OrderApi__Description__c,OrderApi__Eligible_for_Card_Updater__c,OrderApi__Email__c,OrderApi__Entity__c,OrderApi__Error_Code__c,OrderApi__Errors__c,OrderApi__First_Name__c,OrderApi__First_Six_Digits__c,OrderApi__Full_Name__c,OrderApi__Gateway_Token__c,OrderApi__Gateway_Transaction_ID__c,OrderApi__Has_Errors__c,OrderApi__IP_Address__c,OrderApi__Is_Scheduled__c,OrderApi__Last_4_Digits__c,OrderApi__Last_Four_Digits__c,OrderApi__Last_Name__c,OrderApi__Merchant_Location_Descriptor__c,OrderApi__Merchant_Name_Descriptor__c,OrderApi__Message__c,OrderApi__Month__c,OrderApi__Number__c,OrderApi__Number_of_Installments__c,OrderApi__On_Test_Gateway__c,OrderApi__Order_ID__c,OrderApi__Path__c,OrderApi__Payment_Gateway__c,OrderApi__Payment_Method_Token__c,OrderApi__Payment_Method_Type__c,OrderApi__Payment_Method__c,OrderApi__Pending__c,OrderApi__Phone__c,OrderApi__Receipt_Created__c,OrderApi__Reference_Token__c,OrderApi__Refund_Receipt__c,OrderApi__Retain_on_Success__c,OrderApi__Sales_Order__c,OrderApi__Schedule_Frequency__c,OrderApi__Schedule_Type__c,OrderApi__Source_Code__c,OrderApi__Start_Date__c,OrderApi__Status__c,OrderApi__Storage_State__c,OrderApi__Succeeded__c,OrderApi__Total__c,OrderApi__Transaction_Token__c,OrderApi__Transaction_Type__c,OrderApi__Verification_Value__c,OrderApi__Year__c,OrderApi__Amount__c,OrderApi__API_Response__c,OrderApi__EPayment__c,OrderApi__Is_Voided__c,OrderApi__Process_Payment__c,OrderApi__Process_Void__c,OrderApi__State__c,OrderApi__Is_ThreeDS__c,OrderApi__Scheduled_Payment__r.External_Id__c,OrderApi__Account__r.External_Id__c,OrderApi__Batch__r.External_Id__c,OrderApi__Business_Group__r.Name,OrderApi__Contact__r.External_Id__c,OrderApi__Deposit_Account__r.Id,OrderApi__Payment_Gateway__r.External_Id__c,OrderApi__Payment_Method__r.External_Id__c,OrderApi__Refund_Receipt__r.External_Id__c,OrderApi__Sales_Order__r.External_Id__c,OrderApi__Source_Code__r.Id,OrderApi__EPayment__r.External_Id__c
a0z4W00000iXrFdQAK,0000000097,1,,7500,,,,,,,,,,,,,,,a0o4W00000M5SknQAF,,,false,XXXX-XXXX-XXXX-1111,visa,,false,USD,2019-01-15,a104W00000G3d1EQAR,Sales Order #000001764,false,,Contact,,,testing,411111,testing fonteva,S3cC7nvTH0SezBYdmrX48h46kat,49,false,,false,,1111,fonteva,,,Succeeded!,1,XXXX-XXXX-XXXX-1111,,false,000001764,/aura,a184W00000FIxRPQA1,KThwMjM3MWlnn7yLQodW5F47q5f,credit_card,,false,,false,,,false,,,Simple Receipt,,,Success,cached,true,75,VFDmq44sHvjFAJRdkkhyQE6hzLH,Purchase,,2023,75,,,false,false,false,succeeded,false,,,,FON-International Association,,a104W00000G3d1EQAR,3,,,,,
a0z4W00000iXrFeQAK,0000000098,2,,7500,,,0014W000025FRkNQAW,,,,,,,,,,,,a0o4W00000M5SknQAF,,,false,XXXX-XXXX-XXXX-1111,visa,,false,USD,2019-01-15,a104W00000G3d1EQAR,Sales Order #000001765,false,,Contact,,,Hayley,411111,Hayley Tuesday,S3cC7nvTH0SezBYdmrX48h46kat,58,false,,false,,1111,Tuesday,,,Succeeded!,1,XXXX-XXXX-XXXX-1111,,false,000001765,/aura,a184W00000FIxRPQA1,MnYBBEEkujbeGWbgXnGQP6oYLw6,credit_card,,false,,false,,,false,a1J4W00000CgG5OUAV,,Simple Receipt,,,Success,cached,true,75,5uWSQEuqgB9Px0wRlTvFvjyanew,Purchase,,2024,75,,,false,false,false,succeeded,false,,21,,FON-International Association,,a104W00000G3d1EQAR,3,,,1158,,
a0z4W00000iXrFfQAK,0000000099,3,,7500,,,0014W000025FRkNQAW,,,,,,,,,,,,a0o4W00000M5SknQAF,,,false,XXXX-XXXX-XXXX-1111,visa,,false,USD,2019-01-15,a104W00000G3d1EQAR,Sales Order #000001766,false,,Contact,,,Hayley,411111,Hayley Tuesday,S3cC7nvTH0SezBYdmrX48h46kat,58,false,,false,,1111,Tuesday,,,Succeeded!,1,XXXX-XXXX-XXXX-1111,,false,000001766,/aura,a184W00000FIxRPQA1,EES3FVoHQ1ZEyYvFynsS0vQsT2h,credit_card,,false,,false,,,false,a1J4W00000CgG5PUAV,,Simple Receipt,,,Success,cached,true,75,722b2SbFpiM9HuIXfxeczDf68ks,Purchase,,2023,75,,,false,false,false,succeeded,false,,21,,FON-International Association,,a104W00000G3d1EQAR,3,,,1159,,
a0z4W00000iXrFgQAK,0000000101,4,,10000,,,0014W000025FRkNQAW,,,,,,,,,,,,a0o4W00000M5SknQAF,,,false,XXXX-XXXX-XXXX-1111,visa,0034W00002Dpoh5QAB,false,USD,2019-01-28,a104W00000G3d1EQAR,Sales Order #000001778,false,,Contact,,,Caro,411111,Caro Qureshi,S3cC7nvTH0SezBYdmrX48h46kat,45,false,,false,,1111,Qureshi,,,Succeeded!,1,XXXX-XXXX-XXXX-1111,,false,000001778,/aura,a184W00000FIxRPQA1,4VZJS9gtaUnH0F6bcMUBKOSmsA8,credit_card,,false,,false,,,false,a1J4W00000CgG5ZUAV,,Simple Receipt,,,Success,cached,true,100,YEp5oDWxFd5TMXPu7K2r6NSeSH3,Purchase,,2024,100,,,false,false,false,succeeded,false,,21,,FON-International Association,296,a104W00000G3d1EQAR,3,,,1169,,
a0z4W00000iXrFhQAK,0000000102,5,,250000,,,0014W000025FRkNQAW,,,,,,,,,,,,a0o4W00000M5SknQAF,,,false,XXXX-XXXX-XXXX-1111,visa,0034W00002Dpoh6QAB,false,USD,2019-01-28,a104W00000G3d1EQAR,Sales Order #000001779,false,,Contact,,,Caroline,411111,Caroline Qureshi,S3cC7nvTH0SezBYdmrX48h46kat,49,false,,false,,1111,Qureshi,,,Succeeded!,1,XXXX-XXXX-XXXX-1111,,false,000001779,/aura,a184W00000FIxRPQA1,CF2EirZZJiqytuhunwJGRKQuIZZ,credit_card,,false,,false,,,false,a1J4W00000CgG5aUAF,,Simple Receipt,,,In-Progress  Pending,cached,false,2500,IvtpzQXAKuOMRkjVLCFP7MuYvvY,Authorization,,2024,2500,,,false,false,false,succeeded,false,,21,,FON-International Association,297,a104W00000G3d1EQAR,3,,,1170,,
a0z4W00000iXrFiQAK,0000000103,6,,2500,,,0014W000025FRkKQAW,,,,,,,Washington,United States,20500,District of Columbia,1600 Pennsylvania Avenue Northwest,a0o4W00000M5SknQAF,,,false,XXXX-XXXX-XXXX-1111,visa,0034W00002DpodbQAB,false,USD,2019-02-18,a104W00000G3d1EQAR,Sales Order #000001805,false,,Contact,,,Bob,411111,Bob Kelley,S3cC7nvTH0SezBYdmrX48h46kat,66,false,,false,,1111,Kelley,,,Succeeded!,1,XXXX-XXXX-XXXX-1111,,false,000001805,/LightningMemberPortal/aura,a184W00000FIxRPQA1,IuYsshsm8pSkF8VDMEe6eMoPcJ5,credit_card,,false,,false,,,false,a1J4W00000CgG5vUAF,,Simple Receipt,,,Success,cached,true,25,OqjqsAMBXYrn1i6XRGdZf8qqUc8,Purchase,,2023,25,,,false,false,false,succeeded,false,,5,,FON-International Association,272,a104W00000G3d1EQAR,3,,,1177,,
a0z4W00000iXrFjQAK,0000000104,7,,2500,,,0014W000025FRkKQAW,,,,,,,Washington,United States,20500,District of Columbia,1600 Pennsylvania Avenue Northwest,a0o4W00000M5SknQAF,,,false,XXXX-XXXX-XXXX-1111,visa,0034W00002DpodbQAB,false,USD,2019-02-18,a104W00000G3d1EQAR,Sales Order #000001809,false,,Contact,,,Bob,411111,Bob Kelley,S3cC7nvTH0SezBYdmrX48h46kat,67,false,,false,,1111,Kelley,,,Succeeded!,1,XXXX-XXXX-XXXX-1111,,false,000001809,/LightningMemberPortal/aura,a184W00000FIxRPQA1,UUnOCC6xdhkV7XSWrOcV2aw5bw6,credit_card,,false,,false,,,false,a1J4W00000CgG5zUAF,,Simple Receipt,,,Success,cached,true,25,IZweDX7RDZXzN60zvMR52fyE7I3,Purchase,,2022,25,,,false,false,false,succeeded,false,,5,,FON-International Association,272,a104W00000G3d1EQAR,3,,,1181,,
a0z4W00000iXrFkQAK,0000000105,8,,30000,,,,,,,,,,,,,,,a0o4W00000M5SknQAF,,,false,XXXX-XXXX-XXXX-1111,visa,,false,USD,2019-02-18,a104W00000G3d1EQAR,Sales Order #000001811,false,,Contact,,,Diego,411111,Diego Alzugaraytest2,S3cC7nvTH0SezBYdmrX48h46kat,68,false,,false,,1111,Alzugaraytest2,,,Succeeded!,1,XXXX-XXXX-XXXX-1111,,false,000001811,/LightningMemberPortal/aura,a184W00000FIxRPQA1,ZQmJeCjCJcy5Zkkg70NzFhedgAp,credit_card,a194W000009Mx8cQAC,false,,false,,,false,a1J4W00000CgG61UAF,,Simple Receipt,,,Success,retained,true,300,VwKYm6rGIVbJhmdNx9wgWwqfWNb,Purchase,,2022,300,,,false,false,false,succeeded,false,,,,FON-International Association,,a104W00000G3d1EQAR,3,26,,1183,,
a0z4W00000iXrFlQAK,0000000106,9,,42500,,,,,,,,,,,,,,,a0o4W00000M5SknQAF,,,false,XXXX-XXXX-XXXX-1111,visa,,false,USD,2019-02-18,a104W00000G3d1EQAR,Sales Order #000001812,false,,Contact,,,Diego,411111,Diego Alzugaraytest2,S3cC7nvTH0SezBYdmrX48h46kat,63,false,,false,,1111,Alzugaraytest2,,,Succeeded!,1,XXXX-XXXX-XXXX-1111,,false,000001812,/LightningMemberPortal/sfsites/aura,a184W00000FIxRPQA1,ZQmJeCjCJcy5Zkkg70NzFhedgAp,credit_card,a194W000009Mx8cQAC,false,,false,,,false,a1J4W00000CgG62UAF,,Simple Receipt,,,Success,retained,true,425,X1vYFB4pQ7821zyqK3iStuI2eH5,Purchase,,2022,425,,,false,false,false,succeeded,false,,,,FON-International Association,,a104W00000G3d1EQAR,3,26,,1184,,
a0z4W00000iXrFmQAK,0000000107,10,,27500,,,,,,,,,,,,,,,a0o4W00000M5SknQAF,,,false,XXXX-XXXX-XXXX-1111,visa,,false,USD,2019-02-18,a104W00000G3d1EQAR,Sales Order #000001814,false,,Contact,,,Diego,411111,Diego Alzugaraytest2,S3cC7nvTH0SezBYdmrX48h46kat,44,false,,false,,1111,Alzugaraytest2,,,Succeeded!,1,XXXX-XXXX-XXXX-1111,,false,000001814,/LightningMemberPortal/sfsites/aura,a184W00000FIxRPQA1,ZQmJeCjCJcy5Zkkg70NzFhedgAp,credit_card,a194W000009Mx8cQAC,false,,false,,,false,a1J4W00000CgG64UAF,,Simple Receipt,,,Success,retained,true,275,8IxQcbj4h0gxo9r5CyxqcRi5gpX,Purchase,,2022,275,,,false,false,false,succeeded,false,,,,FON-International Association,,a104W00000G3d1EQAR,3,26,,602,,
