Id,OrderApi__Sales_Order__c,OrderApi__Term__c,Name,External_Id__c,OrderApi__AR_Account__c,OrderApi__Scheduled_Payment__c,OrderApi__Subscription__c,OrderApi__Account__c,OrderApi__Amount_Paid__c,OrderApi__Amount_Refunded__c,OrderApi__Balance_Due__c,OrderApi__Billing_City__c,OrderApi__Billing_Contact__c,OrderApi__Billing_Country__c,OrderApi__Billing_Postal_Code__c,OrderApi__Billing_State__c,OrderApi__Billing_Street__c,OrderApi__Business_Group__c,OrderApi__Calculate_Billing_Details__c,OrderApi__Calculate_Due_Date__c,OrderApi__Calculate_Shipping_Details__c,OrderApi__Contact__c,OrderApi__Credits_Applied__c,OrderApi__Customer_Link__c,OrderApi__Customer_Reference_Number__c,OrderApi__Days_Overdue__c,OrderApi__Description__c,OrderApi__Due_Date__c,OrderApi__Entity__c,OrderApi__Has_Payments__c,OrderApi__Has_Refunds__c,OrderApi__Invoice_Date__c,OrderApi__Is_Cancelled__c,OrderApi__Is_Overdue__c,OrderApi__Is_Paid__c,OrderApi__Is_Posted__c,OrderApi__Is_Voided__c,OrderApi__Memo__c,OrderApi__Paid_Date__c,OrderApi__Payment_Count__c,OrderApi__Payment_Terms__c,OrderApi__Posted_Date__c,OrderApi__Refund_Count__c,OrderApi__Shipping_City__c,OrderApi__Shipping_Contact__c,OrderApi__Shipping_Country__c,OrderApi__Shipping_Postal_Code__c,OrderApi__Shipping_State__c,OrderApi__Shipping_Street__c,OrderApi__Status__c,OrderApi__Total__c,OrderApi__Voided_Date__c,OrderApi__Adjustments__c,OrderApi__Item_Count__c,OrderApi__Subtotal__c,OrderApi__Credits_and_Adjustments__c,OrderApi__Encrypted_Id__c,FontevaReports__Posted_Age__c,OrderApi__Sales_Order__r.External_Id__c,OrderApi__Term__r.External_Id__c,OrderApi__AR_Account__r.Id,OrderApi__Scheduled_Payment__r.External_Id__c,OrderApi__Subscription__r.External_Id__c,OrderApi__Account__r.External_Id__c,OrderApi__Business_Group__r.Name,OrderApi__Contact__r.External_Id__c,OrderApi__Payment_Terms__r.External_Id__c
a124W00000MTddgQAD,a1J4W00000CgFskUAF,a1H4W00000BB53VUAT,000000771,1,a104W00000G3d1FQAR,,a1S4W000004D1RmUAK,0014W000025FRkVQAW,0,0,416.67,Arlington,Sabrina Crawley 1,United States,,Virginia,4420 Fairfax Dr.,a0o4W00000M5SknQAF,true,true,true,0034W00002DpocmQAB,0,"EUT-XYZ, Inc. 1",,0,,2020-11-08,Account,false,false,2020-11-08,false,false,false,true,false,,,0,a1A4W00000F6ZX2UAN,2020-04-08,0,Arlington,Sabrina Crawley 1,United States,,Virginia,4420 Fairfax Dr.,Posted,416.67,,0,1,416.67,0,PfLQq/b1dM20kV4RcMaMLYt6UgyX0XvfdIfFHx/VL8w=,175,499,145,a104W00000G3d1FQAR,,35,109,FON-International Association,53,1
a124W00000MTddhQAD,a1J4W00000CgFskUAF,a1H4W00000BB53VUAT,000000772,2,a104W00000G3d1FQAR,,a1S4W000004D1RmUAK,0014W000025FRkVQAW,0,0,416.67,Arlington,Sabrina Crawley 1,United States,,Virginia,4420 Fairfax Dr.,a0o4W00000M5SknQAF,true,true,true,0034W00002DpocmQAB,0,"EUT-XYZ, Inc. 1",,0,,2020-12-08,Account,false,false,2020-12-08,false,false,false,true,false,,,0,a1A4W00000F6ZX2UAN,2020-04-08,0,Arlington,Sabrina Crawley 1,United States,,Virginia,4420 Fairfax Dr.,Posted,416.67,,0,1,416.67,0,FK0OD9a0nF7YboRhax3natYIKvJb0bpTEVfL1HRVwRA=,175,499,145,a104W00000G3d1FQAR,,35,109,FON-International Association,53,1
a124W00000MTddiQAD,a1J4W00000CgFskUAF,a1H4W00000BB53VUAT,000000773,3,a104W00000G3d1FQAR,,a1S4W000004D1RmUAK,0014W000025FRkVQAW,0,0,416.67,Arlington,Sabrina Crawley 1,United States,,Virginia,4420 Fairfax Dr.,a0o4W00000M5SknQAF,true,true,true,0034W00002DpocmQAB,0,"EUT-XYZ, Inc. 1",,0,,2021-01-08,Account,false,false,2021-01-08,false,false,false,true,false,,,0,a1A4W00000F6ZX2UAN,2020-04-08,0,Arlington,Sabrina Crawley 1,United States,,Virginia,4420 Fairfax Dr.,Posted,416.67,,0,1,416.67,0,WG9VdH1rKFAyPvd0FM/CZq3Obp9gFVVhUrGMRXWrnXY=,175,499,145,a104W00000G3d1FQAR,,35,109,FON-International Association,53,1
a124W00000MTddjQAD,a1J4W00000CgFskUAF,a1H4W00000BB53VUAT,000000774,4,a104W00000G3d1FQAR,,a1S4W000004D1RmUAK,0014W000025FRkVQAW,0,0,416.67,Arlington,Sabrina Crawley 1,United States,,Virginia,4420 Fairfax Dr.,a0o4W00000M5SknQAF,true,true,true,0034W00002DpocmQAB,0,"EUT-XYZ, Inc. 1",,0,,2021-02-08,Account,false,false,2021-02-08,false,false,false,true,false,,,0,a1A4W00000F6ZX2UAN,2020-04-08,0,Arlington,Sabrina Crawley 1,United States,,Virginia,4420 Fairfax Dr.,Posted,416.67,,0,1,416.67,0,ucPz5gCFMH/ySQHGc2tNWR0JgubHQ5ddMmKUP83dc4k=,175,499,145,a104W00000G3d1FQAR,,35,109,FON-International Association,53,1
a124W00000MTddkQAD,a1J4W00000CgFskUAF,a1H4W00000BB53VUAT,000000775,5,a104W00000G3d1FQAR,,a1S4W000004D1RmUAK,0014W000025FRkVQAW,0,0,416.63,Arlington,Sabrina Crawley 1,United States,,Virginia,4420 Fairfax Dr.,a0o4W00000M5SknQAF,true,true,true,0034W00002DpocmQAB,0,"EUT-XYZ, Inc. 1",,0,,2021-03-08,Account,false,false,2021-03-08,false,false,false,true,false,,,0,a1A4W00000F6ZX2UAN,2020-04-08,0,Arlington,Sabrina Crawley 1,United States,,Virginia,4420 Fairfax Dr.,Posted,416.63,,0,1,416.63,0,7n9bnsKyf+2Lk2q22cemt1w3ILJEc10Mi524lgr0sJA=,175,499,145,a104W00000G3d1FQAR,,35,109,FON-International Association,53,1
a124W00000MTddlQAD,a1J4W00000CgFskUAF,a1H4W00000BB53VUAT,000000776,6,a104W00000G3d1FQAR,,a1S4W000004D1RmUAK,0014W000025FRkVQAW,0,0,416.67,Arlington,Sabrina Crawley 1,United States,,Virginia,4420 Fairfax Dr.,a0o4W00000M5SknQAF,true,true,true,0034W00002DpocmQAB,0,"EUT-XYZ, Inc. 1",,175,,2020-04-08,Account,false,false,2020-04-08,false,true,false,true,false,,,0,a1A4W00000F6ZX2UAN,2020-04-08,0,Arlington,Sabrina Crawley 1,United States,,Virginia,4420 Fairfax Dr.,Overdue,416.67,,0,1,416.67,0,dq3Z9yf/OQtxEtFg2JkqUdXydDjZtgxM9/cyjp5joLg=,175,499,145,a104W00000G3d1FQAR,,35,109,FON-International Association,53,1
a124W00000MTddmQAD,a1J4W00000CgFslUAF,a1H4W00000BB53WUAT,000000777,7,a104W00000G3d1FQAR,,a1S4W000004D1RnUAK,0014W000025FRkWQAW,0,0,416.67,Arlington,Sabrina Crawley 2,United States,,Virginia,4420 Fairfax Dr.,a0o4W00000M5SknQAF,true,true,true,0034W00002DpocoQAB,0,"EUT-XYZ, Inc. 2",,145,,2020-05-08,Account,false,false,2020-05-08,false,true,false,true,false,,,0,a1A4W00000F6ZX2UAN,2020-04-08,0,Arlington,Sabrina Crawley 2,United States,,Virginia,4420 Fairfax Dr.,Overdue,416.67,,0,1,416.67,0,qDiT++r9wiE3wNxgJQmlQXc2YF12wpD5PreSpC0I0wo=,175,500,146,a104W00000G3d1FQAR,,36,111,FON-International Association,76,1
a124W00000MTddnQAD,a1J4W00000CgFslUAF,a1H4W00000BB53WUAT,000000778,8,a104W00000G3d1FQAR,,a1S4W000004D1RnUAK,0014W000025FRkWQAW,0,0,416.67,Arlington,Sabrina Crawley 2,United States,,Virginia,4420 Fairfax Dr.,a0o4W00000M5SknQAF,true,true,true,0034W00002DpocoQAB,0,"EUT-XYZ, Inc. 2",,114,,2020-06-08,Account,false,false,2020-06-08,false,true,false,true,false,,,0,a1A4W00000F6ZX2UAN,2020-04-08,0,Arlington,Sabrina Crawley 2,United States,,Virginia,4420 Fairfax Dr.,Overdue,416.67,,0,1,416.67,0,DT0QYTfdeOFAZaseZ89s9MI9qDnjVSTtOypqToWySlE=,175,500,146,a104W00000G3d1FQAR,,36,111,FON-International Association,76,1
a124W00000MTddoQAD,a1J4W00000CgFslUAF,a1H4W00000BB53WUAT,000000779,9,a104W00000G3d1FQAR,,a1S4W000004D1RnUAK,0014W000025FRkWQAW,0,0,416.67,Arlington,Sabrina Crawley 2,United States,,Virginia,4420 Fairfax Dr.,a0o4W00000M5SknQAF,true,true,true,0034W00002DpocoQAB,0,"EUT-XYZ, Inc. 2",,84,,2020-07-08,Account,false,false,2020-07-08,false,true,false,true,false,,,0,a1A4W00000F6ZX2UAN,2020-04-08,0,Arlington,Sabrina Crawley 2,United States,,Virginia,4420 Fairfax Dr.,Overdue,416.67,,0,1,416.67,0,v4FS0FaDgGrHOp1sTTXGbbYbNDAUxqTn/9zarY6Wc2o=,175,500,146,a104W00000G3d1FQAR,,36,111,FON-International Association,76,1
a124W00000MTddpQAD,a1J4W00000CgFslUAF,a1H4W00000BB53WUAT,000000780,10,a104W00000G3d1FQAR,,a1S4W000004D1RnUAK,0014W000025FRkWQAW,0,0,416.67,Arlington,Sabrina Crawley 2,United States,,Virginia,4420 Fairfax Dr.,a0o4W00000M5SknQAF,true,true,true,0034W00002DpocoQAB,0,"EUT-XYZ, Inc. 2",,53,,2020-08-08,Account,false,false,2020-08-08,false,true,false,true,false,,,0,a1A4W00000F6ZX2UAN,2020-04-08,0,Arlington,Sabrina Crawley 2,United States,,Virginia,4420 Fairfax Dr.,Overdue,416.67,,0,1,416.67,0,o/Qsw2ME8aA+lJZ6m7ouxR4MebWOVtTtNDUnkCyK8zI=,175,500,146,a104W00000G3d1FQAR,,36,111,FON-International Association,76,1
