Id,OrderApi__Term__c,Name,External_Id__c,OrderApi__Sales_Order__c,OrderApi__Account__c,OrderApi__Activation_Date__c,OrderApi__Active_Assignments__c,OrderApi__Assignments_Allowed__c,OrderApi__Assignments_Available__c,OrderApi__Auto_Assign_Account_Contacts__c,OrderApi__Auto_Assign_Contact__c,OrderApi__Auto_Assign_Rule__c,OrderApi__Auto_Assign__c,OrderApi__Auto_Calculate_Activation_Date__c,OrderApi__Business_Group__c,OrderApi__Calculate_Shipping_Details__c,OrderApi__Contact__c,OrderApi__Disable_Scheduling__c,OrderApi__Enable_Auto_Renew__c,OrderApi__End_Date__c,OrderApi__Entity__c,OrderApi__GL_Account__c,OrderApi__Is_Amendment__c,OrderApi__Is_Installment_Calculated__c,OrderApi__Is_Posted__c,OrderApi__Is_Renewal__c,OrderApi__Is_Required_Package_Item__c,OrderApi__Is_Shipping_Rate__c,OrderApi__Is_Subscription__c,OrderApi__Is_Tax__c,OrderApi__Is_Valid__c,OrderApi__Item_Class__c,OrderApi__Item__c,OrderApi__Line_Description__c,OrderApi__List_Price__c,OrderApi__Package_Item__c,OrderApi__Payment_Method__c,OrderApi__Price_Override__c,OrderApi__Price_Rule__c,OrderApi__Quantity__c,OrderApi__Required_Package_Items__c,OrderApi__Sale_Price__c,OrderApi__Sales_Order_Line__c,OrderApi__Shipping_City__c,OrderApi__Shipping_Contact__c,OrderApi__Shipping_Country__c,OrderApi__Shipping_Method__c,OrderApi__Shipping_Postal_Code__c,OrderApi__Shipping_State__c,OrderApi__Shipping_Street__c,OrderApi__Shipping_Tracking_Number__c,OrderApi__Subscription_Plan__c,OrderApi__Subscription__c,OrderApi__Subtotal__c,OrderApi__System_Override__c,OrderApi__Tax_Override__c,OrderApi__Tax_Percent__c,OrderApi__Total_Installment_Price__c,OrderApi__Total__c,EventApi__Attendee__c,EventApi__Event__c,EventApi__Schedule_Item__c,EventApi__Sponsor_Package__c,EventApi__Ticket_Type__c,ROEApi__Group_Registration_Key__c,DonorApi__Tax_Deductible_Amount__c,DonorApi__Write_In__c,ProgramApi__Program_Profile__c,ProgramApi__Program_Term__c,OrderApi__Do_Not_Collect_Payment__c,EventApi__Is_Required_Schedule_Item__c,OrderApi__Display_Item__c,OrderApi__Foreign_Key__c,OrderApi__Incomplete__c,OrderApi__Parent_Foreign_Key__c,OrderApi__Subscription_Start_Date__c,OrderApi__Item_Tax_Percent__c,OrderApi__Parent_Is_Installment_Calculated__c,OrderApi__Parent_Total_Installment_Price__c,OrderApi__Parent_Total__c,OrderApi__Tax_Amount__c,OrderApi__Total_with_Tax__c,OrderApi__AR_Account__c,OrderApi__Adjustment_Reason__c,OrderApi__Adjustments__c,OrderApi__Amount_Paid__c,OrderApi__Amount_Refunded__c,OrderApi__Balance_Due__c,OrderApi__Credit_Note__c,OrderApi__Credits_Applied__c,OrderApi__Deferred_Revenue_Adjustment__c,OrderApi__Is_Adjustment__c,OrderApi__Is_Line_Posted__c,OrderApi__Payment_Priority__c,OrderApi__Posted_Date__c,OrderApi__Credit_Memo__c,OrderApi__Item_Name__c,OrderApi__Overall_Total__c,Revenue_Category__c,Revenue_Subcategory__c,Program_Term_Is_Maintenance__c,OrderApi__Term__r.External_Id__c,OrderApi__Sales_Order__r.External_Id__c,OrderApi__Account__r.External_Id__c,OrderApi__Business_Group__r.Name,OrderApi__Contact__r.External_Id__c,OrderApi__GL_Account__r.Id,OrderApi__Item_Class__r.External_Id__c,OrderApi__Item__r.External_Id__c,OrderApi__Package_Item__r.External_Id__c,OrderApi__Payment_Method__r.External_Id__c,OrderApi__Price_Rule__r.External_Id__c,OrderApi__Sales_Order_Line__r.External_Id__c,OrderApi__Shipping_Method__r.Id,OrderApi__Subscription_Plan__r.Id,OrderApi__Subscription__r.External_Id__c,EventApi__Attendee__r.External_Id__c,EventApi__Event__r.Id,EventApi__Schedule_Item__r.External_Id__c,EventApi__Sponsor_Package__r.External_Id__c,EventApi__Ticket_Type__r.External_Id__c,ProgramApi__Program_Profile__r.External_Id__c,ProgramApi__Program_Term__r.External_Id__c,OrderApi__AR_Account__r.Id,OrderApi__Credit_Note__r.External_Id__c,OrderApi__Credit_Memo__r.External_Id__c
a1I4W00000HFZjUUAX,,0000004690,474,a1J4W00000CgFoBUAV,0014W000025FRkKQAW,,0,,,false,false,,false,true,a0o4W00000M5SknQAF,true,0034W00002Dpof2QAB,false,false,,Contact,a104W00000G3d1HQAR,false,false,true,false,false,false,false,false,true,a134W000009DZGDQA4,a154W00000926QlQAI,Book,100,,,false,a1C4W00000845LKUAY,3,0,100,,Northeast,Gerald Frank,United States,,20017,Washington DC,3110 10th street,,,,300,false,false,0,0,300,,,,,,,0,,,,false,false,false,u1ZkCYgwAFPC9sUVhNX8lzheBubW7M,false,,,0,false,0,0,,,,,,,,,,,false,false,false,,,,,,,,false,,1185,5,FON-International Association,145,a104W00000G3d1HQAR,153,691,,,233,,,,,,,,,,,,,,
a1I4W00000HFZjVUAX,,0000004691,475,a1J4W00000CgFoBUAV,0014W000025FRkKQAW,,0,,,false,false,,false,true,a0o4W00000M5SknQAF,true,0034W00002Dpof2QAB,false,false,,Contact,a104W00000G3d1HQAR,false,false,true,false,false,false,false,false,true,a134W000009DZGEQA4,a154W00000926QmQAI,Water Bottle (3 Pack),30,,,false,a1C4W00000845L7UAI,1,0,30,,Northeast,Gerald Frank,United States,,20017,Washington DC,3110 10th street,,,,30,false,false,0,0,30,,,,,,,0,,,,false,false,false,2f3qIENPuBCjuwDZ49mQlDFAhvT5JQ,false,,,0,false,0,0,,,,,,,,,,,false,false,false,,,,,,,,false,,1185,5,FON-International Association,145,a104W00000G3d1HQAR,152,690,,,232,,,,,,,,,,,,,,
a1I4W00000HFZjWUAX,,0000004692,594,a1J4W00000CgFoBUAV,0014W000025FRkKQAW,,0,,,false,false,,false,true,a0o4W00000M5SknQAF,true,0034W00002Dpof2QAB,false,false,,Contact,a104W00000G3d1HQAR,false,false,true,false,false,true,false,false,true,a134W000009DZGFQA4,a154W00000926QnQAI,Fedex Regular - US,5,,,false,a1C4W00000845KRUAY,1,0,5,,Northeast,Gerald Frank,United States,,20017,Washington DC,3110 10th street,,,,5,false,false,0,0,5,,,,,,,0,,,,false,false,false,VEQQf4sFCh53GB8YJvAXf5Or6d2nXu,false,,,0,false,0,0,,,,,,,,,,,false,false,false,,,,,,,,false,,1185,5,FON-International Association,145,a104W00000G3d1HQAR,151,89,,,568,,,,,,,,,,,,,,
a1I4W00000HFZjXUAX,,0000004693,595,a1J4W00000CgFoCUAV,0014W000025FRkKQAW,,1,,,false,true,Contact,true,true,a0o4W00000M5SknQAF,true,0034W00002DpocTQAR,false,false,,Contact,a104W00000G3d1HQAR,false,false,true,false,false,false,false,false,true,a134W000009DZGGQA4,a154W00000926QoQAI,VIP Registration (FON-Annual Symposium 2019 (Lightning Event)),200,,,false,a1C4W00000845KyUAI,1,0,200,,Northeast,Leila Simon,United States,,20017,Washington DC,3110 10th street,,,,200,false,false,0,0,200,,a1Y4W000002r0c5UAA,,,a1j4W00000SEaHIQA1,,0,,,,false,false,false,jxoQT4qdLY0ZxWXOCPDi6RFEfjYdN6,false,,,0,false,0,0,,,,,,,,,,,false,false,false,,,,,,,,false,,1186,5,FON-International Association,150,a104W00000G3d1HQAR,165,134,,,682,,,,,,a1Y4W000002r0c5UAA,,,41,,,,,
a1I4W00000HFZjYUAX,,0000004694,596,a1J4W00000CgFoCUAV,0014W000025FRkKQAW,,1,,,false,true,Contact,true,true,a0o4W00000M5SknQAF,true,0034W00002DpocTQAR,false,false,,Contact,a104W00000G3d1HQAR,false,false,true,false,false,false,false,false,true,a134W000009DZGHQA4,a154W00000926QrQAI,Advanced Discussion,25,,,false,a1C4W00000845KzUAI,1,0,25,a1I4W00000HFZjXUAX,Northeast,Leila Simon,United States,,20017,Washington DC,3110 10th street,,,,25,false,false,0,0,25,,a1Y4W000002r0c5UAA,a1d4W00000jHX68QAG,,,,0,,,,false,false,false,Wng2YhZ7TZ2wLwIvhcBAtuUNbfYAGq,false,,,0,false,0,200,,,,,,,,,,,false,false,false,,,,,,,,false,,1186,5,FON-International Association,150,a104W00000G3d1HQAR,166,142,,,690,595,,,,,a1Y4W000002r0c5UAA,248,,,,,,,
a1I4W00000HFZjZUAX,,0000004695,597,a1J4W00000CgFoCUAV,0014W000025FRkKQAW,,1,,,false,true,Contact,true,true,a0o4W00000M5SknQAF,true,0034W00002DpocTQAR,false,false,,Contact,a104W00000G3d1HQAR,false,false,true,false,false,false,false,false,true,a134W000009DZGHQA4,a154W00000926QqQAI,Keynote Speech,0,,,false,a1C4W00000845L0UAI,1,0,0,a1I4W00000HFZjXUAX,Northeast,Leila Simon,United States,,20017,Washington DC,3110 10th street,,,,0,false,false,0,0,0,,a1Y4W000002r0c5UAA,a1d4W00000jHX63QAG,,,,0,,,,false,false,false,R2ltvI1hs5tNwYfX4st7L8UKKfvxyo,false,,,0,false,0,200,,,,,,,,,,,false,false,false,,,,,,,,false,,1186,5,FON-International Association,150,a104W00000G3d1HQAR,166,137,,,685,595,,,,,a1Y4W000002r0c5UAA,234,,,,,,,
a1I4W00000HFZjaUAH,,0000004696,598,a1J4W00000CgFoCUAV,0014W000025FRkKQAW,,1,,,false,true,Contact,true,true,a0o4W00000M5SknQAF,true,0034W00002DpocTQAR,false,false,,Contact,a104W00000G3d1HQAR,false,false,true,false,false,false,false,false,true,a134W000009DZGHQA4,a154W00000926QpQAI,Leadership Workshop,25,,,false,a1C4W00000845L1UAI,1,0,25,a1I4W00000HFZjXUAX,Northeast,Leila Simon,United States,,20017,Washington DC,3110 10th street,,,,25,false,false,0,0,25,,a1Y4W000002r0c5UAA,a1d4W00000jHX66QAG,,,,0,,,,false,false,false,sHymjgJVuEatlyE0yQMNZjtMwPmOL2,false,,,0,false,0,200,,,,,,,,,,,false,false,false,,,,,,,,false,,1186,5,FON-International Association,150,a104W00000G3d1HQAR,166,140,,,688,595,,,,,a1Y4W000002r0c5UAA,237,,,,,,,
a1I4W00000HFZjbUAH,,0000004697,599,a1J4W00000CgFoCUAV,0014W000025FRkKQAW,,1,,,false,true,Contact,true,true,a0o4W00000M5SknQAF,true,0034W00002DpocTQAR,false,false,,Contact,a104W00000G3d1HQAR,false,false,true,false,false,false,false,false,true,a134W000009DZGHQA4,a154W00000926QtQAI,Round Table Discussion I,0,,,false,a1C4W00000845L2UAI,1,0,0,a1I4W00000HFZjXUAX,Northeast,Leila Simon,United States,,20017,Washington DC,3110 10th street,,,,0,false,false,0,0,0,,a1Y4W000002r0c5UAA,a1d4W00000jHX65QAG,,,,0,,,,false,false,false,cPKnTDJOjF40rVPgfiwL0U1GzBfBVD,false,,,0,false,0,200,,,,,,,,,,,false,false,false,,,,,,,,false,,1186,5,FON-International Association,150,a104W00000G3d1HQAR,166,139,,,687,595,,,,,a1Y4W000002r0c5UAA,236,,,,,,,
a1I4W00000HFZjcUAH,,0000004698,600,a1J4W00000CgFoCUAV,0014W000025FRkKQAW,,1,,,false,true,Contact,true,true,a0o4W00000M5SknQAF,true,0034W00002DpocTQAR,false,false,,Contact,a104W00000G3d1HQAR,false,false,true,false,false,false,false,false,true,a134W000009DZGHQA4,a154W00000926QsQAI,Round Table Discussion II,0,,,false,a1C4W00000845L3UAI,1,0,0,a1I4W00000HFZjXUAX,Northeast,Leila Simon,United States,,20017,Washington DC,3110 10th street,,,,0,false,false,0,0,0,,a1Y4W000002r0c5UAA,a1d4W00000jHX6AQAW,,,,0,,,,false,false,false,t4r7QsZWbPHO9gIMOC7ZgrMPnSa8kB,false,,,0,false,0,200,,,,,,,,,,,false,false,false,,,,,,,,false,,1186,5,FON-International Association,150,a104W00000G3d1HQAR,166,182,,,692,595,,,,,a1Y4W000002r0c5UAA,250,,,,,,,
a1I4W00000HFZjdUAH,,0000004699,601,a1J4W00000CgFoDUAV,0014W000025FRmIQAW,2019-08-02,0,,,false,false,,false,true,a0o4W00000M5SknQAF,false,0034W00002DpohLQAR,false,false,2020-08-01,Contact,a104W00000G3d1fQAB,false,false,false,false,false,false,true,false,true,a134W000009DZGIQA4,a154W00000926QuQAI,Associate Membership,150,,,false,a1C4W00000845KoUAI,1,0,150,,,,,,,,,,a1R4W000004PyfOUAS,,150,false,false,0,0,150,,,,,,,0,,,,false,false,false,yGHqwlpPKwo6MeTmdDZCfqUkg8oPwm,false,,2019-08-02,0,false,0,0,,,,,,,,,,,false,false,false,,,,,,,,false,,1187,25,FON-International Association,222,a104W00000G3d1fQAB,155,650,,,475,,,a1R4W000004PyfOUAS,,,,,,,,,,,
