Id,OrderApi__Sales_Order_Line__c,Name,External_Id__c,LastReferencedDate,OrderApi__Item__c,OrderApi__Account__c,OrderApi__Activated_Date__c,OrderApi__Active_Assignments__c,OrderApi__Assignment_Badge_Types_CSV__c,OrderApi__Assignments_Allowed__c,OrderApi__Billing_City__c,OrderApi__Billing_Contact__c,OrderApi__Billing_Country__c,OrderApi__Billing_Postal_Code__c,OrderApi__Billing_State__c,OrderApi__Billing_Street__c,OrderApi__Business_Group__c,OrderApi__Calculate_Billing_Details__c,OrderApi__Calculate_Shipping_Details__c,OrderApi__Cancelled_Date__c,OrderApi__Cancelled_Reason__c,OrderApi__Contact__c,OrderApi__Current_Term_End_Date__c,OrderApi__Current_Term_Start_Date__c,OrderApi__Customer_Link__c,OrderApi__Days_To_Lapse__c,OrderApi__Description__c,OrderApi__Enable_Auto_Renew__c,OrderApi__Entity__c,OrderApi__Expired_Date__c,OrderApi__Grace_Period_End_Date__c,OrderApi__In_Grace_Period__c,OrderApi__Is_Active__c,OrderApi__Is_Cancelled__c,OrderApi__Is_Expired__c,OrderApi__Is_Pending__c,OrderApi__Is_Suspended__c,OrderApi__Is_Upgraded__c,OrderApi__Item_Class__c,OrderApi__Last_Amendment_Date__c,OrderApi__Last_Renewed_Date__c,OrderApi__Last_System_Run__c,OrderApi__Maximum_Number_of_Assignments__c,OrderApi__Next_Scheduled_Renewal_Date__c,OrderApi__Paid_Through_Date__c,OrderApi__Shipping_City__c,OrderApi__Shipping_Contact__c,OrderApi__Shipping_Country__c,OrderApi__Shipping_Postal_Code__c,OrderApi__Shipping_State__c,OrderApi__Shipping_Street__c,OrderApi__Status__c,OrderApi__Subscription_Plan__c,OrderApi__Suspended_Date__c,OrderApi__Suspended_Reason__c,OrderApi__System_Refresh__c,OrderApi__Upgraded_Date__c,OrderApi__Upgraded_Subscription__c,OrderApi__Valid_Payment_Method__c,OrderApi__Line_Count__c,OrderApi__Renewals__c,OrderApi__Subscription_Dues_Total__c,CPBase__Subscription_Management_Page_Override__c,CPBase__Hide_In_Portal__c,OrderApi__Hide_In_Portal__c,OrderApi__Renewal_Override__c,OrderApi__Subscription_Management_Page_Override__c,OrderApi__Next_Scheduled_Payment_Date__c,OrderApi__Term_Active_Assignments__c,OrderApi__Term_Assignments_Allowed__c,OrderApi__Term_Dues_Total__c,OrderApi__Term_End_Date__c,OrderApi__Term_Start_Date__c,OrderApi__Payment_Method__c,Membership_Type__c,OrderApi__Sales_Order_Line__r.External_Id__c,OrderApi__Item__r.External_Id__c,OrderApi__Account__r.External_Id__c,OrderApi__Business_Group__r.Name,OrderApi__Contact__r.External_Id__c,OrderApi__Item_Class__r.External_Id__c,OrderApi__Subscription_Plan__r.Id,OrderApi__Upgraded_Subscription__r.External_Id__c,OrderApi__Payment_Method__r.External_Id__c
a1S4W000004D1RMUA0,,000000324,1,,a154W00000926R6QAI,0014W000025FRkQQAW,2019-11-05,0,,0,,Ellen Example_ReJoin,,,,,a0o4W00000M5SknQAF,true,true,,,0034W00002DpocbQAB,2020-11-04,2019-11-05,"<a href=""/0034W00002Dpocb"" target=""_blank"">Ellen Don&#39;t use</a>",36,,false,Contact,,2020-12-04,false,true,false,false,false,false,false,a134W000009DZGIQA4,,,,,,2020-11-04,,Ellen Don't use,,,,,Active,a1R4W000004PyfOUAS,,,false,,,false,1,0,300,,false,false,,,,0,0,0,,,,Professional Membership,,651,92,FON-International Association,6,155,a1R4W000004PyfOUAS,,
a1S4W000004D1RNUA0,a1I4W00000HFZkaUAH,000000325,2,,a154W00000926R6QAI,0014W000025FRkQQAW,2019-07-01,0,,0,,Ellen Example_ReJoin,,,,,a0o4W00000M5SknQAF,true,true,,,0034W00002DpocbQAB,2020-06-30,2019-07-01,"<a href=""/0034W00002Dpocb"" target=""_blank"">Ellen Don&#39;t use</a>",-91,,false,Contact,2020-09-29,2020-07-30,false,false,false,true,false,false,false,a134W000009DZGIQA4,,,,,,2020-06-30,,Ellen Don't use,,,,,Expired,a1R4W000004PyfOUAS,,,false,,,false,1,1,300,,false,false,,,,0,0,0,,,,Professional Membership,1166,651,92,FON-International Association,6,155,a1R4W000004PyfOUAS,,
a1S4W000004D1SDUA0,a1I4W00000HFZkbUAH,000000326,3,,a154W00000926R6QAI,0014W000025FRlSQAW,2018-07-01,0,,0,,FON Example_ReJoin,,,,,a0o4W00000M5SknQAF,true,true,,,0034W00002Dpoe8QAB,2019-06-30,2018-07-01,"<a href=""/0034W00002Dpoe8"" target=""_blank"">FON Don&#39;t use this either</a>",-457,,false,Contact,2019-11-05,2019-07-30,false,false,false,true,false,false,false,a134W000009DZGIQA4,,,,,,2019-06-30,,FON Don't use this either,,,,,Expired,a1R4W000004PyfOUAS,,,false,,,false,1,1,300,,false,false,,,,0,0,0,,,,Professional Membership,1295,651,94,FON-International Association,7,155,a1R4W000004PyfOUAS,,
a1S4W000004D1SEUA0,a1I4W00000HFZkcUAH,000000327,4,,a154W00000926R6QAI,0014W000025FRkRQAW,2018-07-01,0,,0,,Fon Example_ReJoin,,,,,a0o4W00000M5SknQAF,true,true,,,0034W00002DpoccQAB,2022-11-04,2018-07-01,"<a href=""/0034W00002Dpocc"" target=""_blank"">Fon Example_ReJoin</a>",766,,false,Contact,2019-11-05,2022-12-04,false,true,false,false,false,false,false,a134W000009DZGIQA4,,2019-11-11,,,,2022-11-04,,Fon Example_ReJoin,,,,,Active,a1R4W000004PyfOUAS,,,false,,,false,6,4,1280,,false,false,,,,0,0,0,2020-11-04,2019-11-05,,Professional Membership,1296,651,96,FON-International Association,8,155,a1R4W000004PyfOUAS,,
a1S4W000004D1ROUA0,a1I4W00000HFZkgUAH,000000328,5,,a154W00000926R6QAI,0014W000025FRkRQAW,2019-11-11,0,,0,,Fon Example_ReJoin,,,,,a0o4W00000M5SknQAF,true,true,2019-11-11,,0034W00002DpoccQAB,2020-11-10,2019-11-11,"<a href=""/0034W00002Dpocc"" target=""_blank"">Fon Example_ReJoin</a>",42,,false,Contact,,2020-12-10,false,false,true,false,false,false,false,a134W000009DZGIQA4,,,,,,2020-11-10,,Fon Example_ReJoin,,,,,Cancelled,a1R4W000004PyfOUAS,,,false,,,false,1,1,300,,false,true,,,,0,0,0,,,,Professional Membership,1300,651,96,FON-International Association,8,155,a1R4W000004PyfOUAS,,
a1S4W000004D1RPUA0,a1I4W00000HFZkoUAH,000000329,6,,a154W00000926R6QAI,0014W000025FRl7QAG,2019-11-15,0,,0,Muskegon,Aaron Marsh,United States,49444,Michigan,3368 Black Creek Rd,a0o4W00000M5SknQAF,true,true,,,0034W00002DpofmQAB,2020-11-14,2019-11-15,"<a href=""/0034W00002Dpofm"" target=""_blank"">Aaron Marsh</a>",46,,false,Contact,,2020-12-14,false,true,false,false,false,false,false,a134W000009DZGIQA4,,,,,,2020-11-14,Muskegon,Aaron Marsh,United States,49444,Michigan,3368 Black Creek Rd,Active,a1R4W000004PyfOUAS,,,false,,,false,1,1,300,,false,false,,,,0,0,600,2020-11-14,2019-11-15,,Professional Membership,1435,651,4,FON-International Association,139,155,a1R4W000004PyfOUAS,,
a1S4W000004D1RQUA0,a1I4W00000HFZktUAH,000000330,7,,a154W00000926R6QAI,0014W000025FRlVQAW,2019-11-15,0,,0,,FON Fischer,,,,,a0o4W00000M5SknQAF,true,true,,,0034W00002DpoeBQAR,2020-11-14,2019-11-15,"<a href=""/0034W00002DpoeB"" target=""_blank"">FON Fischer</a>",46,,false,Contact,,2020-12-14,false,true,false,false,false,false,false,a134W000009DZGIQA4,,,,,,2020-11-14,,FON Fischer,,,,,Active,a1R4W000004PyfOUAS,,,false,,,false,1,1,300,,false,false,,,,0,0,600,2020-11-14,2019-11-15,,Professional Membership,1440,651,99,FON-International Association,12,155,a1R4W000004PyfOUAS,,
a1S4W000004D1SFUA0,a1I4W00000HFZkuUAH,000000331,8,,a154W00000926R6QAI,0014W000025FRlVQAW,2018-09-15,0,,0,,FON Fischer,,,,,a0o4W00000M5SknQAF,true,true,,,0034W00002DpoeBQAR,2020-11-14,2018-09-15,"<a href=""/0034W00002DpoeB"" target=""_blank"">FON Fischer</a>",46,,false,Contact,2019-11-15,2020-12-14,false,true,false,false,false,false,false,a134W000009DZGIQA4,,2019-11-15,,,,2020-11-14,,FON Fischer,,,,,Active,a1R4W000004PyfOUAS,,,false,,,false,2,2,600,,false,false,,,,0,0,0,2020-11-14,2019-11-15,,Professional Membership,1441,651,99,FON-International Association,12,155,a1R4W000004PyfOUAS,,
a1S4W000004D1RRUA0,a1I4W00000HFZkwUAH,000000332,9,,a154W00000926R6QAI,0014W000025FRlVQAW,2018-10-25,0,,0,,FON Fischer,,,,,a0o4W00000M5SknQAF,true,true,,,0034W00002DpoeBQAR,2020-10-24,2018-10-25,"<a href=""/0034W00002DpoeB"" target=""_blank"">FON Fischer</a>",25,,false,Contact,,2020-11-23,false,true,false,false,false,false,false,a134W000009DZGIQA4,,2019-11-15,,,,2020-10-24,,FON Fischer,,,,,Active,a1R4W000004PyfOUAS,,,false,,,false,2,2,600,,false,false,,,,0,0,0,2020-10-24,2019-10-25,,Professional Membership,1443,651,99,FON-International Association,12,155,a1R4W000004PyfOUAS,,
a1S4W000004D1RSUA0,a1I4W00000HFZl2UAH,000000333,10,,a154W00000926R6QAI,0014W000025FRlVQAW,2019-11-15,0,,0,,FON Fischer,,,,,a0o4W00000M5SknQAF,true,true,,,0034W00002DpoeBQAR,2020-11-14,2019-11-15,"<a href=""/0034W00002DpoeB"" target=""_blank"">FON Fischer</a>",46,,false,Contact,,2020-12-14,false,true,false,false,false,false,false,a134W000009DZGIQA4,,,,,,2020-11-14,,FON Fischer,,,,,Active,a1R4W000004PyfOUAS,,,false,,,false,1,1,300,,false,false,,,,0,0,600,2020-11-14,2019-11-15,,Professional Membership,1578,651,99,FON-International Association,12,155,a1R4W000004PyfOUAS,,
