Id,Name,OrderApi__Account__c,OrderApi__Auto_Send_Proforma_Invoice_Emails__c,OrderApi__Billing_City__c,OrderApi__Billing_Contact__c,OrderApi__Billing_Country__c,OrderApi__Billing_Postal_Code__c,OrderApi__Billing_State__c,OrderApi__Billing_Street__c,OrderApi__Business_Group__c,OrderApi__Calculate_Billing_Details__c,OrderApi__Calculate_Shipping_Details__c,OrderApi__Campaign_Page__c,OrderApi__Cancelled_Date__c,OrderApi__Closed_Date__c,OrderApi__Closed_Status__c,OrderApi__Contact__c,OrderApi__Created_by_Customer__c,OrderApi__Customer_Link__c,OrderApi__Customer_Reference_Number__c,OrderApi__Date__c,OrderApi__Description__c,OrderApi__EPayment__c,OrderApi__End_Date__c,OrderApi__Entity__c,OrderApi__Has_Installments__c,OrderApi__Has_Subscription__c,OrderApi__Invoice_Date__c,OrderApi__Is_Active__c,OrderApi__Is_Cancelled__c,OrderApi__Is_Closed__c,OrderApi__Is_Evergreen__c,OrderApi__Is_Invoiced__c,OrderApi__Is_Posted__c,OrderApi__Is_Recurring__c,OrderApi__Is_Scheduled__c,OrderApi__Is_Suspended__c,OrderApi__JSON_Data__c,OrderApi__Memo__c,OrderApi__Number_of_Installments__c,OrderApi__Payment_Gateway__c,OrderApi__Payment_Method__c,OrderApi__Payment_Terms__c,OrderApi__Posted_Date__c,OrderApi__Posting_Entity__c,OrderApi__Posting_Status__c,OrderApi__Preferred_Email__c,OrderApi__Proforma_Invoice_Email_Sent_Date__c,OrderApi__Proforma_Invoice_Email_Sent__c,OrderApi__Require_Payment_Method__c,OrderApi__Schedule_Frequency__c,OrderApi__Schedule_Status__c,OrderApi__Schedule_Type__c,OrderApi__Shipping_City__c,OrderApi__Shipping_Contact__c,OrderApi__Shipping_Country__c,OrderApi__Shipping_Postal_Code__c,OrderApi__Shipping_State__c,OrderApi__Shipping_Street__c,OrderApi__Source_Code__c,OrderApi__Start_Date__c,OrderApi__Status__c,OrderApi__Suspended_Date__c,OrderApi__Suspended_Reason__c,OrderApi__System_Refresh__c,OrderApi__Total__c,OrderApi__Valid_Payment_Method__c,OrderApi__Item_Count__c,OrderApi__Subscription_Lines__c,OrderApi__Subtotal__c,DonorApi__Acknowledged_Date__c,DonorApi__Acknowledgement_Method__c,DonorApi__Do_Not_Acknowledge__c,DonorApi__Forecast_Category__c,DonorApi__Forecasted_Amount__c,DonorApi__Forecasted_Close_Date__c,DonorApi__Gift_Match_Account__c,DonorApi__Gift_Match_Amount__c,DonorApi__Gift_Match_Contact__c,DonorApi__Gift_Matching_Company__c,DonorApi__Gift_Type__c,DonorApi__Grant_LOI_Submitted__c,DonorApi__Grant_Open_Date__c,DonorApi__Grant_Proposal_Deadline__c,DonorApi__Grant_Proposal_Response_Date__c,DonorApi__Grant_Proposal_Submitted__c,DonorApi__Grant_Term__c,DonorApi__Is_Acknowledged__c,DonorApi__Is_Won__c,DonorApi__Source__c,DonorApi__Stage__c,DonorApi__Tribute_Honoree__c,DonorApi__Tribute_Message__c,DonorApi__Tribute_Notification_City__c,DonorApi__Tribute_Notification_Country__c,DonorApi__Tribute_Notification_Email__c,DonorApi__Tribute_Notification_Method__c,DonorApi__Tribute_Notification_Phone__c,DonorApi__Tribute_Notification_Postal_Code__c,DonorApi__Tribute_Notification_State__c,DonorApi__Tribute_Notification_Street__c,DonorApi__Tribute_Notified__c,DonorApi__Tribute_Person_to_Notify__c,DonorApi__Tribute_Type__c,DonorApi__Tax_Deductible_Amount__c,OrderApi__Processing_Changes__c,OrderApi__Mass_Proforma_Email_Subject__c,OrderApi__Is_Pending_Payment__c,OrderApi__Due_Date__c,OrderApi__Encrypted_Id__c,OrderApi__Is_Proforma__c,OrderApi__Adjustment_Reason__c,OrderApi__Amount_Paid__c,OrderApi__Amount_Refunded__c,OrderApi__Balance_Due__c,OrderApi__Credits_Applied__c,OrderApi__Credits_and_Adjustments__c,OrderApi__Generate_Installments__c,OrderApi__Is_Voided__c,OrderApi__Overall_Total__c,OrderApi__Paid_Date__c,OrderApi__Sales_Order_Status__c,OrderApi__Is_Open__c,OrderApi__Account__r.Id,OrderApi__Business_Group__r.Name,OrderApi__Campaign_Page__r.Id,OrderApi__Contact__r.Id,OrderApi__EPayment__r.Id,OrderApi__Payment_Gateway__r.Id,OrderApi__Payment_Method__r.Id,OrderApi__Payment_Terms__r.Id,OrderApi__Source_Code__r.Id,DonorApi__Gift_Match_Account__r.Id,DonorApi__Gift_Match_Contact__r.Id
a1J4W00000CgFoBUAV,000001968,0014W000025FRkKQAW,false,Northeast,Gerald Frank,United States,20017,Washington DC,3110 10th street,a0o4W00000M5SknQAF,true,false,,,2019-07-25,Invoiced to Customer,0034W00002Dpof2QAB,false,"<a href=""/0034W00002Dpof2"" target=""_blank"">Gerald Frank</a>",,2019-07-25,,,,Contact,false,false,2019-07-25,false,false,true,false,true,true,false,false,false,,,,,,a1A4W00000F6ZX2UAN,2019-07-25,Invoice,Posted,,,false,false,,,Simple Invoice,Northeast,Gerald Frank,United States,20017,Washington DC,3110 10th street,,,Closed,,,false,335,false,3,0,335,,,false,Open,,,,,,,,,,,,,,false,false,,,,,,,,,,,,,false,,,0,false,,false,2019-07-25,sQdju25TcTqKNqyglb1XE/rK+lqXDTSRwGdcUGYjjCI=,false,,,,0,,,false,false,,,Paid,false,0014W000025FRkKQAW,FON-International Association,,0034W00002Dpof2QAB,,,,a1A4W00000F6ZX2UAN,,,
a1J4W00000CgFoCUAV,000001969,0014W000025FRkKQAW,false,Northeast,Leila Simon,United States,20017,Washington DC,3110 10th street,a0o4W00000M5SknQAF,true,true,,,2019-07-29,Cash Sale,0034W00002DpocTQAR,true,"<a href=""/0034W00002DpocT"" target=""_blank"">Leila Simon</a>",,2019-07-29,,,,Contact,false,false,,false,false,true,false,false,true,false,false,false,,,,a184W00000FIxRPQA1,a194W000009Mx8GQAS,a1A4W00000F6ZX2UAN,2019-07-29,Receipt,Posted,,,false,false,,,Simple Receipt,Northeast,Leila Simon,United States,20017,Washington DC,3110 10th street,,,Closed,,,false,250,true,6,0,250,,,false,Open,,,,,,,,,,,,,,false,false,,,,,,,,,,,,,false,,,0,false,,false,2019-07-29,pYEegRQ3NWUDOxiyn+FQDQxKEpYGLozUIoBPxCyQTZM=,false,,,,0,,,false,false,,,Paid,false,0014W000025FRkKQAW,FON-International Association,,0034W00002DpocTQAR,,a184W00000FIxRPQA1,a194W000009Mx8GQAS,a1A4W00000F6ZX2UAN,,,
a1J4W00000CgFoDUAV,000001970,0014W000025FRmIQAW,false,,Fonteva Default Contact,,,,,a0o4W00000M5SknQAF,true,true,,,2019-08-02,Cash Sale,0034W00002DpohLQAR,true,"<a href=""/0034W00002DpohL"" target=""_blank"">Fonteva Default Contact</a>",,2019-08-02,,,,Contact,false,true,,false,false,true,false,false,false,false,false,false,"{""solBadgeTypes"":{""a1I3s000005QYWsEAO"":[""a0k6A0000021XgzQAE""]}}",,,,,a1A4W00000F6ZX2UAN,,Receipt,Pending,,,false,false,,,Simple Receipt,,Fonteva Default Contact,,,,,,,Closed,,,false,150,false,1,1,150,,,false,Open,,,,,,,,,,,,,,false,false,,,,,,,,,,,,,false,,,0,false,,false,2019-08-02,KnwcpBcWvj3kmhIFb2XgYlEK5JNW1UxRVVMqSwaDK8w=,false,,,,0,,,false,false,,,Unpaid,false,0014W000025FRmIQAW,FON-International Association,,0034W00002DpohLQAR,,,,a1A4W00000F6ZX2UAN,,,
a1J4W00000CgFoEUAV,000001972,0014W000025FRkMQAW,false,Fribourg,Alexander Curry,Switzerland,,,Route de la Vignettz 46,a0o4W00000M5SknQAF,true,true,,,,,0034W00002DpocVQAR,true,"<a href=""/0034W00002DpocV"" target=""_blank"">Alexander Curry</a>",,2019-08-06,,,,Contact,false,false,,false,false,false,false,false,false,false,false,false,,,,a184W00000FIxRPQA1,,a1A4W00000F6ZX2UAN,,Receipt,,,,false,false,,,Simple Receipt,Fribourg,Alexander Curry,Switzerland,,,Route de la Vignettz 46,,,Open,,,false,0,false,0,0,0,,,false,Open,,,,,,,,,,,,,,false,false,,,,,,,,,,,,,false,,,0,false,,false,,FxcfjaImNb6JYxpJzvwfDnIQzLLDs71e7QcJLWslSbc=,false,,,,0,,,false,false,,,Draft,false,0014W000025FRkMQAW,FON-International Association,,0034W00002DpocVQAR,,a184W00000FIxRPQA1,,a1A4W00000F6ZX2UAN,,,
a1J4W00000CgFoFUAV,000001974,0014W000025FRkLQAW,false,Bremerton,Jerome Bates,United States,98337,District of Columbia,545 5th St,a0o4W00000M5SknQAF,true,true,,,2019-08-06,Cash Sale,0034W00002DpocdQAB,false,"<a href=""/0014W000025FRkL"" target=""_blank"">FON-Apple</a>",,2019-08-06,,,,Account,false,false,,false,false,true,false,false,true,false,false,false,,,,a184W00000FIxRPQA1,,a1A4W00000F6ZX2UAN,2019-08-06,Receipt,Posted,,,false,false,,,Simple Receipt,Stratford,Jerome Bates,United States,6615,Connecticut,40 Macs Harbor Ct,,,Closed,,,false,0,false,0,0,0,,,false,Open,,,,,,,,,,,,,,false,false,,,,,,,,,,,,,false,,,0,false,,false,2019-08-06,T3G+E9E8zkpnYfakcV5gVQG6rysn1oRs3ovZb5cEGx8=,false,,,,0,,,false,false,,,Paid,false,0014W000025FRkLQAW,FON-International Association,,0034W00002DpocdQAB,,a184W00000FIxRPQA1,,a1A4W00000F6ZX2UAN,,,
a1J4W00000CgFoGUAV,000001976,0014W000025FRkLQAW,false,Bremerton,Jerome Bates,United States,98337,District of Columbia,545 5th St,a0o4W00000M5SknQAF,true,true,,,2019-08-07,Invoiced to Customer,0034W00002DpocdQAB,false,"<a href=""/0014W000025FRkL"" target=""_blank"">FON-Apple</a>",,2019-08-07,,,,Account,false,false,2019-08-07,false,false,true,false,true,true,false,false,false,,,,,,a1A4W00000F6ZX2UAN,2019-08-07,Invoice,Posted,,,false,false,,,Simple Invoice,Stratford,Jerome Bates,United States,6615,Connecticut,40 Macs Harbor Ct,,,Closed,,,false,975,false,1,0,975,,,false,Open,,,,,,,,,,,,,,false,false,,,,,,,,,,,,,false,,,0,false,,false,2019-08-08,S8zbervBf+ajLvincgm8tfJqwAg9yS97oNA0X8bLlA4=,false,,,,0,,,false,false,,,Paid,false,0014W000025FRkLQAW,FON-International Association,,0034W00002DpocdQAB,,,,a1A4W00000F6ZX2UAN,,,
a1J4W00000CgFoHUAV,000001978,0014W000025FRkNQAW,false,,prathyusha Test,,,,,a0o4W00000M5SknQAF,true,true,,,2019-08-09,Cash Sale,0034W00002DpocWQAR,true,"<a href=""/0034W00002DpocW"" target=""_blank"">prathyusha Test</a>",,2019-08-09,,,,Contact,false,false,,false,false,true,false,false,true,false,false,false,,,,a184W00000FIxRPQA1,,a1A4W00000F6ZX2UAN,2019-08-09,Receipt,Posted,,,false,false,,,Simple Receipt,,prathyusha Test,,,,,,,Closed,,,false,200,false,2,0,200,,,false,Open,,,,,,,,,,,,,,false,false,,,,,,,,,,,,,false,,,0,false,,false,2019-08-09,FJuvIXKPOBW3ELo7rZzE/wGP+5MwmT9fIj9DkXzJfB4=,false,,,,0,,,false,false,,,Paid,false,0014W000025FRkNQAW,FON-International Association,,0034W00002DpocWQAR,,a184W00000FIxRPQA1,,a1A4W00000F6ZX2UAN,,,
a1J4W00000CgFoIUAV,000001979,0014W000025FRkNQAW,false,,prathyusha Test,,,,,a0o4W00000M5SknQAF,true,true,,,2019-08-09,Cash Sale,0034W00002DpocWQAR,true,"<a href=""/0034W00002DpocW"" target=""_blank"">prathyusha Test</a>",,2019-08-09,,,,Contact,false,false,,false,false,true,false,false,true,false,false,false,,,,a184W00000FIxRPQA1,,a1A4W00000F6ZX2UAN,2019-08-09,Receipt,Posted,,,false,false,,,Simple Receipt,,prathyusha Test,,,,,,,Closed,,,false,400,false,4,0,400,,,false,Open,,,,,,,,,,,,,,false,false,,,,,,,,,,,,,false,,,0,false,,false,2019-08-09,tYsL2p1IXIwoIzg5RtbSQaDG/XoKmLnLDj3Yq8UEk50=,false,,,,0,,,false,false,,,Paid,false,0014W000025FRkNQAW,FON-International Association,,0034W00002DpocWQAR,,a184W00000FIxRPQA1,,a1A4W00000F6ZX2UAN,,,
a1J4W00000CgFoJUAV,000001980,0014W000025FRmIQAW,false,,Fonteva Default Contact,,,,,a0o4W00000M5SknQAF,true,true,,,2019-08-12,Cash Sale,0034W00002DpohLQAR,true,"<a href=""/0034W00002DpohL"" target=""_blank"">Fonteva Default Contact</a>",,2019-08-12,,,,Contact,false,true,,false,false,true,false,false,false,false,false,false,"{""solBadgeTypes"":{""a1I3s000005RSyFEAW"":[""a0k6A0000021XgzQAE""]}}",,,,,a1A4W00000F6ZX2UAN,,Receipt,Pending,,,false,false,,,Simple Receipt,,Fonteva Default Contact,,,,,,,Closed,,,false,150,false,1,1,150,,,false,Open,,,,,,,,,,,,,,false,false,,,,,,,,,,,,,false,,,0,false,,false,2019-08-12,PMc67a7OfCiVuUYQXNcC74tgmJq5OP9KAAsR9/vRbzc=,false,,,,0,,,false,false,,,Unpaid,false,0014W000025FRmIQAW,FON-International Association,,0034W00002DpohLQAR,,,,a1A4W00000F6ZX2UAN,,,
a1J4W00000CgFoKUAV,000001981,0014W000025FRkKQAW,false,San Francisco,Justin Pratt,United States,94108,California,131 Waverly Pl,a0o4W00000M5SknQAF,true,true,,,2019-08-13,Cash Sale,0034W00002Dpof0QAB,false,"<a href=""/0034W00002Dpof0"" target=""_blank"">Justin Pratt</a>",,2019-08-13,,,,Contact,false,true,,false,false,true,false,false,true,false,false,false,,,,a184W00000FIxRPQA1,a194W000009Mx8JQAS,a1A4W00000F6ZX2UAN,2019-08-13,Receipt,Posted,,,false,true,,,Simple Receipt,San Francisco,Justin Pratt,United States,94108,California,131 Waverly Pl,,,Closed,,,false,87.5,true,3,3,87.5,,,false,Open,,,,,,,,,,,,,,false,false,,,,,,,,,,,,,false,,,0,false,,false,2019-08-13,+ZrDYZkOoJydhsa8OEOVe1juDmgI1qUzeJgUiMSxqPY=,false,,,,0,,,false,false,,,Paid,false,0014W000025FRkKQAW,FON-International Association,,0034W00002Dpof0QAB,,a184W00000FIxRPQA1,a194W000009Mx8JQAS,a1A4W00000F6ZX2UAN,,,
