Id,Name,OrderApi__Account__c,OrderApi__Batch__c,OrderApi__Business_Group__c,OrderApi__Contact__c,OrderApi__Credit_Memo_Line__c,OrderApi__Credit_Memo__c,OrderApi__Customer_Link__c,OrderApi__Date__c,OrderApi__Entity__c,OrderApi__Invoice__c,OrderApi__Is_Valid__c,OrderApi__Memo__c,OrderApi__Receipt_Type__c,OrderApi__Receipt__c,OrderApi__Sales_Order__c,OrderApi__Source_Code__c,OrderApi__Subscription__c,OrderApi__Type__c,OrderApi__Num_Lines__c,OrderApi__Total_Credits__c,OrderApi__Total_Debits__c,OrderApi__Account__r.Id,OrderApi__Batch__r.Id,OrderApi__Business_Group__r.Name,OrderApi__Contact__r.Id,OrderApi__Credit_Memo_Line__r.Id,OrderApi__Credit_Memo__r.Id,OrderApi__Invoice__r.Id,OrderApi__Receipt__r.Id,OrderApi__Sales_Order__r.Id,OrderApi__Source_Code__r.Id,OrderApi__Subscription__r.Id
a1V4W00000FrAdkUAF,0000001733,0014W000025FRkKQAW,,a0o4W00000M5SknQAF,0034W00002Dpof2QAB,,,"<a href=""/0034W00002Dpof2"" target="""">Gerald Frank</a>",2019-07-25,Contact,a124W00000MTdc5QAD,true,Posting Invoice #000000630,,,a1J4W00000CgFoBUAV,,,Receivable,6,335,335,0014W000025FRkKQAW,,FON-International Association,0034W00002Dpof2QAB,,,a124W00000MTdc5QAD,,a1J4W00000CgFoBUAV,,
a1V4W00000FrAdlUAF,0000001734,0014W000025FRkKQAW,,a0o4W00000M5SknQAF,0034W00002Dpof2QAB,,,"<a href=""/0034W00002Dpof2"" target="""">Gerald Frank</a>",2019-07-25,Contact,a124W00000MTdc5QAD,true,Adjusting Invoice Line # 0000002307 on item Water Bottle (3 Pack),,,a1J4W00000CgFoBUAV,,,Adjustment,2,30,30,0014W000025FRkKQAW,,FON-International Association,0034W00002Dpof2QAB,,,a124W00000MTdc5QAD,,a1J4W00000CgFoBUAV,,
a1V4W00000FrAdmUAF,0000001735,0014W000025FRkKQAW,,a0o4W00000M5SknQAF,0034W00002DpocTQAR,,,"<a href=""/0034W00002DpocT"" target="""">Leila Simon</a>",2019-07-29,Contact,,true,Posting Receipt #0000001143,Payment,a1E4W00000DtY9yUAF,a1J4W00000CgFoCUAV,,,Cash,7,250,250,0014W000025FRkKQAW,,FON-International Association,0034W00002DpocTQAR,,,,a1E4W00000DtY9yUAF,a1J4W00000CgFoCUAV,,
a1V4W00000FrAdnUAF,0000001742,0014W000025FRkLQAW,,a0o4W00000M5SknQAF,0034W00002DpocdQAB,,,"<a href=""/0014W000025FRkL"" target="""">FON-Apple</a>",2019-08-08,Account,a124W00000MTdc6QAD,true,Posting Invoice #000000631,,,a1J4W00000CgFoGUAV,,,Receivable,2,975,975,0014W000025FRkLQAW,,FON-International Association,0034W00002DpocdQAB,,,a124W00000MTdc6QAD,,a1J4W00000CgFoGUAV,,
a1V4W00000FrAdoUAF,0000001743,0014W000025FRlJQAW,,a0o4W00000M5SknQAF,0034W00002DpodrQAB,,,"<a href=""/0034W00002Dpodr"" target="""">Eva Foxworth</a>",2019-08-08,Contact,,true,Posting Receipt #0000001145,Payment,,,,,Cash,2,2083.33,2083.33,0014W000025FRlJQAW,,FON-International Association,0034W00002DpodrQAB,,,,,,,
a1V4W00000FrAdpUAF,0000001744,0014W000025FRlJQAW,,a0o4W00000M5SknQAF,0034W00002DpodrQAB,,,"<a href=""/0034W00002Dpodr"" target="""">Eva Foxworth</a>",2019-08-31,Contact,,true,Posting Receipt #0000001145,Payment,,,,,Cash,2,416.67,416.67,0014W000025FRlJQAW,,FON-International Association,0034W00002DpodrQAB,,,,,,,
a1V4W00000FrAdqUAF,0000001745,0014W000025FRlJQAW,,a0o4W00000M5SknQAF,0034W00002DpodrQAB,,,"<a href=""/0034W00002Dpodr"" target="""">Eva Foxworth</a>",2019-09-30,Contact,,true,Posting Receipt #0000001145,Payment,,,,,Cash,2,416.67,416.67,0014W000025FRlJQAW,,FON-International Association,0034W00002DpodrQAB,,,,,,,
a1V4W00000FrAdrUAF,0000001746,0014W000025FRlJQAW,,a0o4W00000M5SknQAF,0034W00002DpodrQAB,,,"<a href=""/0034W00002Dpodr"" target="""">Eva Foxworth</a>",2019-10-31,Contact,,true,Posting Receipt #0000001145,Payment,,,,,Cash,2,416.67,416.67,0014W000025FRlJQAW,,FON-International Association,0034W00002DpodrQAB,,,,,,,
a1V4W00000FrAdsUAF,0000001747,0014W000025FRlJQAW,,a0o4W00000M5SknQAF,0034W00002DpodrQAB,,,"<a href=""/0034W00002Dpodr"" target="""">Eva Foxworth</a>",2019-11-30,Contact,,true,Posting Receipt #0000001145,Payment,,,,,Cash,2,416.67,416.67,0014W000025FRlJQAW,,FON-International Association,0034W00002DpodrQAB,,,,,,,
a1V4W00000FrAdtUAF,0000001748,0014W000025FRlJQAW,,a0o4W00000M5SknQAF,0034W00002DpodrQAB,,,"<a href=""/0034W00002Dpodr"" target="""">Eva Foxworth</a>",2019-12-31,Contact,,true,Posting Receipt #0000001145,Payment,,,,,Cash,2,416.65,416.65,0014W000025FRlJQAW,,FON-International Association,0034W00002DpodrQAB,,,,,,,
