Id,Name,External_Id__c,OrderApi__Receipt__c,OrderApi__Activation_Date__c,OrderApi__Auto_Calculate_Activation_Date__c,OrderApi__Business_Group__c,OrderApi__Calculate_Shipping_Details__c,OrderApi__End_Date__c,OrderApi__GL_Account__c,OrderApi__Invoice_Balance_Due__c,OrderApi__Invoice_Customer_Link__c,OrderApi__Invoice_Due_Date__c,OrderApi__Invoice__c,OrderApi__Is_Refund__c,OrderApi__Is_Renewal__c,OrderApi__Is_Tax__c,OrderApi__Item_Class__c,OrderApi__Item__c,OrderApi__Line_Description__c,OrderApi__List_Price__c,OrderApi__Price_Override__c,OrderApi__Price_Rule__c,OrderApi__Quantity__c,OrderApi__Sale_Price__c,OrderApi__Shipping_City__c,OrderApi__Shipping_Contact__c,OrderApi__Shipping_Country__c,OrderApi__Shipping_Postal_Code__c,OrderApi__Shipping_State__c,OrderApi__Shipping_Street__c,OrderApi__Subscription_Plan__c,OrderApi__Subscription__c,OrderApi__Subtotal__c,OrderApi__Tax_Override__c,OrderApi__Tax_Percent__c,OrderApi__Total__c,OrderApi__Is_Shipping_Rate__c,OrderApi__Receipt_Line__c,OrderApi__Contact__c,OrderApi__Invoice_Line__c,OrderApi__EPayment_Line__c,OrderApi__Foreign_Key__c,OrderApi__Parent_Foreign_Key__c,OrderApi__Sales_Order_Line__c,OrderApi__Item_Name__c,OrderApi__Sales_Order__c,Source_Code__c,OrderApi__Receipt__r.External_Id__c,OrderApi__Business_Group__r.Name,OrderApi__GL_Account__r.Id,OrderApi__Invoice__r.External_Id__c,OrderApi__Item_Class__r.External_Id__c,OrderApi__Item__r.External_Id__c,OrderApi__Price_Rule__r.External_Id__c,OrderApi__Subscription_Plan__r.Id,OrderApi__Subscription__r.External_Id__c,OrderApi__Receipt_Line__r.External_Id__c,OrderApi__Contact__r.External_Id__c,OrderApi__Invoice_Line__r.External_Id__c,OrderApi__EPayment_Line__r.External_Id__c,OrderApi__Sales_Order_Line__r.External_Id__c,OrderApi__Sales_Order__r.External_Id__c
a1D4W0000061usnUAA,0000002956,1,a1E4W00000DtYILUA3,,true,a0o4W00000M5SknQAF,true,,a104W00000G3d1EQAR,0,,,,false,false,false,a134W000009DZGEQA4,a154W00000926RbQAI,Fonteva Coffee Mug,3,false,a1C4W00000845KtUAI,1,3,Erie,FON Purchasing from an alternate BG,United States,16504,PA,353 East 41st Street,,,3,false,0,3,false,,0034W00002DpogrQAB,,,,,,,,,425,FON-International Association,a104W00000G3d1EQAR,,152,567,427,,,,186,,,,
a1D4W0000061usoUAA,0000002957,2,a1E4W00000DtYILUA3,,true,a0o4W00000M5SknQAF,true,,a104W00000G3d1EQAR,0,,,,false,false,false,a134W000009DZGPQA4,a154W00000926SeQAI,Alan Matheson Moot Court Client Counseling Competition Scholarship,0,true,,1,25,Erie,FON Purchasing from an alternate BG,United States,16504,PA,353 East 41st Street,,,25,false,0,25,false,,0034W00002DpogrQAB,,,,,,,,,425,FON-International Association,a104W00000G3d1EQAR,,154,338,,,,,186,,,,
a1D4W0000061uspUAA,0000002958,3,a1E4W00000DtYIMUA3,,true,a0o4W00000M5SknQAF,true,,a104W00000G3d1EQAR,0,,,,false,false,false,a134W000009DZGEQA4,a154W00000926RbQAI,Fonteva Coffee Mug,3,false,a1C4W00000845KtUAI,1,3,Erie,FON Purchasing from an alternate BG,United States,16504,PA,353 East 41st Street,,,3,false,0,3,false,,0034W00002DpogrQAB,,,,,,,,,426,FON-International Association,a104W00000G3d1EQAR,,152,567,427,,,,186,,,,
a1D4W0000061usqUAA,0000002959,4,a1E4W00000DtYIMUA3,,true,a0o4W00000M5SkoQAF,true,,a104W00000G3d2JQAR,0,,,,false,false,false,a134W000009DZGpQAO,a154W00000926SfQAI,FON - FDN Dorothy Vaughan Scholarship,0,true,,1,25,Erie,FON Purchasing from an alternate BG,United States,16504,PA,353 East 41st Street,,,25,false,0,25,false,,0034W00002DpogrQAB,,,,,,,,,426,FON-Foundation,a104W00000G3d2JQAR,,120,40,,,,,186,,,,
a1D4W0000061usrUAA,0000002960,5,a1E4W00000DtYINUA3,,true,a0o4W00000M5SknQAF,true,,a104W00000G3d1EQAR,0,,,,false,false,false,a134W000009DZGEQA4,a154W00000926RbQAI,Fonteva Coffee Mug,3,true,a1C4W00000845KtUAI,1,3,Scottsdale,Harvey Jordan,United States,85258,Arizona,7868 E Via Marina,,,3,false,0,3,false,,0034W00002DpogMQAR,,,,,,,,,427,FON-International Association,a104W00000G3d1EQAR,,152,567,427,,,,245,,,,
a1D4W0000061ussUAA,0000002961,6,a1E4W00000DtYIOUA3,,true,a0o4W00000M5SknQAF,true,,a104W00000G3d1EQAR,0,,,,false,false,false,,,"Payment Applied to Invoice #000000420, Chowder Party - Chowder Party Ticket",0,true,,1,55,Washington,Bob Kelley,United States,20500,District of Columbia,1600 Pennsylvania Avenue Northwest,,,55,false,0,55,false,,0034W00002DpodbQAB,,,,,,,,,428,FON-International Association,a104W00000G3d1EQAR,,,,,,,,272,,,,
a1D4W0000061ustUAA,0000002964,7,a1E4W00000DtYIPUA3,,true,a0o4W00000M5SknQAF,true,,a104W00000G3d1EQAR,0,,,,false,false,false,a134W000009DZGEQA4,a154W00000926RnQAI,Fonteva Visor - Taupe/Orange,10,false,a1C4W00000845LEUAY,1,10,Erie,FON Partial Refund,United States,16504,PA,353 East 41st Street,,,10,false,0,10,false,,0034W00002DpogvQAB,,,,,,,,,454,FON-International Association,a104W00000G3d1EQAR,,152,608,469,,,,191,,,,
a1D4W0000061usuUAA,0000002965,8,a1E4W00000DtYIQUA3,,true,a0o4W00000M5SknQAF,true,,a104W00000G3d1HQAR,0,,,,true,false,false,a134W000009DZGEQA4,a154W00000926RnQAI,Fonteva Visor - Taupe/Orange,10,true,a1C4W00000845LEUAY,1,2,Erie,FON Partial Refund,United States,16504,PA,353 East 41st Street,,,2,false,0,2,false,,0034W00002DpogvQAB,,,,,,Fonteva Visor - Blue,,,455,FON-International Association,a104W00000G3d1HQAR,,152,608,469,,,,191,,,,
a1D4W0000061usvUAA,0000002966,9,a1E4W00000DtYIRUA3,,true,a0o4W00000M5SknQAF,true,,a104W00000G3d2LQAR,0,,,,false,false,false,a134W000009DZGEQA4,a154W00000926RnQAI,Fonteva Visor - Taupe/Orange,10,false,a1C4W00000845LEUAY,1,10,Erie,FON Profile,United States,16504,PA,353 East 41st Street,,,10,false,0,10,false,,0034W00002DpodYQAR,,,,,,,,,456,FON-International Association,a104W00000G3d2LQAR,,152,608,469,,,,189,,,,
a1D4W0000061uswUAA,0000002967,10,a1E4W00000DtYISUA3,,true,a0o4W00000M5SknQAF,true,,a104W00000G3d1FQAR,0,"FON Adjust Invoice, Audit Trail",2018-10-20,a124W00000MTdkPQAT,false,false,false,,,"Payment Applied to Invoice #000000588, Fonteva Coasters, Fonteva Visor - Taupe/Orange, Fonteva Visor - Taupe/Orange",0,true,,1,13.25,Erie,"FON Adjust Invoice, Audit Trail",United States,16504,Pennsylvania,353 East 41st Street,,,13.25,false,0,13.25,false,,0034W00002DpogtQAB,,,,,,,,,457,FON-International Association,a104W00000G3d1FQAR,543,,,,,,,188,,,,
