Id,IsDeleted,Name,External_Id__c,CreatedDate,LastModifiedDate,OrderApi__Account__c,OrderApi__Batch__c,OrderApi__Business_Group__c,OrderApi__Contact__c,OrderApi__Credit_Memo_Line__c,OrderApi__Credit_Memo__c,OrderApi__Customer_Link__c,OrderApi__Date__c,OrderApi__Entity__c,OrderApi__Invoice__c,OrderApi__Is_Valid__c,OrderApi__Memo__c,OrderApi__Receipt_Type__c,OrderApi__Receipt__c,OrderApi__Sales_Order__c,OrderApi__Source_Code__c,OrderApi__Subscription__c,OrderApi__Type__c,OrderApi__Num_Lines__c,OrderApi__Total_Credits__c,OrderApi__Total_Debits__c,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,OrderApi__Account__r.External_Id__c,OrderApi__Batch__r.External_Id__c,OrderApi__Business_Group__r.Name,OrderApi__Contact__r.External_Id__c,OrderApi__Credit_Memo_Line__r.External_Id__c,OrderApi__Credit_Memo__r.External_Id__c,OrderApi__Invoice__r.External_Id__c,OrderApi__Receipt__r.External_Id__c,OrderApi__Sales_Order__r.External_Id__c,OrderApi__Source_Code__r.Name,OrderApi__Subscription__r.External_Id__c
a1V4W00000DowukUAB,false,0000001733,968,2020-08-28T02:16:22.000+0000,2020-09-24T07:29:05.000+0000,0014W000021flzSQAQ,,a0o4W00000MOvweQAD,0034W00002AU8UXQA1,,,"<a href=""/0034W00002AU8UX"" target="""">Gerald Frank</a>",2019-07-25,Contact,a124W00000LbEolQAF,true,Posting Invoice #000000630,,,a1J4W00000CvxBiUAJ,,,Receivable,6,335,335,2020-09-24T07:29:05.000+0000,,,,87,,FON-International Association,281,,,178,,738,,
a1V4W00000DowulUAB,false,0000001734,969,2020-08-28T02:16:22.000+0000,2020-09-24T07:29:05.000+0000,0014W000021flzSQAQ,,a0o4W00000MOvweQAD,0034W00002AU8UXQA1,,,"<a href=""/0034W00002AU8UX"" target="""">Gerald Frank</a>",2019-07-25,Contact,a124W00000LbEolQAF,true,Adjusting Invoice Line # 0000002307 on item Water Bottle (3 Pack),,,a1J4W00000CvxBiUAJ,,,Adjustment,2,30,30,2020-09-24T07:29:05.000+0000,,,,87,,FON-International Association,281,,,178,,738,,
a1V4W00000DowumUAB,false,0000001735,970,2020-08-28T02:16:22.000+0000,2020-09-24T07:29:05.000+0000,0014W000021flzSQAQ,,a0o4W00000MOvweQAD,0034W00002AU8RyQAL,,,"<a href=""/0034W00002AU8Ry"" target="""">Leila Simon</a>",2019-07-29,Contact,,true,Posting Receipt #0000001143,Payment,a1E4W00000Djw08UAB,a1J4W00000CvxBjUAJ,,,Cash,7,250,250,2020-09-24T07:29:05.000+0000,,,,87,,FON-International Association,296,,,,457,739,,
a1V4W00000DowunUAB,false,0000001742,971,2020-08-28T02:16:22.000+0000,2020-09-24T07:29:05.000+0000,0014W000021flzTQAQ,,a0o4W00000MOvweQAD,0034W00002AU8S8QAL,,,"<a href=""/0014W000021flzT"" target="""">FON-Apple</a>",2019-08-08,Account,a124W00000LbEomQAF,true,Posting Invoice #000000631,,,a1J4W00000CvxBnUAJ,,,Receivable,2,975,975,2020-09-24T07:29:05.000+0000,,,,82,,FON-International Association,181,,,175,,743,,
a1V4W00000DowuoUAB,false,0000001743,1211,2020-08-28T02:16:22.000+0000,2020-09-24T07:29:07.000+0000,0014W000021fm0RQAQ,,a0o4W00000MOvweQAD,0034W00002AU8TMQA1,,,"<a href=""/0034W00002AU8TM"" target="""">Eva Foxworth</a>",2019-08-08,Contact,,true,Posting Receipt #0000001145,Payment,,,,,Cash,2,2083.33,2083.33,2020-09-24T07:29:07.000+0000,,,,72,,FON-International Association,298,,,,,,,
a1V4W00000DowupUAB,false,0000001744,1212,2020-08-28T02:16:22.000+0000,2020-09-24T07:29:07.000+0000,0014W000021fm0RQAQ,,a0o4W00000MOvweQAD,0034W00002AU8TMQA1,,,"<a href=""/0034W00002AU8TM"" target="""">Eva Foxworth</a>",2019-08-31,Contact,,true,Posting Receipt #0000001145,Payment,,,,,Cash,2,416.67,416.67,2020-09-24T07:29:07.000+0000,,,,72,,FON-International Association,298,,,,,,,
a1V4W00000DowuqUAB,false,0000001745,1213,2020-08-28T02:16:22.000+0000,2020-09-24T07:29:07.000+0000,0014W000021fm0RQAQ,,a0o4W00000MOvweQAD,0034W00002AU8TMQA1,,,"<a href=""/0034W00002AU8TM"" target="""">Eva Foxworth</a>",2019-09-30,Contact,,true,Posting Receipt #0000001145,Payment,,,,,Cash,2,416.67,416.67,2020-09-24T07:29:07.000+0000,,,,72,,FON-International Association,298,,,,,,,
a1V4W00000DowurUAB,false,0000001746,1214,2020-08-28T02:16:22.000+0000,2020-09-24T07:29:07.000+0000,0014W000021fm0RQAQ,,a0o4W00000MOvweQAD,0034W00002AU8TMQA1,,,"<a href=""/0034W00002AU8TM"" target="""">Eva Foxworth</a>",2019-10-31,Contact,,true,Posting Receipt #0000001145,Payment,,,,,Cash,2,416.67,416.67,2020-09-24T07:29:07.000+0000,,,,72,,FON-International Association,298,,,,,,,
a1V4W00000DowusUAB,false,0000001747,1215,2020-08-28T02:16:22.000+0000,2020-09-24T07:29:07.000+0000,0014W000021fm0RQAQ,,a0o4W00000MOvweQAD,0034W00002AU8TMQA1,,,"<a href=""/0034W00002AU8TM"" target="""">Eva Foxworth</a>",2019-11-30,Contact,,true,Posting Receipt #0000001145,Payment,,,,,Cash,2,416.67,416.67,2020-09-24T07:29:07.000+0000,,,,72,,FON-International Association,298,,,,,,,
a1V4W00000DowutUAB,false,0000001748,1216,2020-08-28T02:16:22.000+0000,2020-09-24T07:29:07.000+0000,0014W000021fm0RQAQ,,a0o4W00000MOvweQAD,0034W00002AU8TMQA1,,,"<a href=""/0034W00002AU8TM"" target="""">Eva Foxworth</a>",2019-12-31,Contact,,true,Posting Receipt #0000001145,Payment,,,,,Cash,2,416.65,416.65,2020-09-24T07:29:07.000+0000,,,,72,,FON-International Association,298,,,,,,,
