Id,IsDeleted,Name,External_Id__c,CreatedDate,LastModifiedDate,SystemModstamp,OrderApi__Receipt__c,OrderApi__Activation_Date__c,OrderApi__Auto_Calculate_Activation_Date__c,OrderApi__Business_Group__c,OrderApi__Calculate_Shipping_Details__c,OrderApi__End_Date__c,OrderApi__GL_Account__c,OrderApi__Invoice_Balance_Due__c,OrderApi__Invoice_Customer_Link__c,OrderApi__Invoice_Due_Date__c,OrderApi__Invoice__c,OrderApi__Is_Refund__c,OrderApi__Is_Renewal__c,OrderApi__Is_Tax__c,OrderApi__Item_Class__c,OrderApi__Item__c,OrderApi__Line_Description__c,OrderApi__List_Price__c,OrderApi__Price_Override__c,OrderApi__Price_Rule__c,OrderApi__Quantity__c,OrderApi__Sale_Price__c,OrderApi__Shipping_City__c,OrderApi__Shipping_Contact__c,OrderApi__Shipping_Country__c,OrderApi__Shipping_Postal_Code__c,OrderApi__Shipping_State__c,OrderApi__Shipping_Street__c,OrderApi__Subscription_Plan__c,OrderApi__Subscription__c,OrderApi__Subtotal__c,OrderApi__Tax_Override__c,OrderApi__Tax_Percent__c,OrderApi__Total__c,OrderApi__Is_Shipping_Rate__c,OrderApi__Receipt_Line__c,OrderApi__Contact__c,OrderApi__Invoice_Line__c,OrderApi__EPayment_Line__c,OrderApi__Foreign_Key__c,OrderApi__Parent_Foreign_Key__c,OrderApi__Sales_Order_Line__c,Source_Code__c,OrderApi__Item_Name__c,OrderApi__Sales_Order__c,OrderApi__Receipt__r.External_Id__c,OrderApi__Business_Group__r.Name,OrderApi__GL_Account__r.Name,OrderApi__Invoice__r.External_Id__c,OrderApi__Item_Class__r.External_Id__c,OrderApi__Item__r.External_Id__c,OrderApi__Price_Rule__r.External_Id__c,OrderApi__Subscription_Plan__r.Name,OrderApi__Subscription__r.External_Id__c,OrderApi__Receipt_Line__r.External_Id__c,OrderApi__Contact__r.External_Id__c,OrderApi__Invoice_Line__r.External_Id__c,OrderApi__EPayment_Line__r.External_Id__c,OrderApi__Sales_Order_Line__r.External_Id__c,OrderApi__Sales_Order__r.External_Id__c
a1D4W000005kM61UAE,false,0000003247,1,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:57.000+0000,2020-09-24T07:28:57.000+0000,a1E4W00000Djw1HUAR,,true,a0o4W00000MOvweQAD,true,,a104W00000FuSwmQAF,0,,,,false,false,false,a134W000008hIDRQA2,a154W000008mjpZQAQ,Round Table Discussion II,0,false,a1C4W000006w73SUAQ,1,0,Oyster Bay,Eva Foxworth,United States,11771,New York,45 McCouns Lane,,,0,false,0,0,false,a1D4W000005kM5wUAE,0034W00002AU8TMQA1,,a0y4W00000VH20CQAT,e2V4hpbt22TbuIj2l0smxXno4zQG7i,tcXbkebEAhKqNf3l9SbxCUJUvmGM7I,a1I4W00000H4JxfUAF,,Round Table Discussion II,,416,FON-International Association,4000 - Income,,6,418,31,,,1538,298,,59,755,
a1D4W000005kM62UAE,false,0000003248,2,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:57.000+0000,2020-09-24T07:28:57.000+0000,a1E4W00000Djw1IUAR,,true,a0o4W00000MOvweQAD,true,,a104W00000FuSxDQAV,0,,,,false,false,false,a134W000008hIDDQA2,a154W000008mjpJQAQ,Mug,40,false,a1C4W000006w73kUAA,1,40,Arlington,Joe Brewer,United States,22203,VA,4401 Wilson Boulevard,,,40,false,0,40,false,,0034W00002AU8SlQAL,,a0y4W00000VH20DQAT,jXiYoppc4m08nb5B0sdnMfJBNpFfwH,,a1I4W00000H4JxiUAF,,Mug,,417,FON-International Association,4500 - Merchandise Income,,116,478,475,,,,215,,60,758,
a1D4W000005kM63UAE,false,0000003249,3,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:57.000+0000,2020-09-24T07:28:57.000+0000,a1E4W00000Djw1IUAR,,true,a0o4W00000MOvweQAD,true,,a104W00000FuSxDQAV,0,,,,false,false,false,a134W000008hIDDQA2,a154W000008mjpqQAA,Fonteva Coffee Mug,3,false,a1C4W000006w73lUAA,1,3,Arlington,Joe Brewer,United States,22203,VA,4401 Wilson Boulevard,,,3,false,0,3,false,,0034W00002AU8SlQAL,,a0y4W00000VH20EQAT,bUOsHM0qYXbFUH1i5IgUbiEoTBWV8H,,a1I4W00000H4JxjUAF,,Fonteva Coffee Mug,,417,FON-International Association,4500 - Merchandise Income,,116,482,479,,,,215,,61,759,
a1D4W000005kM64UAE,false,0000003250,4,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:57.000+0000,2020-09-24T07:28:57.000+0000,a1E4W00000Djw1IUAR,,true,a0o4W00000MOvweQAD,true,,a104W00000FuSxCQAV,0,,,,false,false,true,a134W000008hIDVQA2,a154W000008mjpsQAA,VA State Tax,13.5,true,,1,2.4,Arlington,Joe Brewer,United States,22203,VA,4401 Wilson Boulevard,,,2.4,false,0,2.4,false,a1D4W000005kM62UAE,0034W00002AU8SlQAL,,a0y4W00000VH20FQAT,ZkyrJH3NuWZJQsCKWNFjsLAPotVa5d,jXiYoppc4m08nb5B0sdnMfJBNpFfwH,a1I4W00000H4JxlUAF,,VA State Tax,,417,FON-International Association,4400 - Event Income,,114,447,,,,2,215,,62,761,
a1D4W000005kM65UAE,false,0000003251,5,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:57.000+0000,2020-09-24T07:28:57.000+0000,a1E4W00000Djw1IUAR,,true,a0o4W00000MOvweQAD,true,,a104W00000FuSxCQAV,0,,,,false,false,true,a134W000008hIDVQA2,a154W000008mjpsQAA,VA State Tax,13.5,true,,1,0.18,Arlington,Joe Brewer,United States,22203,VA,4401 Wilson Boulevard,,,0.18,false,0,0.18,false,a1D4W000005kM63UAE,0034W00002AU8SlQAL,,a0y4W00000VH20GQAT,ixItR0a8EVvQ4qIFCVf1hmuQ0sVWbx,bUOsHM0qYXbFUH1i5IgUbiEoTBWV8H,a1I4W00000H4JxmUAF,,VA State Tax,,417,FON-International Association,4400 - Event Income,,114,447,,,,3,215,,63,762,
a1D4W000005kM66UAE,false,0000003252,6,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:57.000+0000,2020-09-24T07:28:57.000+0000,a1E4W00000Djw1IUAR,,true,a0o4W00000MOvweQAD,true,,a104W00000FuSxEQAV,0,,,,false,false,false,a134W000008hIDEQA2,a154W000008mjp2QAA,Fedex Regular - US,5,false,a1C4W000006w73JUAQ,1,5,Arlington,Joe Brewer,United States,22203,VA,4401 Wilson Boulevard,,,5,false,0,5,false,,0034W00002AU8SlQAL,,a0y4W00000VH20HQAT,UpR22Knh6EsW0oOg594IT32KiIgP5m,,a1I4W00000H4JxoUAF,,Fedex Regular,,417,FON-International Association,6055 - Shipping,,115,114,550,,,,215,,64,765,
a1D4W000005kM67UAE,false,0000003253,7,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:57.000+0000,2020-09-24T07:28:57.000+0000,a1E4W00000Djw1JUAR,,true,a0o4W00000MOvweQAD,true,,a104W00000FuSxDQAV,0,,,,false,false,false,a134W000008hIDDQA2,a154W000008mjpJQAQ,Mug,40,false,a1C4W000006w73kUAA,400,40,Arlington,Joe Brewer,United States,22203,VA,4401 Wilson Boulevard,,,16000,false,0,16000,false,,0034W00002AU8SlQAL,,a0y4W00000VH20IQAT,zuIrcHoN3mBqlJtlA64ZOEYrhXfGGZ,,a1I4W00000H4JxqUAF,,Mug,,418,FON-International Association,4500 - Merchandise Income,,116,478,475,,,,215,,65,876,
a1D4W000005kM68UAE,false,0000003254,8,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:57.000+0000,2020-09-24T07:28:57.000+0000,a1E4W00000Djw1JUAR,,true,a0o4W00000MOvweQAD,true,,a104W00000FuSxCQAV,0,,,,false,false,true,a134W000008hIDVQA2,a154W000008mjpsQAA,VA State Tax,13.5,true,,1,960,Arlington,Joe Brewer,United States,22203,VA,4401 Wilson Boulevard,,,960,false,0,960,false,a1D4W000005kM67UAE,0034W00002AU8SlQAL,,a0y4W00000VH20JQAT,TJMGQ9sJeI4WU992Autfm7rwfUAjfF,zuIrcHoN3mBqlJtlA64ZOEYrhXfGGZ,a1I4W00000H4JxpUAF,,VA State Tax,,418,FON-International Association,4400 - Event Income,,114,447,,,,7,215,,66,766,
a1D4W000005kM69UAE,false,0000003255,9,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:57.000+0000,2020-09-24T07:28:57.000+0000,a1E4W00000Djw1JUAR,,true,a0o4W00000MOvweQAD,true,,a104W00000FuSwmQAF,0,,,,false,false,false,a134W000008hIDEQA2,a154W000008mjpUQAQ,Default Shipping Rate,2,false,a1C4W000006w73mUAA,1,2,Arlington,Joe Brewer,United States,22203,VA,4401 Wilson Boulevard,,,2,false,0,2,false,,0034W00002AU8SlQAL,,a0y4W00000VH20KQAT,65afZEujZzTtWTe9RnbrYiNPivfHgA,,a1I4W00000H4JxrUAF,,Shipping,,418,FON-International Association,4000 - Income,,115,446,469,,,,215,,67,877,
a1D4W000005kM6AUAU,false,0000003256,10,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:57.000+0000,2020-09-24T07:28:57.000+0000,a1E4W00000Djw1JUAR,,true,a0o4W00000MOvweQAD,true,,a104W00000FuSwmQAF,0,,,,false,false,false,a134W000008hIDEQA2,a154W000008mjpUQAQ,Default Shipping Rate,2,false,a1C4W000006w73mUAA,1,2,Arlington,Joe Brewer,United States,22203,VA,4401 Wilson Boulevard,,,2,false,0,2,false,,0034W00002AU8SlQAL,,a0y4W00000VH20LQAT,CS5tmrrsA1kq8VAN6UUZ4PejZaMhlf,,a1I4W00000H4JxkUAF,,Shipping,,418,FON-International Association,4000 - Income,,115,446,469,,,,215,,68,760,
