Id,IsDeleted,MasterRecordId,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,AccountNumber,Website,PhotoUrl,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,CreatedDate,LastModifiedDate,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,IsPartner,IsCustomerPortal,ChannelProgramName,ChannelProgramLevelName,Jigsaw,JigsawCompanyId,AccountSource,SicDesc,OrderApi__Account_Email__c,OrderApi__Annual_Engagement_Score__c,OrderApi__Disable_Badge_Flow_down__c,OrderApi__Lifetime_Engagement_Score__c,OrderApi__Outstanding_Credits__c,OrderApi__Price_Rules_Usages__c,OrderApi__Primary_Contact__c,CPBase__Restrict_Assignment_Visibility__c,DonorApi__Accepts_Unsolicited_Proposals__c,DonorApi__Active_Recurring_Gift__c,DonorApi__Annual_Giving_Total__c,DonorApi__Auto_Calculate_Household_Greetings__c,DonorApi__Classification__c,DonorApi__Do_Not_Solicit__c,DonorApi__First_Gift_Date__c,DonorApi__Funding_Cycle__c,DonorApi__Gift_Opportunities__c,DonorApi__Gifts_Outstanding__c,DonorApi__Gifts_Received__c,DonorApi__Gifts_Value__c,DonorApi__Gives_Anonymously__c,DonorApi__Has_Open_Gift_Opportunity__c,DonorApi__Household_Default_Greeting_Type__c,DonorApi__Household_Default_Greeting__c,DonorApi__Household_Email__c,DonorApi__Household_Formal_Greeting__c,DonorApi__Household_Informal_Greeting__c,DonorApi__Largest_Gift__c,DonorApi__Last_Gift_Amount__c,DonorApi__Last_Gift_Date__c,DonorApi__Matches_Employee_Giving__c,DonorApi__Next_Funding_Cycle_Month__c,DonorApi__Num_Open_Gift_Opportunities__c,DonorApi__Organizational_Recognition_Name__c,DonorApi__Primary_Relationship_Manager__c,OrderApi__Restrict_Assignment_Visibility__c,OrderApi__Privacy_Settings__c,MasterRecord.Id,Parent.Id,OrderApi__Primary_Contact__r.Id,DonorApi__Primary_Relationship_Manager__r.Id
001R000001lV5f3IAC,false,,Teagan O'Bar Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001R000001lV5f3IAC,,,,,,,,,,2020-09-17T07:22:22.000+0000,2020-09-24T07:20:54.000+0000,2020-09-24T07:20:54.000+0000,,2020-09-24T07:20:53.000+0000,2020-09-24T07:20:53.000+0000,false,false,,,,,,,teagano@moaa.org,,false,,,,003R000001XNxXBIA1,false,false,false,,false,,false,,,,,,0,false,false,Household Informal Greeting,,,,,,,,false,,,,,false,private,,,003R000001XNxXBIA1,
001R000001lV5f4IAC,false,,Henry Henry Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001R000001lV5f4IAC,,,,,,,,,,2020-09-17T07:22:22.000+0000,2020-09-24T07:20:54.000+0000,2020-09-24T07:20:54.000+0000,,2020-09-24T07:20:53.000+0000,2020-09-24T07:20:53.000+0000,false,false,,,,,,,,,false,,,,003R000001Y4GdxIAF,false,false,false,,false,,false,,,,,,0,false,false,Household Informal Greeting,,,,,,,,false,,,,,false,private,,,003R000001Y4GdxIAF,
001R000001lV5f5IAC,false,,Mo Salah Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001R000001lV5f5IAC,,,,,,,,,,2020-09-17T07:22:22.000+0000,2020-09-24T07:20:54.000+0000,2020-09-24T07:20:54.000+0000,,2020-09-24T07:20:53.000+0000,2020-09-24T07:20:53.000+0000,false,false,,,,,,,,,false,,,,,false,false,false,,false,,false,,,,,,0,false,false,Household Informal Greeting,,,,,,,,false,,,,,false,private,,,,
001R000001lV5f6IAC,false,,FON-Hazel Deegan Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001R000001lV5f6IAC,,,,,,,,,,2020-09-17T07:22:22.000+0000,2020-09-24T07:20:54.000+0000,2020-09-24T07:20:54.000+0000,,2020-09-24T07:20:53.000+0000,2020-09-24T07:20:53.000+0000,false,false,,,,,,,,,false,,,,003R000001XNxWCIA1,false,false,false,,false,,false,,,,,,0,false,false,Household Informal Greeting,,,,,,,,false,,,,,false,private,,,003R000001XNxWCIA1,
001R000001lV5f7IAC,false,,FON-Neal Vegas Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001R000001lV5f7IAC,,,,,,,,,,2020-09-17T07:22:22.000+0000,2020-09-24T07:20:54.000+0000,2020-09-24T07:20:54.000+0000,,2020-09-24T07:20:53.000+0000,2020-09-24T07:20:53.000+0000,false,false,,,,,,,,,false,,,,003R000001XNxYdIAL,false,false,false,,false,,false,,,,,,0,false,false,Household Informal Greeting,,,,,,,,false,,,,,false,private,,,003R000001XNxYdIAL,
001R000001lV5f8IAC,false,,FON-Marleen Watson Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001R000001lV5f8IAC,,,,,,,,,,2020-09-17T07:22:22.000+0000,2020-09-24T07:20:54.000+0000,2020-09-24T07:20:54.000+0000,,2020-09-24T07:20:53.000+0000,2020-09-24T07:20:53.000+0000,false,false,,,,,,,marleen.watson@mailinator.com,,false,,,,003R000001Y4GdqIAF,false,false,false,,false,,false,,,,,,0,false,false,Household Informal Greeting,,,,,,,,false,,,,,false,private,,,003R000001Y4GdqIAF,
001R000001lV5f9IAC,false,,FON-Felix Gray Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001R000001lV5f9IAC,,,,,,,,,,2020-09-17T07:22:22.000+0000,2020-09-24T07:20:54.000+0000,2020-09-24T07:20:54.000+0000,,2020-09-24T07:20:53.000+0000,2020-09-24T07:20:53.000+0000,false,false,,,,,,,fgray@mailinator.com,,false,,,,003R000001Y4GdeIAF,false,false,false,,false,,false,,,,,,0,false,false,Household Informal Greeting,,,,,,,,false,,,,,false,private,,,003R000001Y4GdeIAF,
001R000001lV5fAIAS,false,,FON-Wanda Jefferson Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001R000001lV5fAIAS,,,,,,,,,,2020-09-17T07:22:22.000+0000,2020-09-24T07:20:54.000+0000,2020-09-24T07:20:54.000+0000,,2020-09-24T07:20:53.000+0000,2020-09-24T07:20:53.000+0000,false,false,,,,,,,wjefferson@mailinator.com,,false,,,,003R000001Y4GddIAF,false,false,false,,false,,false,,,,,,0,false,false,Household Informal Greeting,,,,,,,,false,,,,,false,private,,,003R000001Y4GddIAF,
001R000001lV5fBIAS,false,,FON-Ruth O'Connell Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001R000001lV5fBIAS,,,,,,,,,,2020-09-17T07:22:22.000+0000,2020-09-24T07:20:54.000+0000,2020-09-24T07:20:54.000+0000,,2020-09-24T07:20:53.000+0000,2020-09-24T07:20:53.000+0000,false,false,,,,,,,ruth.oconnell@mailinator.com,,false,,,,003R000001Y4GdcIAF,false,false,false,,false,,false,,,,,,0,false,false,Household Informal Greeting,,,,,,,,false,,,,,false,private,,,003R000001Y4GdcIAF,
001R000001lV5fCIAS,false,,FON-Jane Kelly Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/001R000001lV5fCIAS,,,,,,,,,,2020-09-17T07:22:22.000+0000,2020-09-24T07:20:54.000+0000,2020-09-24T07:20:54.000+0000,,2020-09-24T07:20:53.000+0000,2020-09-24T07:20:53.000+0000,false,false,,,,,,,jkelly@mailinator.com,,false,,,,003R000001Y4GdbIAF,false,false,false,,false,,false,,,,,,0,false,false,Household Informal Greeting,,,,,,,,false,,,,,false,private,,,003R000001Y4GdbIAF,
