Id,IsDeleted,Name,External_Id__c,CreatedDate,LastModifiedDate,SystemModstamp,OrderApi__Scheduled_Payment__c,OrderApi__API_Amount__c,OrderApi__AVS_Code__c,OrderApi__AVS_Message__c,OrderApi__Account__c,OrderApi__Bank_Account_Holder_Type__c,OrderApi__Bank_Account_Number__c,OrderApi__Bank_Account_Type__c,OrderApi__Bank_Name__c,OrderApi__Bank_Routing_Number__c,OrderApi__Batch__c,OrderApi__Billing_City__c,OrderApi__Billing_Country__c,OrderApi__Billing_Postal_Code__c,OrderApi__Billing_State__c,OrderApi__Billing_Street__c,OrderApi__Business_Group__c,OrderApi__CVV_Code__c,OrderApi__CVV_Message__c,OrderApi__Cancelled__c,OrderApi__Card_Number__c,OrderApi__Card_Type__c,OrderApi__Contact__c,OrderApi__Create_Payment_Schedule__c,OrderApi__Currency_Code__c,OrderApi__Date__c,OrderApi__Deposit_Account__c,OrderApi__Description__c,OrderApi__Eligible_for_Card_Updater__c,OrderApi__Email__c,OrderApi__Entity__c,OrderApi__Error_Code__c,OrderApi__Errors__c,OrderApi__First_Name__c,OrderApi__First_Six_Digits__c,OrderApi__Full_Name__c,OrderApi__Gateway_Token__c,OrderApi__Gateway_Transaction_ID__c,OrderApi__Has_Errors__c,OrderApi__IP_Address__c,OrderApi__Is_Scheduled__c,OrderApi__Last_4_Digits__c,OrderApi__Last_Four_Digits__c,OrderApi__Last_Name__c,OrderApi__Merchant_Location_Descriptor__c,OrderApi__Merchant_Name_Descriptor__c,OrderApi__Message__c,OrderApi__Month__c,OrderApi__Number__c,OrderApi__Number_of_Installments__c,OrderApi__On_Test_Gateway__c,OrderApi__Order_ID__c,OrderApi__Path__c,OrderApi__Payment_Gateway__c,OrderApi__Payment_Method_Token__c,OrderApi__Payment_Method_Type__c,OrderApi__Payment_Method__c,OrderApi__Pending__c,OrderApi__Phone__c,OrderApi__Receipt_Created__c,OrderApi__Reference_Token__c,OrderApi__Refund_Receipt__c,OrderApi__Retain_on_Success__c,OrderApi__Sales_Order__c,OrderApi__Schedule_Frequency__c,OrderApi__Schedule_Type__c,OrderApi__Source_Code__c,OrderApi__Start_Date__c,OrderApi__Status__c,OrderApi__Storage_State__c,OrderApi__Succeeded__c,OrderApi__Total__c,OrderApi__Transaction_Token__c,OrderApi__Transaction_Type__c,OrderApi__Verification_Value__c,OrderApi__Year__c,OrderApi__Amount__c,OrderApi__API_Response__c,OrderApi__EPayment__c,OrderApi__Is_Voided__c,OrderApi__Process_Payment__c,OrderApi__Process_Void__c,OrderApi__State__c,OrderApi__Is_ThreeDS__c,LastReferencedDate,OrderApi__Scheduled_Payment__r.External_Id__c,OrderApi__Account__r.External_Id__c,OrderApi__Batch__r.External_Id__c,OrderApi__Business_Group__r.Name,OrderApi__Contact__r.External_Id__c,OrderApi__Deposit_Account__r.Name,OrderApi__Payment_Gateway__r.External_Id__c,OrderApi__Payment_Method__r.External_Id__c,OrderApi__Refund_Receipt__r.External_Id__c,OrderApi__Sales_Order__r.External_Id__c,OrderApi__Source_Code__r.Name,OrderApi__EPayment__r.External_Id__c
a0z4W00000hqL81QAE,false,0000000175,1,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:24.000+0000,2020-09-24T07:28:24.000+0000,,30000,,,0014W000021fm0FQAQ,,,,,,,Muskegon,United States,49444,Michigan,3368 Black Creek Rd,a0o4W00000MOvweQAD,,,false,,visa,0034W00002AU8VHQA1,false,USD,2019-11-15,a104W00000FuSwjQAF,Sales Order #000002054,false,,Contact,,,Aaron,411111,Aaron Marsh,S3cC7nvTH0SezBYdmrX48h46kat,46,false,,false,,1111,Marsh,,,Succeeded!,1,,,false,000002054,/aura,a184W00000Ejm3VQAR,6zRK0J9irvkmvsm7frzDgOpPNRL,credit_card,,false,,false,,,false,,,Simple Receipt,,,Success,cached,true,300,GpecfiShAhigSV90axrcYBOp9Lr,Purchase,,2030,300,,,false,false,false,succeeded,false,2020-09-15T12:02:18.000+0000,,83,,FON-International Association,142,1000 - Cash,3,,,,,
a0z4W00000hqL82QAE,false,0000000176,2,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:24.000+0000,2020-09-24T07:28:24.000+0000,,3000,,,0014W000021fm0FQAQ,,,,,,,Muskegon,United States,49444,Michigan,3368 Black Creek Rd,a0o4W00000MOvweQAD,,,false,,visa,0034W00002AU8VHQA1,false,USD,2019-11-15,a104W00000FuSwjQAF,Sales Order #000002055,false,,Contact,,,Aaron,411111,Aaron Marsh,S3cC7nvTH0SezBYdmrX48h46kat,49,false,,false,,1111,Marsh,,,Succeeded!,1,,,false,000002055,/aura,a184W00000Ejm3VQAR,6U8GHVigSBO1RAvpgDZ2E7QysA6,credit_card,,false,,false,,,false,,,Simple Receipt,,,Success,cached,true,30,EXguaSObHEhvqz3YSUsBlKHhB7N,Purchase,,2036,30,,,false,false,false,succeeded,false,2020-09-15T12:02:18.000+0000,,83,,FON-International Association,142,1000 - Cash,3,,,,,
a0z4W00000hqL83QAE,false,0000000177,3,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:24.000+0000,2020-09-24T07:28:24.000+0000,,3000,,,0014W000021fm0FQAQ,,,,,,,Muskegon,United States,49444,Michigan,3368 Black Creek Rd,a0o4W00000MOvweQAD,,,false,,visa,0034W00002AU8VHQA1,false,USD,2019-11-15,a104W00000FuSwjQAF,,false,,Contact,,,Aaron,411111,Aaron Marsh,S3cC7nvTH0SezBYdmrX48h46kat,48,false,,false,,1111,Marsh,,,Succeeded!,1,,,false,0000000177,/aura,a184W00000Ejm3VQAR,7mpwst0HV9szzummERFTBVwRi10,credit_card,,false,,false,,,false,,,,,,Success,cached,true,30,2paernWxJVS6Q0gwLfo96pItHDH,Purchase,,2021,30,,,false,false,false,succeeded,false,2020-09-15T12:02:18.000+0000,,83,,FON-International Association,142,1000 - Cash,3,,,,,
a0z4W00000hqL84QAE,false,0000000178,4,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:24.000+0000,2020-09-24T07:28:24.000+0000,,30000,,,0014W000021fm0dQAA,,,,,,,,,,,,a0o4W00000MOvweQAD,,,false,,visa,0034W00002AU8TgQAL,false,USD,2019-11-15,a104W00000FuSwjQAF,,false,,Contact,,,FON,411111,FON Fischer,S3cC7nvTH0SezBYdmrX48h46kat,55,false,,false,,1111,Fischer,,,Succeeded!,1,,,false,0000000178,/aura,a184W00000Ejm3VQAR,1GJhojnJSoaUdGT4jaedB8NspcA,credit_card,,false,,false,,,false,,,,,,Success,cached,true,300,J49G3rlAeecB9S8MhzquZyVRXgo,Purchase,,2035,300,,,false,false,false,succeeded,false,2020-09-15T12:02:18.000+0000,,140,,FON-International Association,60,1000 - Cash,3,,,,,
a0z4W00000hqL85QAE,false,0000000179,5,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:24.000+0000,2020-09-24T07:28:24.000+0000,,30000,,,0014W000021fm0dQAA,,,,,,,,,,,,a0o4W00000MOvweQAD,,,false,,visa,0034W00002AU8TgQAL,false,USD,2019-11-15,a104W00000FuSwjQAF,Sales Order #000002058,false,,Contact,,,FON,411111,FON Fischer,S3cC7nvTH0SezBYdmrX48h46kat,68,false,,false,,1111,Fischer,,,Succeeded!,1,,,false,000002058,/aura,a184W00000Ejm3VQAR,JOZe0kvhkLefuVRthCip7LiLFkq,credit_card,,false,,false,,,false,,,Simple Receipt,,,Success,cached,true,300,7X6DZIiP7fnXEMIw7dLHoOspeDd,Purchase,,2035,300,,,false,false,false,succeeded,false,2020-09-15T12:02:18.000+0000,,140,,FON-International Association,60,1000 - Cash,3,,,,,
a0z4W00000hqL86QAE,false,0000000180,6,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:24.000+0000,2020-09-24T07:28:24.000+0000,,30000,,,0014W000021fm0dQAA,,,,,,,,,,,,a0o4W00000MOvweQAD,,,false,,visa,0034W00002AU8TgQAL,false,USD,2019-11-15,a104W00000FuSwjQAF,Sales Order #000002059,false,,Contact,,,FON,411111,FON Fischer,S3cC7nvTH0SezBYdmrX48h46kat,68,false,,false,,1111,Fischer,,,Succeeded!,1,,,false,000002059,/aura,a184W00000Ejm3VQAR,VBHehR4Zx69Jc3afr3DNsVxwz9g,credit_card,,false,,false,,,false,,,Simple Receipt,,,Success,cached,true,300,RkwILzX7uM5AyvIAbLlWfMVYnIR,Purchase,,2034,300,,,false,false,false,succeeded,false,2020-09-15T12:02:18.000+0000,,140,,FON-International Association,60,1000 - Cash,3,,,,,
a0z4W00000hqL87QAE,false,0000000181,7,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:24.000+0000,2020-09-24T07:28:24.000+0000,,30000,,,0014W000021fm0dQAA,,,,,,,,,,,,a0o4W00000MOvweQAD,,,false,,visa,0034W00002AU8TgQAL,false,USD,2019-11-15,a104W00000FuSwjQAF,Sales Order #000002060,false,,Contact,,,FON,411111,FON Fischer,S3cC7nvTH0SezBYdmrX48h46kat,54,false,,false,,1111,Fischer,,,Succeeded!,1,,,false,000002060,/aura,a184W00000Ejm3VQAR,AsMmudCxUK7o2Mty1rIx1vNkpg1,credit_card,,false,,false,,,false,,,Simple Receipt,,,Success,cached,true,300,1cIrm6FXkZ7D0ICRX44ldzUK9L6,Purchase,,2036,300,,,false,false,false,succeeded,false,2020-09-15T12:02:18.000+0000,,140,,FON-International Association,60,1000 - Cash,3,,,,,
a0z4W00000hqL88QAE,false,0000000182,8,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:24.000+0000,2020-09-24T07:28:24.000+0000,,30000,,,0014W000021fm0dQAA,,,,,,,,,,,,a0o4W00000MOvweQAD,,,false,,visa,0034W00002AU8TgQAL,false,USD,2019-11-15,a104W00000FuSwjQAF,Sales Order #000002061,false,,Contact,,,FON,411111,FON Fischer,S3cC7nvTH0SezBYdmrX48h46kat,64,false,,false,,1111,Fischer,,,Succeeded!,1,,,false,000002061,/aura,a184W00000Ejm3VQAR,73A3awfKQhbyA0ec6l30rJqZIfi,credit_card,,false,,false,,,false,,,Simple Receipt,,,Success,cached,true,300,PY6NpptlYNmaAfAKbf130hdiEdw,Purchase,,2034,300,,,false,false,false,succeeded,false,2020-09-15T12:02:18.000+0000,,140,,FON-International Association,60,1000 - Cash,3,,,,,
a0z4W00000hqL89QAE,false,0000000183,9,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:24.000+0000,2020-09-24T07:28:24.000+0000,,3000,,,0014W000021fm0dQAA,,,,,,,Erie,United States,16504,PA,353 East 41st Street,a0o4W00000MOvweQAD,,,false,,visa,0034W00002AU8TgQAL,false,USD,2019-11-15,a104W00000FuSwjQAF,,false,,Contact,,,FON,411111,FON Fischer,S3cC7nvTH0SezBYdmrX48h46kat,67,false,,false,,1111,Fischer,,,Succeeded!,1,,,false,0000000183,/aura,a184W00000Ejm3VQAR,7I9uaVpZFQL6KkeVzGcJZJHqHuh,credit_card,,false,,false,,,false,,,,,,Success,cached,true,30,GeKMsSuxtS8vO85L3kau0qmo1JX,Purchase,,2036,30,,,false,false,false,succeeded,false,2020-09-15T12:02:18.000+0000,,140,,FON-International Association,60,1000 - Cash,3,,,,,
a0z4W00000hqL8BQAU,false,0000000184,10,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:24.000+0000,2020-09-24T07:28:24.000+0000,,3000,,,0014W000021fm0dQAA,,,,,,,Erie,United States,16504,PA,353 East 41st Street,a0o4W00000MOvweQAD,,,false,,visa,0034W00002AU8TgQAL,false,USD,2019-11-15,a104W00000FuSwjQAF,Sales Order #000002063,false,,Contact,,,FON,411111,FON Fischer,S3cC7nvTH0SezBYdmrX48h46kat,47,false,,false,,1111,Fischer,,,Succeeded!,1,,,false,000002063,/aura,a184W00000Ejm3VQAR,GrfGax3VRNiKEQURa51T0rvq4gz,credit_card,,false,,false,,,false,,,Simple Receipt,,,Success,cached,true,30,GU9q7FrRpjFW11xruAMXMd7cwaP,Purchase,,2037,30,,,false,false,false,succeeded,false,2020-09-15T12:02:18.000+0000,,140,,FON-International Association,60,1000 - Cash,3,,,,,
