Id,IsDeleted,Name,External_Id__c,CreatedDate,LastModifiedDate,SystemModstamp,OrderApi__Account__c,OrderApi__Auto_Send_Proforma_Invoice_Emails__c,OrderApi__Billing_City__c,OrderApi__Billing_Contact__c,OrderApi__Billing_Country__c,OrderApi__Billing_Postal_Code__c,OrderApi__Billing_State__c,OrderApi__Billing_Street__c,OrderApi__Business_Group__c,OrderApi__Calculate_Billing_Details__c,OrderApi__Calculate_Shipping_Details__c,OrderApi__Campaign_Page__c,OrderApi__Cancelled_Date__c,OrderApi__Closed_Date__c,OrderApi__Closed_Status__c,OrderApi__Contact__c,OrderApi__Created_by_Customer__c,OrderApi__Customer_Link__c,OrderApi__Customer_Reference_Number__c,OrderApi__Date__c,OrderApi__Description__c,OrderApi__EPayment__c,OrderApi__End_Date__c,OrderApi__Entity__c,OrderApi__Has_Installments__c,OrderApi__Has_Subscription__c,OrderApi__Invoice_Date__c,OrderApi__Is_Active__c,OrderApi__Is_Cancelled__c,OrderApi__Is_Closed__c,OrderApi__Is_Evergreen__c,OrderApi__Is_Invoiced__c,OrderApi__Is_Posted__c,OrderApi__Is_Recurring__c,OrderApi__Is_Scheduled__c,OrderApi__Is_Suspended__c,OrderApi__JSON_Data__c,OrderApi__Memo__c,OrderApi__Number_of_Installments__c,OrderApi__Payment_Gateway__c,OrderApi__Payment_Method__c,OrderApi__Payment_Terms__c,OrderApi__Posted_Date__c,OrderApi__Posting_Entity__c,OrderApi__Posting_Status__c,OrderApi__Preferred_Email__c,OrderApi__Proforma_Invoice_Email_Sent_Date__c,OrderApi__Proforma_Invoice_Email_Sent__c,OrderApi__Require_Payment_Method__c,OrderApi__Schedule_Frequency__c,OrderApi__Schedule_Status__c,OrderApi__Schedule_Type__c,OrderApi__Shipping_City__c,OrderApi__Shipping_Contact__c,OrderApi__Shipping_Country__c,OrderApi__Shipping_Postal_Code__c,OrderApi__Shipping_State__c,OrderApi__Shipping_Street__c,OrderApi__Source_Code__c,OrderApi__Start_Date__c,OrderApi__Status__c,OrderApi__Suspended_Date__c,OrderApi__Suspended_Reason__c,OrderApi__System_Refresh__c,OrderApi__Total__c,OrderApi__Valid_Payment_Method__c,OrderApi__Item_Count__c,OrderApi__Subscription_Lines__c,OrderApi__Subtotal__c,DonorApi__Acknowledged_Date__c,DonorApi__Acknowledgement_Method__c,DonorApi__Do_Not_Acknowledge__c,DonorApi__Forecast_Category__c,DonorApi__Forecasted_Amount__c,DonorApi__Forecasted_Close_Date__c,DonorApi__Gift_Match_Account__c,DonorApi__Gift_Match_Amount__c,DonorApi__Gift_Match_Contact__c,DonorApi__Gift_Matching_Company__c,DonorApi__Gift_Type__c,DonorApi__Grant_LOI_Submitted__c,DonorApi__Grant_Open_Date__c,DonorApi__Grant_Proposal_Deadline__c,DonorApi__Grant_Proposal_Response_Date__c,DonorApi__Grant_Proposal_Submitted__c,DonorApi__Grant_Term__c,DonorApi__Is_Acknowledged__c,DonorApi__Is_Won__c,DonorApi__Source__c,DonorApi__Stage__c,DonorApi__Tribute_Honoree__c,DonorApi__Tribute_Message__c,DonorApi__Tribute_Notification_City__c,DonorApi__Tribute_Notification_Country__c,DonorApi__Tribute_Notification_Email__c,DonorApi__Tribute_Notification_Method__c,DonorApi__Tribute_Notification_Phone__c,DonorApi__Tribute_Notification_Postal_Code__c,DonorApi__Tribute_Notification_State__c,DonorApi__Tribute_Notification_Street__c,DonorApi__Tribute_Notified__c,DonorApi__Tribute_Person_to_Notify__c,DonorApi__Tribute_Type__c,DonorApi__Tax_Deductible_Amount__c,OrderApi__Processing_Changes__c,OrderApi__Mass_Proforma_Email_Subject__c,OrderApi__Is_Pending_Payment__c,OrderApi__Due_Date__c,OrderApi__Encrypted_Id__c,OrderApi__Is_Proforma__c,OrderApi__Adjustment_Reason__c,OrderApi__Amount_Paid__c,OrderApi__Amount_Refunded__c,OrderApi__Balance_Due__c,OrderApi__Credits_Applied__c,OrderApi__Credits_and_Adjustments__c,OrderApi__Generate_Installments__c,OrderApi__Is_Voided__c,OrderApi__Overall_Total__c,OrderApi__Paid_Date__c,OrderApi__Sales_Order_Status__c,LastViewedDate,LastReferencedDate,OrderApi__Is_Open__c,OrderApi__Account__r.External_Id__c,OrderApi__Business_Group__r.Name,OrderApi__Campaign_Page__r.Name,OrderApi__Contact__r.External_Id__c,OrderApi__EPayment__r.External_Id__c,OrderApi__Payment_Gateway__r.External_Id__c,OrderApi__Payment_Method__r.External_Id__c,OrderApi__Payment_Terms__r.External_Id__c,OrderApi__Source_Code__r.Name,DonorApi__Gift_Match_Account__r.External_Id__c,DonorApi__Gift_Match_Contact__r.External_Id__c
a1J4W00000CvxBiUAJ,false,000001968,738,2020-08-28T02:16:22.000+0000,2020-09-25T13:05:13.000+0000,2020-09-25T13:05:14.000+0000,0014W000021flzSQAQ,false,Northeast,Gerald Frank,United States,20017,Washington DC,3110 10th street,a0o4W00000MOvweQAD,true,false,,,2019-07-25,Invoiced to Customer,0034W00002AU8UXQA1,false,"<a href=""/0034W00002AU8UX"" target=""_blank"">Gerald Frank</a>",,2019-07-25,,,,Contact,false,false,2019-07-25,false,false,true,false,true,true,false,false,false,,,,,,a1A4W00000Dz3doUAB,2019-07-25,Invoice,Posted,,,false,false,,,Simple Invoice,Northeast,Gerald Frank,United States,20017,Washington DC,3110 10th street,,,Closed,,,false,335,false,3,0,335,,,false,Open,,,,,,,,,,,,,,false,false,,,,,,,,,,,,,false,,,0,false,,false,2019-07-25,zb95Z1W1R/xut2CMtXAh1i35NWYjqYgaHlNg/lf2W5I=,false,,,,0,,,false,false,,,Paid,,,false,87,FON-International Association,,281,,,,1,,,
a1J4W00000CvxBjUAJ,false,000001969,739,2020-08-28T02:16:22.000+0000,2020-09-25T13:05:13.000+0000,2020-09-25T13:05:14.000+0000,0014W000021flzSQAQ,false,Northeast,Leila Simon,United States,20017,Washington DC,3110 10th street,a0o4W00000MOvweQAD,true,true,,,2019-07-29,Cash Sale,0034W00002AU8RyQAL,true,"<a href=""/0034W00002AU8Ry"" target=""_blank"">Leila Simon</a>",,2019-07-29,,,,Contact,false,false,,false,false,true,false,false,true,false,false,false,,,,a184W00000Ejm3VQAR,,a1A4W00000Dz3doUAB,2019-07-29,Receipt,Posted,,,false,false,,,Simple Receipt,Northeast,Leila Simon,United States,20017,Washington DC,3110 10th street,,,Closed,,,false,250,false,6,0,250,,,false,Open,,,,,,,,,,,,,,false,false,,,,,,,,,,,,,false,,,0,false,,false,2019-07-29,EgtBS0LHlqntRCOQXDMiBgcNSJilJ3iZBA/sPSJLH7w=,false,,,,0,,,false,false,,,Paid,2020-09-15T10:52:33.000+0000,2020-09-15T10:52:33.000+0000,false,87,FON-International Association,,296,,3,,1,,,
a1J4W00000CvxBkUAJ,false,000001970,740,2020-08-28T02:16:22.000+0000,2020-09-25T13:05:13.000+0000,2020-09-25T13:05:14.000+0000,0014W000021fm1QQAQ,false,,Fonteva Default Contact,,,,,a0o4W00000MOvweQAD,true,true,,,2019-08-02,Cash Sale,0034W00002AU8WqQAL,true,"<a href=""/0034W00002AU8Wq"" target=""_blank"">Fonteva Default Contact</a>",,2019-08-02,,,,Contact,false,true,,false,false,true,false,false,false,false,false,false,"{""solBadgeTypes"":{""a1I3s000005QYWsEAO"":[""a0k6A0000021XgzQAE""]}}",,,,,a1A4W00000Dz3doUAB,,Receipt,Pending,,,false,false,,,Simple Receipt,,Fonteva Default Contact,,,,,,,Closed,,,false,150,false,1,1,150,,,false,Open,,,,,,,,,,,,,,false,false,,,,,,,,,,,,,false,,,0,false,,false,2019-08-02,OZa2KSbiOOXlXJumoxTFYVnGy87wCPloWGkltM9qL68=,false,,,,0,,,false,false,,,Unpaid,,,false,63,FON-International Association,,249,,,,1,,,
a1J4W00000CvxBlUAJ,false,000001972,741,2020-08-28T02:16:22.000+0000,2020-09-25T13:05:13.000+0000,2020-09-25T13:05:14.000+0000,0014W000021flzUQAQ,false,Fribourg,Alexander Curry,Switzerland,,,Route de la Vignettz 46,a0o4W00000MOvweQAD,true,true,,,,,0034W00002AU8S0QAL,true,"<a href=""/0034W00002AU8S0"" target=""_blank"">Alexander Curry</a>",,2019-08-06,,,,Contact,false,false,,false,false,false,false,false,false,false,false,false,,,,a184W00000Ejm3VQAR,,a1A4W00000Dz3doUAB,,Receipt,,,,false,false,,,Simple Receipt,Fribourg,Alexander Curry,Switzerland,,,Route de la Vignettz 46,,,Open,,,false,0,false,0,0,0,,,false,Open,,,,,,,,,,,,,,false,false,,,,,,,,,,,,,false,,,0,false,,false,,ON6t0lyvhfkIRqWuD/Fl5XVqfYs6SsLee+nZ/LCwAy0=,false,,,,0,,,false,false,,,Draft,,,false,80,FON-International Association,,231,,3,,1,,,
a1J4W00000CvxBmUAJ,false,000001974,742,2020-08-28T02:16:22.000+0000,2020-09-25T13:05:13.000+0000,2020-09-25T13:05:14.000+0000,0014W000021flzTQAQ,false,Bremerton,Jerome Bates,United States,98337,District of Columbia,545 5th St,a0o4W00000MOvweQAD,true,true,,,2019-08-06,Cash Sale,0034W00002AU8S8QAL,false,"<a href=""/0014W000021flzT"" target=""_blank"">FON-Apple</a>",,2019-08-06,,,,Account,false,false,,false,false,true,false,false,true,false,false,false,,,,a184W00000Ejm3VQAR,,a1A4W00000Dz3doUAB,2019-08-06,Receipt,Posted,,,false,false,,,Simple Receipt,Stratford,Jerome Bates,United States,6615,Connecticut,40 Macs Harbor Ct,,,Closed,,,false,0,false,0,0,0,,,false,Open,,,,,,,,,,,,,,false,false,,,,,,,,,,,,,false,,,0,false,,false,2019-08-06,T3G+E9E8zkpnYfakcV5gVQG6rysn1oRs3ovZb5cEGx8=,false,,,,0,,,false,false,,,Paid,,,false,82,FON-International Association,,181,,3,,1,,,
a1J4W00000CvxBnUAJ,false,000001976,743,2020-08-28T02:16:22.000+0000,2020-09-25T13:05:13.000+0000,2020-09-25T13:05:14.000+0000,0014W000021flzTQAQ,false,Bremerton,Jerome Bates,United States,98337,District of Columbia,545 5th St,a0o4W00000MOvweQAD,true,true,,,2019-08-07,Invoiced to Customer,0034W00002AU8S8QAL,false,"<a href=""/0014W000021flzT"" target=""_blank"">FON-Apple</a>",,2019-08-07,,,,Account,false,false,2019-08-07,false,false,true,false,true,true,false,false,false,,,,,,a1A4W00000Dz3doUAB,2019-08-07,Invoice,Posted,,,false,false,,,Simple Invoice,Stratford,Jerome Bates,United States,6615,Connecticut,40 Macs Harbor Ct,,,Closed,,,false,975,false,1,0,975,,,false,Open,,,,,,,,,,,,,,false,false,,,,,,,,,,,,,false,,,0,false,,false,2019-08-08,2GiQxynnfcVtbO0z/IpnOcqJTv33JObxnH6rbQaKbxQ=,false,,,,0,,,false,false,,,Paid,,,false,82,FON-International Association,,181,,,,1,,,
a1J4W00000CvxBoUAJ,false,000001978,744,2020-08-28T02:16:22.000+0000,2020-09-25T13:05:13.000+0000,2020-09-25T13:05:14.000+0000,0014W000021flzVQAQ,false,,prathyusha Test,,,,,a0o4W00000MOvweQAD,true,true,,,2019-08-09,Cash Sale,0034W00002AU8S1QAL,true,"<a href=""/0034W00002AU8S1"" target=""_blank"">prathyusha Test</a>",,2019-08-09,,,,Contact,false,false,,false,false,true,false,false,true,false,false,false,,,,a184W00000Ejm3VQAR,,a1A4W00000Dz3doUAB,2019-08-09,Receipt,Posted,,,false,false,,,Simple Receipt,,prathyusha Test,,,,,,,Closed,,,false,200,false,2,0,200,,,false,Open,,,,,,,,,,,,,,false,false,,,,,,,,,,,,,false,,,0,false,,false,2019-08-09,A+C0sLCrSJjalq+JutSPOuv90S0Y0IJLuOtZVSTN6QA=,false,,,,0,,,false,false,,,Paid,,,false,67,FON-International Association,,49,,3,,1,,,
a1J4W00000CvxBpUAJ,false,000001979,745,2020-08-28T02:16:22.000+0000,2020-09-25T13:05:13.000+0000,2020-09-25T13:05:14.000+0000,0014W000021flzVQAQ,false,,prathyusha Test,,,,,a0o4W00000MOvweQAD,true,true,,,2019-08-09,Cash Sale,0034W00002AU8S1QAL,true,"<a href=""/0034W00002AU8S1"" target=""_blank"">prathyusha Test</a>",,2019-08-09,,,,Contact,false,false,,false,false,true,false,false,true,false,false,false,,,,a184W00000Ejm3VQAR,,a1A4W00000Dz3doUAB,2019-08-09,Receipt,Posted,,,false,false,,,Simple Receipt,,prathyusha Test,,,,,,,Closed,,,false,400,false,4,0,400,,,false,Open,,,,,,,,,,,,,,false,false,,,,,,,,,,,,,false,,,0,false,,false,2019-08-09,63nw+S8DgeyYsMh/pIKJxQwxMnkmZN7vnSPLLNPcqKY=,false,,,,0,,,false,false,,,Paid,,,false,67,FON-International Association,,49,,3,,1,,,
a1J4W00000CvxBqUAJ,false,000001980,746,2020-08-28T02:16:22.000+0000,2020-09-25T13:05:13.000+0000,2020-09-25T13:05:14.000+0000,0014W000021fm1QQAQ,false,,Fonteva Default Contact,,,,,a0o4W00000MOvweQAD,true,true,,,2019-08-12,Cash Sale,0034W00002AU8WqQAL,true,"<a href=""/0034W00002AU8Wq"" target=""_blank"">Fonteva Default Contact</a>",,2019-08-12,,,,Contact,false,true,,false,false,true,false,false,false,false,false,false,"{""solBadgeTypes"":{""a1I3s000005RSyFEAW"":[""a0k6A0000021XgzQAE""]}}",,,,,a1A4W00000Dz3doUAB,,Receipt,Pending,,,false,false,,,Simple Receipt,,Fonteva Default Contact,,,,,,,Closed,,,false,150,false,1,1,150,,,false,Open,,,,,,,,,,,,,,false,false,,,,,,,,,,,,,false,,,0,false,,false,2019-08-12,35ubpmqgKMh6ZSlb4eD8Ue8cOJuMCw7JD8svjAB49zQ=,false,,,,0,,,false,false,,,Unpaid,,,false,63,FON-International Association,,249,,,,1,,,
a1J4W00000CvxBrUAJ,false,000001981,748,2020-08-28T02:16:22.000+0000,2020-09-25T13:05:13.000+0000,2020-09-25T13:05:14.000+0000,0014W000021flzSQAQ,false,San Francisco,Justin Pratt,United States,94108,California,131 Waverly Pl,a0o4W00000MOvweQAD,true,true,,,2019-08-13,Cash Sale,0034W00002AU8UVQA1,false,"<a href=""/0034W00002AU8UV"" target=""_blank"">Justin Pratt</a>",,2019-08-13,,,,Contact,false,true,,false,false,true,false,false,true,false,false,false,,,,a184W00000Ejm3VQAR,,a1A4W00000Dz3doUAB,2019-08-13,Receipt,Posted,,,false,true,,,Simple Receipt,San Francisco,Justin Pratt,United States,94108,California,131 Waverly Pl,,,Closed,,,false,87.5,false,3,3,87.5,,,false,Open,,,,,,,,,,,,,,false,false,,,,,,,,,,,,,false,,,0,false,,false,2019-08-13,BprhdK0ovMZjK4/jU3EpAr/Gy97/RZOAbhufIHv3dS8=,false,,,,0,,,false,false,,,Paid,2020-09-15T10:52:33.000+0000,2020-09-15T10:52:33.000+0000,false,87,FON-International Association,,279,,3,,1,,,
