Id,IsDeleted,Name,External_Id__c,CreatedDate,LastModifiedDate,SystemModstamp,EventApi__Event__c,EventApi__Account__c,EventApi__Contact__c,EventApi__Email__c,EventApi__Full_Name__c,EventApi__Is_Checked_In__c,EventApi__Is_Registered__c,EventApi__Preferred_Email__c,EventApi__Registration_Date__c,EventApi__Registration_Group__c,EventApi__Registration_Site_Url__c,EventApi__Sales_Order_Line__c,EventApi__Sales_Order__c,EventApi__Send_Notification__c,EventApi__Status__c,EventApi__Ticket_Type__c,EventApi__Registration_Total__c,EventApi__Contact_Created_by_System__c,EventApi__Invitation_Status__c,EventApi__Is_Invitation_Accepted__c,EventApi__Is_Invitation_Declined__c,EventApi__Is_Invitation_Not_Sent__c,EventApi__Is_Invitation_Sent__c,EventApi__Last_Invitation_Email_Sent__c,EventApi__Max_Guests_Allowed__c,EventApi__Refund_Requested__c,EventApi__Seat__c,EventApi__Send_Invitation_Email__c,EventApi__First_Name__c,EventApi__Last_Name__c,EventApi__Assigned_Guest_Ticket_Type__c,EventApi__Invitation_Source__c,Test_Engagement_Score__c,Event_Name__c,Event_NameDis__c,Ticket__c,LastViewedDate,LastReferencedDate,EventApi__Event__r.Name,EventApi__Account__r.External_Id__c,EventApi__Contact__r.External_Id__c,EventApi__Registration_Group__r.External_Id__c,EventApi__Sales_Order_Line__r.External_Id__c,EventApi__Sales_Order__r.External_Id__c,EventApi__Ticket_Type__r.External_Id__c,EventApi__Seat__r.External_Id__c,EventApi__Assigned_Guest_Ticket_Type__r.External_Id__c
a1W4W00000A3E7MUAV,false,000001464,1,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:40.000+0000,2020-09-24T07:28:40.000+0000,a1Y4W000002bRxvUAE,,0034W00002AU8U5QAL,testfon1@mailinator.com,test test,false,false,testfon1@mailinator.com,,,,,,false,Invited,a1j4W00000RiPlqQAF,0,false,Not Sent,false,false,true,false,,0,false,,false,test,test,,Report: Attendee Invitation List,,Fonteva Free Events Webinar,,,,,Fonteva Free Events Webinar,,170,,,,31,,
a1W4W00000A3E7NUAV,false,000001465,2,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:40.000+0000,2020-09-24T07:28:40.000+0000,a1Y4W000002bRxvUAE,,0034W00002AU8U6QAL,test123@mailinator.com,test12 test123,false,false,test123@mailinator.com,,,,,,false,Invited,a1j4W00000RiPlqQAF,0,false,Not Sent,false,false,true,false,,0,false,,false,test12,test123,,Report: Attendee Invitation List,,Fonteva Free Events Webinar,,,,,Fonteva Free Events Webinar,,171,,,,31,,
a1W4W00000A3E7OUAV,false,000001466,3,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:40.000+0000,2020-09-24T07:28:40.000+0000,a1Y4W000002bRxvUAE,,0034W00002AU8U7QAL,adasdfasdf@mailcom.com,aaron test test A,false,false,adasdfasdf@mailcom.com,,,,,,false,Invited,a1j4W00000RiPlqQAF,0,false,Not Sent,false,false,true,false,,0,false,,false,aaron test,test A,,Report: Attendee Invitation List,,Fonteva Free Events Webinar,,,,,Fonteva Free Events Webinar,,172,,,,31,,
a1W4W00000A3E7PUAV,false,000001467,4,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:40.000+0000,2020-09-24T07:28:40.000+0000,a1Y4W000002bRxvUAE,,0034W00002AU8UDQA1,hgangil@fonteva.com,Hirdesh Gangil,false,false,hgangil@fonteva.com,,,,,,false,Invited,a1j4W00000RiPlqQAF,0,false,Not Sent,false,false,true,false,,0,false,,false,Hirdesh,Gangil,,Report: Attendee Invitation List,,Fonteva Free Events Webinar,,,,,Fonteva Free Events Webinar,,207,,,,31,,
a1W4W00000A3E7QUAV,false,000001468,5,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:40.000+0000,2020-09-24T07:28:40.000+0000,a1Y4W000002bRxvUAE,,0034W00002AU8UEQA1,yashtest@yopmail.com,Yash Test,false,false,yashtest@yopmail.com,,,,,,false,Invited,a1j4W00000RiPlqQAF,0,false,Not Sent,false,false,true,false,,0,false,,false,Yash,Test,,Report: Attendee Invitation List,,Fonteva Free Events Webinar,,,,,Fonteva Free Events Webinar,,208,,,,31,,
a1W4W00000A3E7RUAV,false,000001469,6,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:40.000+0000,2020-09-24T07:28:40.000+0000,a1Y4W000002bRxvUAE,,0034W00002AU8UFQA1,ssajid@fonteva.com,Syed Sajid,false,false,ssajid@fonteva.com,,,,,,false,Invited,a1j4W00000RiPlqQAF,0,false,Not Sent,false,false,true,false,,0,false,,false,Syed,Sajid,,Report: Attendee Invitation List,,Fonteva Free Events Webinar,,,,,Fonteva Free Events Webinar,,209,,,,31,,
a1W4W00000A3E7SUAV,false,000001470,7,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:40.000+0000,2020-09-24T07:28:40.000+0000,a1Y4W000002bRxvUAE,,0034W00002AU8TGQA1,implementations@mailinator.com,Fonteva Implementations Community User,false,false,implementations@mailinator.com,,,,,,false,Invited,a1j4W00000RiPlqQAF,0,false,Not Sent,false,false,true,false,,0,false,,false,Fonteva,Implementations Community User,,Report: Attendee Invitation List,,Fonteva Free Events Webinar,,,,,Fonteva Free Events Webinar,,204,,,,31,,
a1W4W00000A3E7TUAV,false,000001471,8,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:40.000+0000,2020-09-24T07:28:40.000+0000,a1Y4W000002bRxvUAE,,0034W00002AU8SzQAL,abrown@mailinator.com,Anthony Brown,false,false,abrown@mailinator.com,,,,,,false,Invited,a1j4W00000RiPlqQAF,0,false,Not Sent,false,false,true,false,,0,false,,false,Anthony,Brown,,Report: Attendee Invitation List,,Fonteva Free Events Webinar,,,,,Fonteva Free Events Webinar,,41,,,,31,,
a1W4W00000A3E7UUAV,false,000001472,9,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:40.000+0000,2020-09-24T07:28:40.000+0000,a1Y4W000002bRxvUAE,,0034W00002AU8WcQAL,hazeldeegan@mailinator.com,Hazel Deegan,false,false,hazeldeegan@mailinator.com,,,,,,false,Invited,a1j4W00000RiPlqQAF,0,false,Not Sent,false,false,true,false,,0,false,,false,Hazel,Deegan,,Report: Attendee Invitation List,,Fonteva Free Events Webinar,,,,,Fonteva Free Events Webinar,,197,,,,31,,
a1W4W00000A3E7VUAV,false,000001473,10,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:40.000+0000,2020-09-24T07:28:40.000+0000,a1Y4W000002bRxvUAE,,0034W00002AU8WlQAL,bpalladino@mailinator.com,Bill Palladino,false,false,bpalladino@mailinator.com,,,,,,false,Invited,a1j4W00000RiPlqQAF,0,false,Not Sent,false,false,true,false,,0,false,,false,Bill,Palladino,,Report: Attendee Invitation List,,Fonteva Free Events Webinar,,,,,Fonteva Free Events Webinar,,206,,,,31,,
a1W4W00000A3E7WUAV,false,000001474,11,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:40.000+0000,2020-09-24T07:28:40.000+0000,a1Y4W000002bRxvUAE,,0034W00002AU8WKQA1,1individual@mailinator.com,One Individual,false,false,1individual@mailinator.com,,,,,,false,Invited,a1j4W00000RiPlqQAF,0,false,Not Sent,false,false,true,false,,0,false,,false,One,Individual,,Report: Attendee Invitation List,,Fonteva Free Events Webinar,,,,,Fonteva Free Events Webinar,,47,,,,31,,
a1W4W00000A3E7XUAV,false,000001475,12,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:40.000+0000,2020-09-24T07:28:40.000+0000,a1Y4W000002bRxvUAE,,0034W00002AU8WgQAL,sgupta@mailinator.com,Sandeep Gupta,false,false,sgupta@mailinator.com,,,,,,false,Invited,a1j4W00000RiPlqQAF,0,false,Not Sent,false,false,true,false,,0,false,,false,Sandeep,Gupta,,Report: Attendee Invitation List,,Fonteva Free Events Webinar,,,,,Fonteva Free Events Webinar,,201,,,,31,,
a1W4W00000A3E7YUAV,false,000001476,13,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:40.000+0000,2020-09-24T07:28:40.000+0000,a1Y4W000002bRxvUAE,,0034W00002AU8WnQAL,mmiller@mailinator.com,Mac Miller,false,false,mmiller@mailinator.com,,,,,,false,Invited,a1j4W00000RiPlqQAF,0,false,Not Sent,false,false,true,false,,0,false,,false,Mac,Miller,,Report: Attendee Invitation List,,Fonteva Free Events Webinar,,,,,Fonteva Free Events Webinar,,239,,,,31,,
a1W4W00000A3E7ZUAV,false,000001477,14,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:40.000+0000,2020-09-24T07:28:40.000+0000,a1Y4W000002bRxvUAE,,0034W00002AU8WuQAL,vlupe@mailinator.com,Vanessa Lupe,false,false,vlupe@mailinator.com,,,,,,false,Invited,a1j4W00000RiPlqQAF,0,false,Not Sent,false,false,true,false,,0,false,,false,Vanessa,Lupe,,Report: Attendee Invitation List,,Fonteva Free Events Webinar,,,,,Fonteva Free Events Webinar,,255,,,,31,,
