Id,IsDeleted,Name,External_Id__c,CreatedDate,LastModifiedDate,SystemModstamp,EventApi__Account__c,EventApi__Create_Contacts__c,EventApi__Create_Standing_Sales_Order__c,EventApi__Description__c,EventApi__Display_Registered_Members__c,EventApi__Enable_Access_Permissions__c,EventApi__Event__c,EventApi__Group_Logo_URL__c,EventApi__Invitation_Email_Body__c,EventApi__Invoice_Date__c,EventApi__Limit_Registrations__c,EventApi__Payment_Method__c,EventApi__Payment_Status__c,EventApi__Payment_Terms__c,EventApi__Payment_Type__c,EventApi__Posting_Entity__c,EventApi__Primary_Contact__c,EventApi__Register_Site_Url__c,EventApi__Registered_Attendees__c,EventApi__Registration_Code__c,EventApi__Registration_Instructions__c,EventApi__Registration_Limit__c,EventApi__Registration_Page_Header__c,LTE__Invited_Attendee__c,LastViewedDate,LastReferencedDate,EventApi__Account__r.External_Id__c,EventApi__Event__r.Name,EventApi__Payment_Method__r.External_Id__c,EventApi__Payment_Terms__r.External_Id__c,EventApi__Primary_Contact__r.External_Id__c,LTE__Invited_Attendee__r.External_Id__c
a1Z4W000029DFQNUA4,false,Eva Foxworth's Group,1,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,0014W000021fm0RQAQ,false,false,,false,false,a1Y4W000002bRxvUAE,,,,false,,,,Invoice,,0034W00002AU8TMQA1,,1,0041,,,,,,,72,Fonteva Free Events Webinar,,,298,
a1Z4W000029DFQOUA4,false,Bob Kelley's Group,2,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,0014W000021flzSQAQ,false,false,,false,false,a1Y4W000002bRxvUAE,,,,false,,,,Invoice,,0034W00002AU8T6QAL,,2,0042,,,,,,,87,Fonteva Free Events Webinar,,,38,
a1Z4W000029DFQPUA4,false,Leila Simon's Group,3,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,0014W000021flzSQAQ,false,false,,false,false,a1Y4W000002bRy4UAE,,,,false,,,,Invoice,,0034W00002AU8RyQAL,,0,0043,,,,,,,87,FON-Annual Symposium 2019 (Lightning Event),,,296,
a1Z4W000029DFQQUA4,false,Leila Simon's Group,4,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,0014W000021flzSQAQ,false,false,,false,false,a1Y4W000002bRxvUAE,,,,false,,,,Invoice,,0034W00002AU8RyQAL,,1,0044,,,,,,,87,Fonteva Free Events Webinar,,,296,
a1Z4W000029DFQRUA4,false,prathyusha Test's Group,5,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,0014W000021flzVQAQ,false,false,,false,false,a1Y4W000002bRxsUAE,,,,false,,,,Invoice,,0034W00002AU8S1QAL,,2,0045,,,,,,,67,FON-Annual Meeting (Community Event),,,49,
a1Z4W000029DFQSUA4,false,prathyusha Test's Group,6,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,0014W000021flzVQAQ,false,false,,false,false,a1Y4W000002bRxtUAE,,,,false,,,,Invoice,,0034W00002AU8S1QAL,,4,0046,,,,,,,67,FON-Awards - Tables With Assigned Seating (Community Event),,,49,
a1Z4W000029DFQTUA4,false,Test Test2's Group,7,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,0014W000021flzVQAQ,false,false,,false,false,a1Y4W000002bRxsUAE,,,,false,,,,Invoice,,,,2,0049,,,,,,,67,FON-Annual Meeting (Community Event),,,,
a1Z4W000029DFQUUA4,false,Bob Kelley's Group,8,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,0014W000021flzSQAQ,false,false,,false,false,a1Y4W000002bRy4UAE,,,,false,,,,Invoice,,0034W00002AU8T6QAL,,0,0053,,,,,,,87,FON-Annual Symposium 2019 (Lightning Event),,,38,
a1Z4W000029DFQvUAO,false,Bob Kelley's Group,9,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,,false,false,,false,false,a1Y4W000002bRxxUAE,,,,false,,,,Invoice,,0034W00002AU8T6QAL,,2,0023,,,,,,,,FON-Awards - Tables with Assigned Seating (Lightning Event),,,38,
a1Z4W000029DFQVUA4,false,Victoria Deegan's Group,10,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,0014W000021flzVQAQ,false,false,,false,false,a1Y4W000002bRxuUAE,,,,false,,,,Invoice,,0034W00002AU8T5QAL,,0,0054,,,,a1W4W00000A3EAjUAN,,,67,FON-Press Conference-Invite Only (Community Event),,,39,227
